field_id,repeat,condition,metric,model_group,medicine,comparison_field,medicine_minus_other
21,2,observed_eligible_composition,neighbors_k50,without_biomedical,0.3227720424107142,0.38924455915178574,-0.06647251674107152
21,2,observed_eligible_composition,neighbors_k50,one_biomedical,0.29512939453125,0.3724420166015625,-0.07731262207031253
21,2,observed_eligible_composition,neighbors_k50,both_biomedical,0.57390625,0.596376953125,-0.022470703125000102
21,2,observed_eligible_composition,rsa_spearman,all,0.4623662285973827,0.6930523849078309,-0.23068615631044825
21,2,observed_eligible_composition,rsa_spearman,without_biomedical,0.4588786321603577,0.6971100844740965,-0.23823145231373882
21,2,observed_eligible_composition,rsa_spearman,one_biomedical,0.44363817593140853,0.6733621581769997,-0.2297239822455912
21,2,observed_eligible_composition,rsa_spearman,both_biomedical,0.8596677714896728,0.894480424745697,-0.03481265325602423
21,3,equal_subfield_composition,cka_debiased,all,0.5380652949128651,0.7690298150459195,-0.23096452013305435
21,3,equal_subfield_composition,cka_debiased,without_biomedical,0.5579458177824085,0.7723713697812926,-0.21442555199888413
21,3,equal_subfield_composition,cka_debiased,one_biomedical,0.48542500145397716,0.7547564422674378,-0.2693314408134606
21,3,equal_subfield_composition,cka_debiased,both_biomedical,0.8236553499078565,0.9038402469111696,-0.0801848970033131
21,3,equal_subfield_composition,neighbors_k10,all,0.256640625,0.27455078125,-0.017910156249999976
21,3,equal_subfield_composition,neighbors_k10,without_biomedical,0.2639404296875,0.27767857142857144,-0.013738141741071463
21,3,equal_subfield_composition,neighbors_k10,one_biomedical,0.2285186767578125,0.2552520751953125,-0.0267333984375
21,3,equal_subfield_composition,neighbors_k10,both_biomedical,0.502197265625,0.495751953125,0.006445312500000022
21,3,equal_subfield_composition,neighbors_k25,all,0.2875655381944444,0.33195833333333336,-0.04439279513888894
21,3,equal_subfield_composition,neighbors_k25,without_biomedical,0.29470633370535715,0.33372000558035714,-0.03901367187499999
21,3,equal_subfield_composition,neighbors_k25,one_biomedical,0.25962890625,0.315224609375,-0.05559570312500001
21,3,equal_subfield_composition,neighbors_k25,both_biomedical,0.534609375,0.55037109375,-0.015761718749999987
21,3,equal_subfield_composition,neighbors_k50,all,0.3166202256944445,0.38790603298611104,-0.07128580729166656
21,3,equal_subfield_composition,neighbors_k50,without_biomedical,0.32329031808035713,0.38946777343750005,-0.06617745535714292
21,3,equal_subfield_composition,neighbors_k50,one_biomedical,0.28948852539062503,0.3719940185546875,-0.08250549316406247
21,3,equal_subfield_composition,neighbors_k50,both_biomedical,0.56396484375,0.59876953125,-0.03480468749999999
21,3,equal_subfield_composition,rsa_spearman,all,0.45659279993721547,0.7025263453161746,-0.24593354537895917
21,3,equal_subfield_composition,rsa_spearman,without_biomedical,0.4575688589527612,0.7081235530842748,-0.25055469413151354
21,3,equal_subfield_composition,rsa_spearman,one_biomedical,0.4302151688692885,0.6806442207134291,-0.2504290518441406
21,3,equal_subfield_composition,rsa_spearman,both_biomedical,0.8513052445887636,0.8959185214532972,-0.044613276864533646
21,3,observed_eligible_composition,cka_debiased,all,0.5416228454012804,0.7690298150459195,-0.22740696964463913
21,3,observed_eligible_composition,cka_debiased,without_biomedical,0.5622156382728359,0.7723713697812926,-0.21015573150845668
21,3,observed_eligible_composition,cka_debiased,one_biomedical,0.4876843624811673,0.7547564422674378,-0.26707207978627046
21,3,observed_eligible_composition,cka_debiased,both_biomedical,0.8280403717195309,0.9038402469111696,-0.07579987519163867
21,3,observed_eligible_composition,neighbors_k10,all,0.2592903645833333,0.27455078125,-0.015260416666666665
21,3,observed_eligible_composition,neighbors_k10,without_biomedical,0.2638392857142857,0.27767857142857144,-0.01383928571428572
21,3,observed_eligible_composition,neighbors_k10,one_biomedical,0.23600463867187502,0.2552520751953125,-0.019247436523437494
21,3,observed_eligible_composition,neighbors_k10,both_biomedical,0.5044921875,0.495751953125,0.008740234375000044
21,3,observed_eligible_composition,neighbors_k25,all,0.29090190972222224,0.33195833333333336,-0.041056423611111115
21,3,observed_eligible_composition,neighbors_k25,without_biomedical,0.29478236607142855,0.33372000558035714,-0.03893763950892859
21,3,observed_eligible_composition,neighbors_k25,one_biomedical,0.2683837890625,0.315224609375,-0.04684082031250003
21,3,observed_eligible_composition,neighbors_k25,both_biomedical,0.5425390625,0.55037109375,-0.007832031250000093
21,3,observed_eligible_composition,neighbors_k50,all,0.31944921875000004,0.38790603298611104,-0.068456814236111
21,3,observed_eligible_composition,neighbors_k50,without_biomedical,0.32319963727678575,0.38946777343750005,-0.06626813616071431
21,3,observed_eligible_composition,neighbors_k50,one_biomedical,0.2972064208984375,0.3719940185546875,-0.07478759765624998
21,3,observed_eligible_composition,neighbors_k50,both_biomedical,0.570322265625,0.59876953125,-0.028447265624999996
21,3,observed_eligible_composition,rsa_spearman,all,0.4556258720641979,0.7025263453161746,-0.24690047325197673
21,3,observed_eligible_composition,rsa_spearman,without_biomedical,0.45348914092659776,0.7081235530842748,-0.254634412157677
21,3,observed_eligible_composition,rsa_spearman,one_biomedical,0.43462321139090176,0.6806442207134291,-0.24602100932252735
21,3,observed_eligible_composition,rsa_spearman,both_biomedical,0.8514969146897451,0.8959185214532972,-0.04442160676355211
21,4,equal_subfield_composition,cka_debiased,all,0.544278091226798,0.7714384163145143,-0.22716032508771622
21,4,equal_subfield_composition,cka_debiased,without_biomedical,0.5599283774583917,0.7715690378786857,-0.21164066042029395
21,4,equal_subfield_composition,cka_debiased,one_biomedical,0.4985432752489098,0.762487948806157,-0.2639446735572472
21,4,equal_subfield_composition,cka_debiased,both_biomedical,0.8378271323883845,0.910988492651427,-0.07316136026304254
21,4,equal_subfield_composition,neighbors_k10,all,0.2577224392361111,0.27340711805555556,-0.015684678819444464
21,4,equal_subfield_composition,neighbors_k10,without_biomedical,0.26493443080357143,0.27559814453125,-0.010663713727678548
21,4,equal_subfield_composition,neighbors_k10,one_biomedical,0.2301788330078125,0.255926513671875,-0.025747680664062522
21,4,equal_subfield_composition,neighbors_k10,both_biomedical,0.496484375,0.491748046875,0.004736328124999967
21,4,equal_subfield_composition,neighbors_k25,all,0.2916618923611112,0.3316801215277778,-0.04001822916666664
21,4,equal_subfield_composition,neighbors_k25,without_biomedical,0.29808803013392854,0.33331194196428576,-0.035223911830357224
21,4,equal_subfield_composition,neighbors_k25,one_biomedical,0.26524658203125,0.31520751953125004,-0.049960937500000024
21,4,equal_subfield_composition,neighbors_k25,both_biomedical,0.534375,0.54955078125,-0.015175781249999964
21,4,equal_subfield_composition,neighbors_k50,all,0.32141905381944447,0.3877046440972222,-0.06628559027777775
