field_id,k,n,mean,median,min,max,p025,p975
21,10,30,-0.046360000000000005,-0.02406666666666668,-0.12146666666666672,0.015555555555555656,-0.11634333333333331,0.014427777777777772
21,25,30,-0.05646340740740742,-0.03424000000000002,-0.15020444444444436,0.014026666666666743,-0.14700799999999992,0.013781777777777698
21,50,30,-0.06988355555555557,-0.046439999999999926,-0.17822222222222217,0.01455111111111107,-0.17534155555555556,0.005470888888888827
22,10,150,-0.022684148148148155,-0.021555555555555578,-0.12306666666666671,0.04093333333333338,-0.11609777777777779,0.028941111111111098
22,25,150,-0.006533096296296295,0.0016800000000000703,-0.14241777777777775,0.06207999999999991,-0.13227911111111115,0.049216888888888935
22,50,150,0.0034756148148148143,0.009546666666666648,-0.1647911111111111,0.08443555555555571,-0.1472162222222223,0.07707066666666673
23,10,110,0.000797979797979792,0.0018666666666666554,-0.042577777777777714,0.03995555555555552,-0.02811333333333336,0.029981111111111097
23,25,110,0.003500121212121213,0.006275555555555479,-0.053084444444444434,0.04051555555555553,-0.04072622222222214,0.027052444444444382
23,50,110,0.0039103838383838215,0.005417777777777744,-0.06417777777777789,0.05807111111111107,-0.04868422222222232,0.051020222222222335
24,10,50,-0.01697866666666667,-0.008044444444444437,-0.08986666666666665,0.0364444444444445,-0.08891222222222227,0.02068555555555554
24,25,50,-0.01822933333333334,-0.006844444444444403,-0.10508444444444437,0.04405333333333339,-0.1006991111111111,0.027025777777777815
24,50,50,-0.023802488888888876,-0.017866666666666642,-0.13123555555555566,0.034791111111111106,-0.12832644444444438,0.03398400000000002
25,10,60,-0.0013548148148148124,0.00040000000000006697,-0.042888888888888976,0.06551111111111108,-0.03990333333333332,0.040446666666666624
25,25,60,0.0056835555555555545,0.002888888888888802,-0.03352888888888883,0.06908444444444445,-0.03322088888888884,0.06468799999999998
25,50,60,0.0020045925925925817,-0.003964444444444493,-0.037973333333333414,0.06795555555555555,-0.03278977777777771,0.062141333333333375
26,10,80,-0.03358222222222222,-0.03359999999999999,-0.07893333333333336,0.003777777777777769,-0.07257444444444444,0.0004977777777778661
26,25,80,-0.04245155555555556,-0.03776888888888885,-0.09772444444444439,0.030471111111111115,-0.09363733333333334,0.016912444444444417
26,50,80,-0.043623666666666665,-0.04643111111111117,-0.11793777777777775,0.04862222222222223,-0.109312,0.038243333333333365
27,10,370,-0.004079399399399399,-0.0010444444444444034,-0.10911111111111105,0.08822222222222226,-0.08565444444444438,0.05830888888888883
27,25,370,-0.0006341861861861844,0.004702222222222163,-0.16607999999999995,0.07486222222222227,-0.12757111111111114,0.061780888888888774
27,50,370,0.005899675675675675,0.008404444444444381,-0.1087288888888891,0.0971466666666666,-0.07660511111111104,0.06569022222222225
