outcome,model_a,model_b,intercept,same_architecture,same_lineage,same_final_corpus_group,same_objective,same_domain,same_pooling
cka_quality,pubmedbert,biobert,1.0,1.0,0.0,0.0,1.0,1.0,1.0
cka_quality,pubmedbert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_quality,biobert,simcse,1.0,1.0,1.0,0.0,0.0,0.0,0.0
cka_cls,specter,specter2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_cls,specter,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_cls,specter,scibert,1.0,1.0,1.0,0.0,0.0,1.0,1.0
cka_cls,specter,bert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,specter,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,specter,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,specter,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,specter,biobert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,specter,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,specter2,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_cls,specter2,scibert,1.0,1.0,1.0,0.0,0.0,1.0,1.0
cka_cls,specter2,bert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,specter2,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,specter2,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,specter2,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,specter2,biobert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,specter2,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,scincl,scibert,1.0,1.0,1.0,0.0,0.0,1.0,1.0
cka_cls,scincl,bert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,scincl,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,scincl,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,scincl,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,scincl,biobert,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,scincl,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,scibert,bert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_cls,scibert,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,scibert,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,scibert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_cls,scibert,biobert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_cls,scibert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,bert,mpnet,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_cls,bert,minilm,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_cls,bert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_cls,bert,biobert,1.0,1.0,1.0,0.0,1.0,0.0,1.0
cka_cls,bert,simcse,1.0,1.0,1.0,0.0,0.0,1.0,1.0
cka_cls,mpnet,minilm,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cka_cls,mpnet,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,mpnet,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,mpnet,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_cls,minilm,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,minilm,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_cls,minilm,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cka_cls,pubmedbert,biobert,1.0,1.0,0.0,0.0,1.0,1.0,1.0
cka_cls,pubmedbert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_cls,biobert,simcse,1.0,1.0,1.0,0.0,0.0,0.0,1.0
cka_sep,specter,specter2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_sep,specter,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_sep,specter,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_sep,specter,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_sep,specter,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_sep,specter2,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
