field_id,repeat,condition,represented_subfields,effective_subfields_entropy,largest_subfield_share
19,1,observed_eligible_composition,7,5.575695594927507,0.32861328125
19,1,equal_subfield_composition,7,6.9999666140239905,0.1435546875
19,2,observed_eligible_composition,7,5.580733078961265,0.3173828125
19,2,equal_subfield_composition,7,6.9999666140239905,0.1435546875
19,3,observed_eligible_composition,7,5.6073395403491775,0.32763671875
19,3,equal_subfield_composition,7,6.9999666140239905,0.1435546875
19,4,observed_eligible_composition,7,5.527012777778318,0.32275390625
19,4,equal_subfield_composition,7,6.999943243334158,0.1435546875
19,5,observed_eligible_composition,7,5.5419950445110375,0.32958984375
19,5,equal_subfield_composition,7,6.99997831937326,0.1435546875
19,6,observed_eligible_composition,7,5.503903123017342,0.3359375
19,6,equal_subfield_composition,7,6.9999199523502815,0.14404296875
19,7,observed_eligible_composition,7,5.637908751268024,0.3076171875
19,7,equal_subfield_composition,7,6.999919792548073,0.1435546875
19,8,observed_eligible_composition,7,5.707741174609616,0.318359375
19,8,equal_subfield_composition,7,6.999954908694294,0.1435546875
19,9,observed_eligible_composition,7,5.577004309549,0.32080078125
19,9,equal_subfield_composition,7,6.99997831937326,0.1435546875
20,0,observed_eligible_composition,3,2.347063796228309,0.6767578125
20,0,equal_subfield_composition,3,2.9999949920456843,0.333984375
20,1,observed_eligible_composition,3,2.354198506521712,0.6728515625
20,1,equal_subfield_composition,3,2.9999949920456848,0.333984375
20,2,observed_eligible_composition,3,2.3123458838453272,0.6865234375
20,2,equal_subfield_composition,3,2.9999992846278474,0.33349609375
20,3,observed_eligible_composition,3,2.3462777321896477,0.67578125
20,3,equal_subfield_composition,3,2.999997139908374,0.333984375
20,4,observed_eligible_composition,3,2.3055442352825644,0.68896484375
20,4,equal_subfield_composition,3,2.999997139908374,0.333984375
20,5,observed_eligible_composition,3,2.352089112366019,0.67529296875
20,5,equal_subfield_composition,3,2.9999992846278474,0.33349609375
20,6,observed_eligible_composition,3,2.379762473030882,0.666015625
20,6,equal_subfield_composition,3,2.9999949920456848,0.333984375
20,7,observed_eligible_composition,3,2.321487218250331,0.68115234375
20,7,equal_subfield_composition,3,2.999997139908374,0.333984375
20,8,observed_eligible_composition,3,2.4008286870359443,0.66015625
20,8,equal_subfield_composition,3,2.9999885484576083,0.333984375
20,9,observed_eligible_composition,3,2.3010218605594464,0.68701171875
20,9,equal_subfield_composition,3,2.999997139908374,0.333984375
21,0,observed_eligible_composition,1,1.0,1.0
21,0,equal_subfield_composition,1,1.0,1.0
21,1,observed_eligible_composition,1,1.0,1.0
21,1,equal_subfield_composition,1,1.0,1.0
21,2,observed_eligible_composition,1,1.0,1.0
21,2,equal_subfield_composition,1,1.0,1.0
21,3,observed_eligible_composition,1,1.0,1.0
21,3,equal_subfield_composition,1,1.0,1.0
21,4,observed_eligible_composition,1,1.0,1.0
21,4,equal_subfield_composition,1,1.0,1.0
21,5,observed_eligible_composition,1,1.0,1.0
21,5,equal_subfield_composition,1,1.0,1.0
21,6,observed_eligible_composition,1,1.0,1.0
21,6,equal_subfield_composition,1,1.0,1.0
21,7,observed_eligible_composition,1,1.0,1.0
21,7,equal_subfield_composition,1,1.0,1.0
21,8,observed_eligible_composition,1,1.0,1.0
21,8,equal_subfield_composition,1,1.0,1.0
21,9,observed_eligible_composition,1,1.0,1.0
21,9,equal_subfield_composition,1,1.0,1.0
22,0,observed_eligible_composition,14,9.9998050932226,0.27734375
22,0,equal_subfield_composition,14,13.99983966499585,0.07177734375
22,1,observed_eligible_composition,14,10.394978724439023,0.255859375
22,1,equal_subfield_composition,14,13.99974634118502,0.072265625
22,2,observed_eligible_composition,14,10.175575521051178,0.28466796875
22,2,equal_subfield_composition,14,13.99965301799628,0.072265625
22,3,observed_eligible_composition,14,10.286322846368956,0.271484375
22,3,equal_subfield_composition,14,13.99979316227079,0.072265625
22,4,observed_eligible_composition,14,10.227306898291788,0.279296875
22,4,equal_subfield_composition,14,13.99974634118502,0.072265625
22,5,observed_eligible_composition,14,10.267837463799282,0.2763671875
