metric,input_condition,model,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
neighbors25,abstract,scibert,model_minus_input,26,0.5157215384615386,0.5164044444444444,0.4684844444444445,0.5615066666666666,0.4809427777777778,0.55584,26,0
neighbors25,title,bert,model_change_at_full,26,0.7014682051282051,0.7013288888888889,0.6477422222222222,0.7477333333333332,0.6569616666666667,0.7412194444444443,26,0
neighbors25,title,bert,input_change_from_full,26,0.8359507692307692,0.84418,0.7975,0.86338,0.7987875,0.8618425000000001,26,0
neighbors25,title,bert,model_minus_input,26,-0.13448256410256415,-0.13513666666666668,-0.16244666666666663,-0.0984666666666667,-0.1561272222222222,-0.10446111111111114,0,26
neighbors25,abstract,bert,model_change_at_full,26,0.7014682051282051,0.7013288888888889,0.6477422222222222,0.7477333333333332,0.6569616666666667,0.7412194444444443,26,0
neighbors25,abstract,bert,input_change_from_full,26,0.18025999999999998,0.17607,0.15382000000000007,0.24224,0.15420750000000005,0.22415249999999998,26,0
neighbors25,abstract,bert,model_minus_input,26,0.5212082051282051,0.5229755555555555,0.4801066666666667,0.5719133333333333,0.48425666666666667,0.5610966666666667,26,0
neighbors25,title,mpnet,model_change_at_full,26,0.6566010256410256,0.6492055555555556,0.6169066666666666,0.7441844444444444,0.6212219444444445,0.7135983333333333,26,0
neighbors25,title,mpnet,input_change_from_full,26,0.5168492307692307,0.50707,0.44084,0.63478,0.44745250000000003,0.5974425,26,0
neighbors25,title,mpnet,model_minus_input,26,0.13975179487179487,0.13284333333333337,0.07978444444444444,0.21465333333333325,0.09205111111111111,0.19980888888888892,26,0
neighbors25,abstract,mpnet,model_change_at_full,26,0.6566010256410256,0.6492055555555556,0.6169066666666666,0.7441844444444444,0.6212219444444445,0.7135983333333333,26,0
neighbors25,abstract,mpnet,input_change_from_full,26,0.17657846153846152,0.17671000000000003,0.14158000000000004,0.23703999999999992,0.14446750000000003,0.23377749999999997,26,0
neighbors25,abstract,mpnet,model_minus_input,26,0.4800225641025641,0.4742422222222221,0.4383311111111111,0.5198733333333333,0.44089500000000004,0.5153441666666667,26,0
neighbors25,title,minilm,model_change_at_full,26,0.6698492307692306,0.6643122222222222,0.6351666666666667,0.74612,0.6362888888888889,0.7227088888888888,26,0
neighbors25,title,minilm,input_change_from_full,26,0.5809830769230769,0.57617,0.49661999999999995,0.6942,0.5141825,0.664,26,0
neighbors25,title,minilm,model_minus_input,26,0.08886615384615383,0.08727333333333337,0.03803111111111113,0.15846222222222206,0.04671166666666665,0.1471372222222222,26,0
neighbors25,abstract,minilm,model_change_at_full,26,0.6698492307692306,0.6643122222222222,0.6351666666666667,0.74612,0.6362888888888889,0.7227088888888888,26,0
neighbors25,abstract,minilm,input_change_from_full,26,0.21491615384615384,0.20958000000000004,0.17912000000000006,0.28825999999999996,0.1839075,0.2733725,26,0
neighbors25,abstract,minilm,model_minus_input,26,0.45493307692307694,0.45463777777777786,0.42040222222222223,0.48694222222222217,0.4221230555555555,0.4836880555555555,26,0
neighbors25,title,pubmedbert,model_change_at_full,26,0.6864541880341881,0.6811100000000001,0.6501044444444444,0.73838,0.6509766666666666,0.7362994444444444,26,0
neighbors25,title,pubmedbert,input_change_from_full,26,0.8285976923076923,0.8202,0.76806,0.90288,0.770385,0.8955425,26,0
neighbors25,title,pubmedbert,model_minus_input,26,-0.14214350427350425,-0.14664333333333335,-0.17227555555555563,-0.09966666666666668,-0.17140194444444448,-0.10073750000000002,0,26
neighbors25,abstract,pubmedbert,model_change_at_full,26,0.6864541880341881,0.6811100000000001,0.6501044444444444,0.73838,0.6509766666666666,0.7362994444444444,26,0
neighbors25,abstract,pubmedbert,input_change_from_full,26,0.1623430769230769,0.16327000000000003,0.12012,0.21689999999999998,0.12330750000000007,0.20779999999999998,26,0
neighbors25,abstract,pubmedbert,model_minus_input,26,0.5241111111111111,0.5296866666666666,0.47724222222222223,0.587811111111111,0.4834630555555556,0.5706,26,0
neighbors25,title,biobert,model_change_at_full,26,0.6783339316239316,0.6694388888888889,0.6333977777777778,0.7360933333333333,0.6357227777777777,0.7298683333333333,26,0
neighbors25,title,biobert,input_change_from_full,26,0.83411,0.8255399999999999,0.77518,0.89776,0.7762049999999999,0.8898975,26,0
neighbors25,title,biobert,model_minus_input,26,-0.15577606837606833,-0.1592733333333332,-0.18320666666666674,-0.12262444444444454,-0.17809,-0.1232133333333334,0,26
