subfield_id,field_id,k,n,mean,median,min,max,p025,p975
1503,15,10,10,-0.01814222222222226,-0.018555555555555575,-0.04582222222222232,0.015199999999999991,-0.04418222222222229,0.011140000000000004
1503,15,25,10,-0.027413333333333345,-0.027653333333333335,-0.04387555555555556,-0.005102222222222286,-0.04347955555555555,-0.007118222222222263
1503,15,50,10,-0.016627555555555562,-0.016466666666666685,-0.029928888888888894,-0.006595555555555466,-0.028474888888888886,-0.007051555555555479
1504,15,10,10,-0.0908622222222222,-0.08946666666666667,-0.10222222222222221,-0.08182222222222213,-0.10097222222222221,-0.08270222222222212
1504,15,25,10,-0.1219733333333333,-0.12201777777777781,-0.12831999999999993,-0.11260444444444445,-0.1279639999999999,-0.11357244444444442
1504,15,50,10,-0.09561511111111112,-0.09787111111111113,-0.10321777777777785,-0.08159111111111106,-0.10312577777777784,-0.08313911111111108
1506,15,10,10,-0.0454888888888889,-0.04328888888888893,-0.06057777777777773,-0.032311111111111124,-0.05973777777777775,-0.03404111111111111
1506,15,25,10,-0.06651377777777778,-0.06476444444444443,-0.08143999999999996,-0.05751111111111107,-0.07917199999999998,-0.05849511111111108
1506,15,50,10,-0.07928977777777779,-0.07737777777777785,-0.09072000000000013,-0.06806222222222225,-0.0904900000000001,-0.06881422222222223
1507,15,10,10,-0.04495555555555554,-0.04168888888888886,-0.06724444444444438,-0.02217777777777774,-0.06434444444444441,-0.025857777777777726
1507,15,25,10,-0.057953777777777805,-0.0588977777777778,-0.08243555555555554,-0.03205333333333332,-0.08088755555555553,-0.03256933333333333
1507,15,50,10,-0.06281155555555552,-0.0606355555555555,-0.08907555555555557,-0.04345777777777782,-0.08719355555555554,-0.04365577777777779
1508,15,10,10,-0.041866666666666656,-0.03853333333333328,-0.061511111111111016,-0.03088888888888891,-0.059671111111111064,-0.031178888888888912
1508,15,25,10,-0.028056888888888916,-0.02872000000000008,-0.04095999999999994,-0.009173333333333256,-0.04055599999999995,-0.009609333333333275
1508,15,50,10,-0.0026160000000000185,-0.005919999999999981,-0.025893333333333435,0.024293333333333278,-0.02331733333333342,0.020965333333333287
1602,16,10,10,-0.053000000000000005,-0.056088888888888855,-0.07315555555555558,-0.030177777777777914,-0.07080555555555557,-0.03228777777777786
1602,16,25,10,-0.038256,-0.04165333333333335,-0.05032888888888881,-0.015751111111111105,-0.050216888888888825,-0.017523111111111083
1602,16,50,10,-0.032866666666666634,-0.030400000000000038,-0.049608888888888814,-0.018231111111111087,-0.049004888888888806,-0.01870711111111108
1603,16,10,10,-0.12764444444444445,-0.12697777777777777,-0.14364444444444452,-0.11822222222222223,-0.14194444444444448,-0.11851222222222223
1603,16,25,10,-0.10105955555555557,-0.09840888888888882,-0.12211555555555553,-0.09185777777777782,-0.11895955555555554,-0.0923137777777778
1603,16,50,10,-0.09316000000000003,-0.09254222222222225,-0.11584000000000017,-0.08271111111111107,-0.11157800000000014,-0.08349111111111106
1604,16,10,10,-0.020142222222222263,-0.01968888888888895,-0.031733333333333336,-0.007155555555555471,-0.03120333333333336,-0.008015555555555482
1604,16,25,10,-0.0031786666666666465,-0.00035555555555552565,-0.020444444444444487,0.012213333333333187,-0.01965244444444447,0.010741333333333214
1604,16,50,10,0.005462222222222202,0.0040755555555555545,-0.005564444444444483,0.016204444444444577,-0.005174444444444476,0.015594444444444529
1605,16,10,10,-0.020417777777777774,-0.023133333333333367,-0.0490666666666667,0.005022222222222261,-0.04543666666666668,0.0034522222222222575
1605,16,25,10,-0.027726222222222208,-0.02645333333333333,-0.04624,-0.004888888888888776,-0.045804,-0.007332888888888796
1605,16,50,10,-0.03424888888888887,-0.03282666666666656,-0.05849777777777765,-0.01838222222222219,-0.05466177777777767,-0.019334222222222204
1606,16,10,10,0.008502222222222222,0.006400000000000017,-0.0070666666666666655,0.024088888888888826,-0.007006666666666672,0.023798888888888824
1606,16,25,10,0.03137600000000003,0.026506666666666734,0.018595555555555587,0.049919999999999964,0.01898355555555558,0.049571999999999984
1606,16,50,10,0.03794400000000005,0.0369288888888889,0.025928888888889,0.054728888888888994,0.026142888888889004,0.053916888888888986
1607,16,10,10,0.001755555555555538,0.0014000000000000123,-0.03413333333333329,0.02586666666666676,-0.028303333333333305,0.02478666666666673
1607,16,25,10,0.019157333333333294,0.021324444444444396,0.005759999999999932,0.03027555555555539,0.006259999999999948,0.02988355555555543
1607,16,50,10,0.03507555555555556,0.0335955555555556,0.025893333333333324,0.04421333333333344,0.026751333333333325,0.04372133333333341
1702,17,10,10,0.020919999999999994,0.020355555555555516,0.00888888888888889,0.04186666666666666,0.009448888888888899,0.03827666666666668
1702,17,25,10,0.010433777777777754,0.006302222222222292,0.0009955555555555273,0.03262222222222222,0.0014195555555555199,0.029126222222222203
1702,17,50,10,0.00827911111111112,0.006004444444444534,-6.222222222218576e-05,0.023475555555555694,0.0003737777777777729,0.021483555555555638
1703,17,10,10,-0.0031688888888889042,-0.0043555555555556125,-0.026266666666666605,0.017644444444444518,-0.024226666666666643,0.01742444444444449
1703,17,25,10,0.035626666666666626,0.03766222222222215,0.0186311111111111,0.047093333333333265,0.02026711111111111,0.046237333333333276
1703,17,50,10,0.04788977777777779,0.045542222222222206,0.036435555555555554,0.0597066666666668,0.037239555555555554,0.05890866666666674
1704,17,10,10,-0.032675555555555555,-0.032200000000000034,-0.055555555555555414,-0.009599999999999997,-0.05315555555555544,-0.012259999999999983
