outcome,group,endpoint_change,slope,increasing_steps,decreasing_steps,minimum,maximum
cka_sep,23,0.03029522058322276,0.0067622998869929065,3,1,0.5630587218122622,0.593353942395485
cka_sep,24,0.04154130344089779,0.01044695899579775,4,0,0.5518288211080971,0.5933701245489948
cka_sep,25,0.06399045600334907,0.01493623695968278,4,0,0.5026642876032636,0.5666547436066127
cka_sep,26,0.11990288396266358,0.02827283517647161,4,0,0.5293210151442187,0.6492238991068823
cka_sep,27,0.014433176141594173,0.003964759590553646,3,1,0.475915663320864,0.49946642122215806
cka_sep,28,0.028380187502617504,0.007733426959496881,2,2,0.5662133340900151,0.5954794274412761
cka_sep,29,0.04170409668990316,0.01032366830606526,3,1,0.5852775960774098,0.6302266834370874
cka_sep,30,0.02949077910702602,0.010533118479226111,3,1,0.5414413955778077,0.5908545217153558
cka_sep,31,0.02470745970943966,0.006268637487873696,4,0,0.5396255908243707,0.5643330505338103
cka_sep,32,0.020561949917544675,0.0051648368789985796,4,0,0.5193190198841491,0.5398809698016938
cka_sep,33,0.039945392512093,0.009618143787848987,4,0,0.4989641503197682,0.5389095428318612
cka_sep,34,0.024464293352105426,0.006570743593576811,3,1,0.5331051905541284,0.560422352744946
cka_sep,35,0.019122104403411888,0.004266393992987294,3,1,0.5354469318183391,0.5559343156504368
cka_sep,36,0.034202352905797095,0.007698434134289634,3,1,0.4845865005235891,0.5187888534293862
cka_quality,11,0.015017195136627803,0.004533361359853272,2,2,0.6247225849203235,0.653670055367997
cka_quality,12,0.029312577353081348,0.007288365452225132,4,0,0.6175909080281202,0.6469034853812016
cka_quality,13,0.011446715809941832,0.0028398247463851333,4,0,0.6153687568792903,0.6268154726892321
cka_quality,14,-0.011356904444607796,-0.002284827156081426,1,3,0.5936536345045061,0.6079731979302382
cka_quality,15,0.009577117518696499,0.0032986475688342896,3,1,0.7107436369561796,0.733125952708975
cka_quality,16,0.03663911083914462,0.008990329169326827,4,0,0.6536446869711121,0.6902837978102567
