outcome,group,endpoint_change,slope,increasing_steps,decreasing_steps,minimum,maximum,model_a,model_b
rsa_spearman_primary,34,0.004290650570733301,0.0013498263765827855,3,1,0.7827886660178298,0.7920148921346062,bert,simcse
rsa_spearman_primary,35,0.014938351610872425,0.004052270421159831,3,1,0.815811806531933,0.8315664313597224,mpnet,minilm
rsa_spearman_primary,36,0.051748959907245595,0.012037893978845183,4,0,0.4127035377932705,0.4644524977005161,mpnet,pubmedbert
rsa_spearman_primary,37,0.0487611676305042,0.011106829758084469,4,0,0.41535723945407993,0.46411840708458413,mpnet,biobert
rsa_spearman_primary,38,0.009339415149016983,0.0020509351933794663,3,1,0.4538102658280509,0.46704940061687317,mpnet,simcse
rsa_spearman_primary,39,0.03546453938560595,0.008927250410863697,4,0,0.4361576393318722,0.47162217871747814,minilm,pubmedbert
rsa_spearman_primary,40,0.03823226209175501,0.009592255071826362,3,1,0.44098382013451687,0.4795157029348282,minilm,biobert
rsa_spearman_primary,41,0.0028261690425512853,0.0008221805125578019,2,2,0.49718872248317647,0.5081800438135458,minilm,simcse
rsa_spearman_primary,42,-0.015259893235590849,-0.004003688912533332,1,3,0.8655729731783742,0.8808422994106633,pubmedbert,biobert
rsa_spearman_primary,43,0.005407415222308254,0.0018307249582655062,2,2,0.5954556079373309,0.6062084777123673,pubmedbert,simcse
rsa_spearman_primary,44,0.006715569461059334,0.0019134356470345893,2,2,0.6055836309757655,0.616255650056436,biobert,simcse
procrustes_similarity_primary,0,0.018293231437078283,0.004776732186147492,4,0,0.7075398548094045,0.7258330862464828,specter,specter2
procrustes_similarity_primary,1,0.009749871646830388,0.0026159185203842306,4,0,0.7714286453719723,0.7811785170188027,specter,scincl
procrustes_similarity_primary,2,-0.0003875684949429248,-2.7901749467229565e-05,2,2,0.6522252956120987,0.654112880372696,specter,scibert
procrustes_similarity_primary,3,0.002849978813717069,0.0005363097178892051,2,2,0.6161084264522885,0.6228538969733697,specter,bert
procrustes_similarity_primary,4,0.009216598295713196,0.002438733869593168,3,1,0.7113996726112879,0.7206987071699008,specter,mpnet
procrustes_similarity_primary,5,0.009761861504649194,0.002551861567823166,4,0,0.662377822797058,0.6721396843017072,specter,minilm
procrustes_similarity_primary,6,-0.00016499660776325697,-4.198392592780209e-05,2,2,0.6291884295518506,0.6319577060556925,specter,pubmedbert
procrustes_similarity_primary,7,0.00122919850338421,7.94789892249348e-05,1,3,0.6233701480995516,0.6271409786867719,specter,biobert
procrustes_similarity_primary,8,0.0027212027100664837,0.0007847618738447082,3,1,0.5996975076475489,0.6031234406288166,specter,simcse
procrustes_similarity_primary,9,0.02035487998660901,0.005201541883090255,4,0,0.7886552629799654,0.8090101429665744,specter2,scincl
procrustes_similarity_primary,10,-0.002841152263669877,-0.0008174015381099186,1,3,0.687595309300253,0.691415644017596,specter2,scibert
procrustes_similarity_primary,11,0.0032776123670069657,0.0006532586773134508,2,2,0.5856889270885918,0.5927788539146692,specter2,bert
procrustes_similarity_primary,12,0.016742155765122724,0.0044082555925158305,4,0,0.684345756209802,0.7010879119749247,specter2,mpnet
procrustes_similarity_primary,13,0.017317296983973218,0.004581274338851249,4,0,0.6382691714743298,0.655586468458303,specter2,minilm
procrustes_similarity_primary,14,-0.0018633299117489788,-0.0004709126949724807,1,3,0.6132537969103885,0.6153161392332857,specter2,pubmedbert
procrustes_similarity_primary,15,-0.0010470187504700856,-0.0005272804356015292,1,3,0.6056856618038301,0.6093701267470166,specter2,biobert
procrustes_similarity_primary,16,0.001354646319849273,0.0004771911214363378,2,2,0.5709114767286015,0.5741594698519619,specter2,simcse
procrustes_similarity_primary,17,0.0025710044449345215,0.0006356886674818485,3,1,0.6757789604908623,0.6783499649357968,scincl,scibert
procrustes_similarity_primary,18,0.0028570424512116555,0.0005892546555144263,2,2,0.6065487239123161,0.6145396046080825,scincl,bert
procrustes_similarity_primary,19,0.0066519105701058345,0.0018970885512829216,3,1,0.7189258386048666,0.7277216124719483,scincl,mpnet
procrustes_similarity_primary,20,0.007804688494030709,0.002137909353335199,3,1,0.6698678340407245,0.6789432473635256,scincl,minilm
procrustes_similarity_primary,21,0.0027350067786391374,0.0007419357474815147,2,2,0.6187148844458518,0.6232807949719658,scincl,pubmedbert
procrustes_similarity_primary,22,0.002828658686659935,0.0005182591601420317,2,2,0.6121213883400364,0.617167852090903,scincl,biobert
procrustes_similarity_primary,23,0.0028970915129278296,0.0008418812566565847,3,1,0.5897825928033743,0.5937603257101542,scincl,simcse
procrustes_similarity_primary,24,-0.004847614379069998,-0.0012155175736583202,2,2,0.7559088056152845,0.7635939996081231,scibert,bert
procrustes_similarity_primary,25,-0.001026737739556749,-0.00019593991171757975,2,2,0.6102244447114156,0.6136057282570219,scibert,mpnet
procrustes_similarity_primary,26,-0.0022173103283575912,-0.0003341795025601613,2,2,0.583742826388647,0.5888355647001791,scibert,minilm
procrustes_similarity_primary,27,0.0019680851512894337,0.00046455211520091133,3,1,0.8288212129133906,0.8316101992595646,scibert,pubmedbert
procrustes_similarity_primary,28,-0.0007776012843107027,-0.0003155007072270344,1,3,0.8063862846902925,0.8079866074894587,scibert,biobert
procrustes_similarity_primary,29,-0.007250856005421746,-0.0017468254660784276,1,3,0.6669006212086389,0.6746593983961324,scibert,simcse
procrustes_similarity_primary,30,0.0008633885295298294,0.00011914284095642103,2,2,0.6079713366183495,0.614571933013768,bert,mpnet
procrustes_similarity_primary,31,-0.000346962210557078,-5.3807165957286963e-05,2,2,0.5920184538054206,0.5980916519303519,bert,minilm
procrustes_similarity_primary,32,-0.006144726282056312,-0.001544737469743218,1,3,0.762487946232945,0.7687898917246975,bert,pubmedbert
procrustes_similarity_primary,33,-0.004702217927743502,-0.0012027448075311309,0,4,0.7659926256483646,0.7706948435761081,bert,biobert
procrustes_similarity_primary,34,-0.003743348800917312,-0.0009391562599764036,0,4,0.7963849406475647,0.800128289448482,bert,simcse
procrustes_similarity_primary,35,0.0025499035124902925,0.0008282802356384345,3,1,0.7479765655392214,0.7527650921163811,mpnet,minilm
procrustes_similarity_primary,36,0.0006869706733131364,0.0002216203795889271,2,2,0.5934419049322968,0.5973523293342917,mpnet,pubmedbert
procrustes_similarity_primary,37,0.0009185373868579871,5.3813553576076425e-05,1,3,0.597907325183784,0.6023495041874344,mpnet,biobert
procrustes_similarity_primary,38,-0.0017728144694506565,-0.0002880002494306977,1,3,0.5993783294722367,0.6031019553607979,mpnet,simcse
procrustes_similarity_primary,39,-0.0013413409274819488,-0.0001430982477378384,2,2,0.5676339653215364,0.5724336903013467,minilm,pubmedbert
procrustes_similarity_primary,40,-0.000402572651746147,-0.00011843756969789342,2,2,0.5734332097070772,0.5781334421456263,minilm,biobert
procrustes_similarity_primary,41,-0.0030135709599304894,-0.0005564447806608141,1,3,0.588082411886818,0.5922426667883195,minilm,simcse
procrustes_similarity_primary,42,-0.0004913120961937967,-0.00023146562437561524,2,2,0.8267866728137533,0.8281187048651221,pubmedbert,biobert
procrustes_similarity_primary,43,-0.008482405612497801,-0.0021056376507070373,0,4,0.6641837019882707,0.6726661076007685,pubmedbert,simcse
procrustes_similarity_primary,44,-0.008465986895562994,-0.0022362544022036523,0,4,0.6645527253262038,0.6730187122217668,biobert,simcse
cka_raw,0,0.038328316565820475,0.010046247049561318,4,0,0.7258547012742529,0.7641830178400734,specter,specter2
cka_raw,1,0.02242583827246969,0.005713242923861173,4,0,0.7935654639312071,0.8159913022036768,specter,scincl
cka_raw,2,0.02349317396921069,0.007029796779230812,3,1,0.528310235190885,0.5562053507790672,specter,scibert
cka_raw,3,0.008368710605925034,0.0014399585909708802,2,2,0.5428464188120455,0.561320341894268,specter,bert
cka_raw,4,0.030431453887153403,0.007709803376111468,4,0,0.7489431817429435,0.7793746356300969,specter,mpnet
cka_raw,5,0.032028690535044535,0.008160253506431746,4,0,0.7005049163361068,0.7325336068711513,specter,minilm
cka_raw,6,0.019570512941592733,0.0054080368877144295,4,0,0.5082830901029969,0.5278536030445896,specter,pubmedbert
cka_raw,7,0.019823269295279555,0.004813762415286171,3,1,0.52698600076409,0.5486787829595999,specter,biobert
cka_raw,8,0.011189791331317811,0.0028915800477926855,4,0,0.5351575052137256,0.5463472965450434,specter,simcse
cka_raw,9,0.03776643046026695,0.00984035189852812,4,0,0.7858441065666845,0.8236105370269514,specter2,scincl
cka_raw,10,0.004276319463043854,0.0006806333945070131,2,2,0.5532987331023371,0.5606488077687852,specter2,scibert
cka_raw,11,0.00948631594771554,0.0011734568645568766,3,1,0.5122213939039009,0.5286947633057989,specter2,bert
cka_raw,12,0.041876246189301525,0.01078655918500906,4,0,0.7343046323780472,0.7761808785673487,specter2,mpnet
cka_raw,13,0.04908407977072693,0.01291763340112546,4,0,0.6772962678920293,0.7263803476627563,specter2,minilm
cka_raw,14,0.010124652977883342,0.0019929467989253436,3,1,0.500823894112847,0.5109485470907303,specter2,pubmedbert
cka_raw,15,0.007985600716240882,0.000626530936983527,2,2,0.520252703795727,0.5299585958583733,specter2,biobert
