source,control,measure,n,mean,median,min,max,p025,p975
common_text_shape_change.csv,same_text,delta_rsa_spearman,1170,0.0022493298815105096,0.001855387286389093,-0.05177746772894132,0.050569720764427006,-0.027740388403403794,0.03204572047482543
common_text_shape_change.csv,same_text,absolute_delta_rsa_spearman,1170,0.0096763082623343,0.006884145965208505,1.5958605046328955e-06,0.05177746772894132,0.00022278451196265926,0.035771205055042846
minilm_shape_change.csv,minilm512,delta_cka,1170,0.013837401861788506,0.00771425873906334,-0.013398089801278212,0.0714548028794233,-0.006077787531536366,0.05108800011395932
minilm_shape_change.csv,minilm512,absolute_delta_cka,1170,0.015517025919311377,0.008194010381612354,8.173850598702792e-06,0.0714548028794233,0.000268317202875018,0.05108800011395932
minilm_neighbor_change.csv,minilm512_vs_other_models_k10,delta_overlap,1170,0.0076195152789544805,0.0075253924284395205,-0.02169898430286242,0.03662817551963048,-0.013819252077562325,0.028253310270367413
minilm_neighbor_change.csv,minilm512_vs_other_models_k10,absolute_delta_overlap,1170,0.011694571957989834,0.010274758550685697,1.0251366801709663e-19,0.03662817551963048,0.0004225238467226614,0.028253310270367413
minilm_neighbor_change.csv,minilm512_vs_itself_k10,delta_overlap,130,-0.19994575891547486,-0.21896723377761107,-0.3285970605077305,-0.05006042296072507,-0.30145706371191133,-0.07486495844875346
minilm_neighbor_change.csv,minilm512_vs_itself_k10,absolute_delta_overlap,130,0.19994575891547486,0.21896723377761107,0.05006042296072507,0.3285970605077305,0.07486495844875346,0.30145706371191133
common_text_neighbor_change.csv,same_text_k10,delta_overlap,5850,0.0011523504273504275,0.0005000000000000009,-0.03949999999999999,0.0455,-0.017,0.022249999999999995
common_text_neighbor_change.csv,same_text_k10,absolute_delta_overlap,5850,0.006910299145299145,0.0052499999999999995,0.0,0.0455,0.0002499999999999997,0.02375
minilm_neighbor_change.csv,minilm512_vs_other_models_k25,delta_overlap,1170,0.007750993421858977,0.007432995943017107,-0.02032337835267263,0.03684064665127021,-0.013241581954156085,0.029291957773764844
minilm_neighbor_change.csv,minilm512_vs_other_models_k25,absolute_delta_overlap,1170,0.012041531608698777,0.010645292230054029,1.390820584144716e-05,0.03684064665127021,0.0005212373037857804,0.029291957773764844
minilm_neighbor_change.csv,minilm512_vs_itself_k25,delta_overlap,130,-0.17750593103368748,-0.19477377654662972,-0.303725138385188,-0.042996978851963755,-0.27034443674976916,-0.06250692520775625
minilm_neighbor_change.csv,minilm512_vs_itself_k25,absolute_delta_overlap,130,0.17750593103368748,0.19477377654662972,0.042996978851963755,0.303725138385188,0.06250692520775623,0.27034443674976916
common_text_neighbor_change.csv,same_text_k25,delta_overlap,5850,0.001523008547008547,0.0006999999999999991,-0.0436,0.03980000000000001,-0.0139775,0.022000000000000002
common_text_neighbor_change.csv,same_text_k25,absolute_delta_overlap,5850,0.006232512820512821,0.0044,0.0,0.0436,0.00019999999999999906,0.023054999999999923
minilm_neighbor_change.csv,minilm512_vs_other_models_k50,delta_overlap,1170,0.007830498664027246,0.0072391505078485685,-0.020144569145900702,0.038457987072945524,-0.01313319482917821,0.030030980906091395
minilm_neighbor_change.csv,minilm512_vs_other_models_k50,absolute_delta_overlap,1170,0.012172394987988885,0.010290858725761774,6.345177664975188e-06,0.038457987072945524,0.00046028202471890505,0.030030980906091395
minilm_neighbor_change.csv,minilm512_vs_itself_k50,delta_overlap,130,-0.16230332525686475,-0.1776595944819668,-0.28832601641534644,-0.03924471299093658,-0.25269815712526933,-0.055671745152354596
minilm_neighbor_change.csv,minilm512_vs_itself_k50,absolute_delta_overlap,130,0.16230332525686475,0.1776595944819668,0.03924471299093658,0.28832601641534644,0.05567174515235459,0.2526981571252693
common_text_neighbor_change.csv,same_text_k50,delta_overlap,5850,0.0017867008547008546,0.0008000000000000017,-0.040350000000000004,0.0388,-0.012750000000000003,0.022638749999999982
common_text_neighbor_change.csv,same_text_k50,absolute_delta_overlap,5850,0.0058773333333333325,0.003949999999999999,0.0,0.040350000000000004,0.0001500000000000008,0.023150000000000004
