metric,input_condition,field_id,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
rsa,title,19,model_minus_input,10,0.044466940207499805,0.07419776750990914,-0.20668279768320563,0.2577954161639863,-0.20577152213394032,0.2566547707431598,5,5
rsa,abstract,19,model_change_at_full,10,0.422505317194297,0.4010679740839205,0.3805610854572359,0.543731621539829,0.38104199564040075,0.5288459119105648,10,0
rsa,abstract,19,input_change_from_full,10,0.027543248470808045,0.022640291265348333,0.010300192497250671,0.06450486813076528,0.011119725544886697,0.06140290562773483,10,0
rsa,abstract,19,model_minus_input,10,0.394962068723489,0.3803571953426454,0.3464471061939508,0.47922675340906373,0.3505446027343332,0.47362890005569475,10,0
neighbors25,title,19,model_change_at_full,10,0.6650853333333334,0.6575888888888888,0.6418466666666667,0.7217355555555556,0.6424191666666667,0.7161275555555556,10,0
neighbors25,title,19,input_change_from_full,10,0.714434,0.72138,0.5275000000000001,0.83972,0.5452525,0.8378075,10,0
neighbors25,title,19,model_minus_input,10,-0.049348666666666686,-0.03981888888888885,-0.18937333333333328,0.11689111111111106,-0.1879858333333333,0.10501111111111111,5,5
neighbors25,abstract,19,model_change_at_full,10,0.6650853333333334,0.6575888888888888,0.6418466666666667,0.7217355555555556,0.6424191666666667,0.7161275555555556,10,0
neighbors25,abstract,19,input_change_from_full,10,0.219082,0.21020000000000005,0.15171999999999997,0.32938,0.15233199999999997,0.32353,10,0
neighbors25,abstract,19,model_minus_input,10,0.44600333333333336,0.4625122222222222,0.3417866666666667,0.49368444444444437,0.3534066666666667,0.4935984444444444,10,0
cka,title,20,model_change_at_full,10,0.4138554193931996,0.40589698328066703,0.38404904439080767,0.4578311569603943,0.38555692611562026,0.45373948622473687,10,0
cka,title,20,input_change_from_full,10,0.4479222521686479,0.4297773812016658,0.23838160892268467,0.7376145326740982,0.24175251197023012,0.7244027054134541,10,0
cka,title,20,model_minus_input,10,-0.034066832775448294,-0.010554163669432542,-0.2979685789832925,0.15421969550102088,-0.280665080986991,0.1535551946987794,5,5
cka,abstract,20,model_change_at_full,10,0.4138554193931996,0.40589698328066703,0.38404904439080767,0.4578311569603943,0.38555692611562026,0.45373948622473687,10,0
cka,abstract,20,input_change_from_full,10,0.035731417323594375,0.03291849767224575,0.01417575615951383,0.07000098430937585,0.014768602233704145,0.06697643031773282,10,0
cka,abstract,20,model_minus_input,10,0.37812400206960517,0.3738938913449157,0.33013988452267573,0.43347956551202244,0.338038991539359,0.4257214310047063,10,0
rsa,title,20,model_change_at_full,10,0.45660839464588776,0.4417533348591335,0.42142888970273923,0.5222088875740218,0.42222279169609883,0.5144696821428115,10,0
rsa,title,20,input_change_from_full,10,0.44472811024801934,0.40387627889794014,0.2555340511588393,0.7134310759725765,0.2561059547342171,0.6999160348044391,10,0
rsa,title,20,model_minus_input,10,0.011880284397868368,0.05479522801265463,-0.2724765086190234,0.22327592352569475,-0.2611216520773365,0.22179915868625144,5,5
rsa,abstract,20,model_change_at_full,10,0.45660839464588776,0.4417533348591335,0.42142888970273923,0.5222088875740218,0.42222279169609883,0.5144696821428115,10,0
rsa,abstract,20,input_change_from_full,10,0.033520074200649286,0.027162682515407266,0.012976733124945294,0.0834642836266617,0.013037680561247201,0.07845120770306592,10,0
rsa,abstract,20,model_minus_input,10,0.4230883204452384,0.4222788156716971,0.39282554432206934,0.4637536885727213,0.39290372122243883,0.45944533243056246,10,0
neighbors25,title,20,model_change_at_full,10,0.7125004444444445,0.7157577777777778,0.67802,0.7467555555555556,0.6796314999999999,0.7421185555555556,10,0
neighbors25,title,20,input_change_from_full,10,0.7462980000000001,0.75831,0.54756,0.8861600000000001,0.5640975,0.8859395,10,0
neighbors25,title,20,model_minus_input,10,-0.03379755555555558,-0.021858888888888872,-0.17008444444444448,0.1304599999999999,-0.1680969444444445,0.11763099999999994,5,5
neighbors25,abstract,20,model_change_at_full,10,0.7125004444444445,0.7157577777777778,0.67802,0.7467555555555556,0.6796314999999999,0.7421185555555556,10,0
neighbors25,abstract,20,input_change_from_full,10,0.2413579999999999,0.22503,0.17208,0.37293999999999994,0.1736055,0.36479049999999996,10,0
neighbors25,abstract,20,model_minus_input,10,0.4711424444444444,0.4895944444444445,0.34804222222222225,0.5358688888888888,0.3573537222222223,0.5347588888888888,10,0
cka,title,21,model_change_at_full,10,0.22531870495536185,0.22347187650832512,0.20093445712397465,0.2775021947123015,0.2033035139671484,0.2668719000602735,10,0
cka,title,21,input_change_from_full,10,0.22379726987179221,0.1755686161082663,0.10451727767167973,0.4925364521885155,0.10676556488603826,0.45642337912454717,10,0
cka,title,21,model_minus_input,10,0.0015214350835696833,0.0447347819323661,-0.27723068084952274,0.11085576859368973,-0.2337339355305928,0.11083125124821142,6,4
