population,measure,k,level,selection,recipe,n,mean,median,min,max,p025,p975
all_eligible,neighbors,50,subfield,512,sep,8235,0.41754212204007285,0.4059765625,0.1402734375,0.7596875,0.225580078125,0.666796875
same_183_subfields,neighbors,10,field,128,mean,1170,0.42980435363247865,0.40078125,0.2078125,0.72421875,0.25703125,0.6539843749999996
same_183_subfields,neighbors,25,field,128,mean,1170,0.5345090811965812,0.51078125,0.324375,0.7825,0.383265625,0.7243046875
same_183_subfields,neighbors,50,field,128,mean,1170,0.6466634615384615,0.63015625,0.48578125,0.8240625,0.53,0.79551953125
same_183_subfields,neighbors,10,field,128,cls,1170,0.35404447115384613,0.315625,0.165625,0.72421875,0.196875,0.6224804687499998
same_183_subfields,neighbors,25,field,128,cls,1170,0.4681813568376068,0.4421875,0.3,0.7825,0.322328125,0.69625
same_183_subfields,neighbors,50,field,128,cls,1170,0.5996282051282051,0.5821093749999999,0.46109375,0.8209375,0.48578125,0.7561249999999998
same_183_subfields,neighbors,10,field,128,sep,1170,0.391282719017094,0.3765625,0.15234375,0.72421875,0.21302734375,0.625
same_183_subfields,neighbors,25,field,128,sep,1170,0.49944017094017096,0.4934375,0.2728125,0.7825,0.333578125,0.6968046875
same_183_subfields,neighbors,50,field,128,sep,1170,0.6214217414529914,0.6221875,0.42796875,0.8209375,0.495296875,0.76145703125
same_183_subfields,neighbors,10,field,256,mean,1170,0.3739646768162393,0.335546875,0.180859375,0.667578125,0.20985351562500001,0.6160937499999996
same_183_subfields,neighbors,25,field,256,mean,1170,0.4548899572649573,0.42359375,0.2496875,0.7296875,0.29274609375,0.6775117187499997
same_183_subfields,neighbors,50,field,256,mean,1170,0.5345980902777778,0.5086328124999999,0.346953125,0.7875,0.385677734375,0.7283828124999999
same_183_subfields,neighbors,10,field,256,cls,1170,0.2971564503205128,0.2529296875,0.125,0.667578125,0.14548828125000002,0.5762011718749993
same_183_subfields,neighbors,25,field,256,cls,1170,0.3811936431623931,0.344921875,0.2003125,0.7296875,0.22953125,0.6412968749999998
same_183_subfields,neighbors,50,field,256,cls,1170,0.46945352564102566,0.4421875,0.295390625,0.7875,0.32390625,0.6964121093749999
same_183_subfields,neighbors,10,field,256,sep,1170,0.33374632745726496,0.3125,0.11796875,0.667578125,0.15447265625,0.5791601562499997
same_183_subfields,neighbors,25,field,256,sep,1170,0.4159632745726496,0.40523437500000004,0.1859375,0.7296875,0.23529687500000002,0.6433671875
same_183_subfields,neighbors,50,field,256,sep,1170,0.4992969417735042,0.49328125,0.273359375,0.7875,0.331302734375,0.6973515625
same_183_subfields,neighbors,10,field,512,mean,1170,0.33424278846153843,0.286328125,0.1466796875,0.6283203125,0.1799267578125,0.5817919921875
same_183_subfields,neighbors,25,field,512,mean,1170,0.39697883279914525,0.356171875,0.1928125,0.683125,0.237361328125,0.6319648437499997
same_183_subfields,neighbors,50,field,512,mean,1170,0.45715918803418804,0.42162109375,0.2475390625,0.7367578125,0.2995673828125,0.6806054687499999
same_183_subfields,neighbors,10,field,512,cls,1170,0.2565471420940171,0.21005859375,0.0869140625,0.6283203125,0.112197265625,0.5509326171875
