field_id,condition,metric,model_group,n,mean,median,min,max,p025,p975
26,equal_subfield_composition,neighbors_k50,both_biomedical,10,0.0449462890625,0.04383300781249999,0.038691406250000004,0.05482421874999999,0.03893530273437501,0.05442431640625
26,equal_subfield_composition,rsa_spearman,all,10,-0.13407193512511498,-0.13512683942668954,-0.1441885047428046,-0.11606097932069209,-0.14356580711400532,-0.11904561613081974
26,equal_subfield_composition,rsa_spearman,without_biomedical,10,-0.1529435477572208,-0.154139166024678,-0.16135716998882127,-0.1372594648006264,-0.1606077750616515,-0.1392835699858023
26,equal_subfield_composition,rsa_spearman,one_biomedical,10,-0.10674264995502525,-0.1074928555784041,-0.12011625752644706,-0.08366527825831377,-0.11989070605055957,-0.08658110164950625
26,equal_subfield_composition,rsa_spearman,both_biomedical,10,-0.042935344147587026,-0.041998271470496396,-0.051629367912074176,-0.03475907414089485,-0.05095267262797015,-0.03505933308552084
26,observed_eligible_composition,cka_debiased,all,10,-0.12481937283295093,-0.1243620158360112,-0.13688919826622858,-0.11394604828961497,-0.13586169259082698,-0.11410223975034824
26,observed_eligible_composition,cka_debiased,without_biomedical,10,-0.12657671633205658,-0.12659233871863523,-0.13614284363691687,-0.1168886886492192,-0.13604411649184425,-0.11727952696803655
26,observed_eligible_composition,cka_debiased,one_biomedical,10,-0.12587603940648923,-0.1244888823042159,-0.14270294104819303,-0.11160265548402848,-0.14155671192217678,-0.11194987141811272
26,observed_eligible_composition,cka_debiased,both_biomedical,10,-0.05870708968137711,-0.059757929068396665,-0.0690510490642885,-0.04435549224185664,-0.06900167312718755,-0.04599608999331879
26,observed_eligible_composition,neighbors_k10,all,10,0.014941623263888893,0.014365234374999925,0.011166449652777855,0.019822048611111087,0.011225775824652864,0.0194157986111111
26,observed_eligible_composition,neighbors_k10,without_biomedical,10,0.00680228097098215,0.006541224888392844,0.0009608677455357206,0.011955915178571419,0.0013697160993303592,0.011818978445870534
26,observed_eligible_composition,neighbors_k10,one_biomedical,10,0.024786987304687497,0.024629211425781256,0.0219879150390625,0.029687500000000006,0.021989974975585934,0.029121017456054686
26,observed_eligible_composition,neighbors_k10,both_biomedical,10,0.08531738281250001,0.08366699218750001,0.07778320312500003,0.10185546874999996,0.07821166992187502,0.09899902343749996
26,observed_eligible_composition,neighbors_k25,all,10,-0.003896788194444456,-0.00479210069444444,-0.007689670138888882,8.029513888885287e-05,-0.00743703342013888,-1.1892361111138917e-05
26,observed_eligible_composition,neighbors_k25,without_biomedical,10,-0.012377092633928593,-0.01291155133928576,-0.016533203125000062,-0.008048967633928594,-0.016303118024553614,-0.008227730887276798
26,observed_eligible_composition,neighbors_k25,one_biomedical,10,0.007039306640624998,0.006926269531250001,0.0027111816406250044,0.012288818359374953,0.0029292602539062558,0.012088592529296829
26,observed_eligible_composition,neighbors_k25,both_biomedical,10,0.05857421875,0.05792968749999999,0.051113281249999976,0.06884765625,0.05140332031249997,0.06807421875
26,observed_eligible_composition,neighbors_k50,all,10,-0.022459613715277788,-0.02222840711805557,-0.026452039930555504,-0.018362413194444427,-0.026332020399305524,-0.018543223741319437
26,observed_eligible_composition,neighbors_k50,without_biomedical,10,-0.031349434988839256,-0.03113473074776782,-0.036095145089285685,-0.02681989397321438,-0.035726553780691894,-0.027240277971540258
26,observed_eligible_composition,neighbors_k50,one_biomedical,10,-0.010463562011718747,-0.01004699707031248,-0.015343017578125062,-0.006465454101562462,-0.015167098999023495,-0.006558563232421833
26,observed_eligible_composition,neighbors_k50,both_biomedical,10,0.03451855468749997,0.03208007812499997,0.02784179687499999,0.04784179687500001,0.02790771484374998,0.047033203125
26,observed_eligible_composition,rsa_spearman,all,10,-0.13312482474933196,-0.1324332502156494,-0.14347848142599645,-0.12052044836133396,-0.14313489348121744,-0.12113255471047184
26,observed_eligible_composition,rsa_spearman,without_biomedical,10,-0.14531369277747347,-0.14645651013193547,-0.15523806213591668,-0.13169989012007116,-0.15497028663297988,-0.13196117819678627
26,observed_eligible_composition,rsa_spearman,one_biomedical,10,-0.11722043179843852,-0.11640773848815927,-0.1292363782384035,-0.10376903146482852,-0.12914528417135857,-0.10493380111880941
26,observed_eligible_composition,rsa_spearman,both_biomedical,10,-0.04630680717566549,-0.04529921594999409,-0.05277265073392323,-0.040576336023945836,-0.052609964601419354,-0.04091350053088764
31,equal_subfield_composition,cka_debiased,all,10,-0.1305364265000415,-0.13059193586815393,-0.1375751552171265,-0.12481994344794001,-0.13672331542990196,-0.12482846377056082
31,equal_subfield_composition,cka_debiased,without_biomedical,10,-0.10949831783442714,-0.1098475542377198,-0.11522247004025976,-0.10041438155353466,-0.11467742652782166,-0.10166476687362516
31,equal_subfield_composition,cka_debiased,one_biomedical,10,-0.1721018677246605,-0.17204101773591912,-0.18158230732399672,-0.16270297616316748,-0.18108404699709546,-0.16338831074245733
