group,field_id,n,mean,median,min,max,p025,p975
1904,19,45,0.6808915010468077,0.6396277766899788,0.5421695163058871,0.8693452830116464,0.5699606423618347,0.8635109039275378
1906,19,45,0.6749084635490568,0.631173411058583,0.5248846473474943,0.867134003715858,0.5322025767689856,0.8623604605936382
1907,19,45,0.7415227674512896,0.7161888836066516,0.5729756714583872,0.9074702546125608,0.5739743815347434,0.8888733611882275
1908,19,45,0.7036034567770205,0.6795026040799806,0.5177668535857943,0.8697470961820777,0.5464402081016106,0.8608997424907737
1910,19,45,0.7238543953270832,0.6938726776280448,0.5749411876149244,0.8789163965052377,0.5974483772851704,0.8721087280868363
1911,19,45,0.6780003761467442,0.6654210317090362,0.504775384307817,0.8954075869665038,0.5495148411587372,0.8874409009600579
2000,20,45,0.6047508586107635,0.5767554314138842,0.35550679905319676,0.8396392367918417,0.36903450170470636,0.8180514267199618
2002,20,45,0.5722393240610323,0.5228470127834708,0.34151081576021197,0.8220765394907491,0.38150460231768935,0.8141442547103299
2003,20,45,0.6685003864592924,0.6313587340159587,0.4859032568111309,0.8576255877562272,0.5171940462079123,0.8545360931042314
2100,21,45,0.5447263131222582,0.5037563138183712,0.3228936741960242,0.8373111634955369,0.3255232963245386,0.806248888555156
2102,21,45,0.6815222509258211,0.6226967491475995,0.5699834265346027,0.863754780741497,0.5712277181673288,0.8580695809238857
2105,21,45,0.7621481033630717,0.7199020169646042,0.6295984841474959,0.9093966500024498,0.6563719104652325,0.9039157814151719
2200,22,45,0.536374902021159,0.4627299267996678,0.36775536815418486,0.8371516678377054,0.3770347510346246,0.7650718495000034
2202,22,45,0.6785784295254648,0.6443880378792234,0.5327668010420966,0.8809620710574281,0.5379581148975988,0.8672351163066389
2203,22,45,0.6981805380823232,0.6600579277540841,0.551638679703928,0.907299825522377,0.5627446120719245,0.8914008292898161
2204,22,45,0.657219893960929,0.6027830756017964,0.5140708295971993,0.8815461583987183,0.5239095497921731,0.8466662230534153
2205,22,45,0.5725501446706264,0.530867033813748,0.39878543819694884,0.8384923902768977,0.40225326147131374,0.8072081794495284
2206,22,45,0.6573071739210832,0.6014140103440161,0.5330781802507463,0.8679320191030351,0.5376795466304278,0.8587318554227091
2207,22,45,0.6275718076622164,0.5611607858142666,0.4546773011468417,0.8733619514594892,0.47193669923091747,0.8431192900474757
2208,22,45,0.6515052566701293,0.614123993204082,0.4861462670027569,0.8588249039933743,0.5027879655182935,0.8515967295501095
2209,22,45,0.6096388687404168,0.5465669451408417,0.4281990064173063,0.860040798392884,0.4476193841710018,0.8358933954397608
2210,22,45,0.6072881948484402,0.5690437340395813,0.4276032272303739,0.8433240346141654,0.43743592073171056,0.8296198185020137
2211,22,45,0.6332104739589073,0.5913604115231595,0.48557215393146697,0.8614627132376387,0.4862459243725092,0.8508684825110574
2212,22,45,0.6025669730508356,0.5442179978117437,0.4348472699634985,0.8476524028493894,0.4397257901758757,0.8085104269162998
2213,22,45,0.6552770209993368,0.610819438716534,0.4682820849579418,0.8888721771785878,0.4770434931130884,0.8827746062605001
2214,22,45,0.7352045714987129,0.6971848861700897,0.6144803438995321,0.9074497656402242,0.617270950864504,0.9035752356566071
