field_id,metric,model,input_condition,effect26k,effect52k,difference,sign_changed
14,neighbors25,bert,title,-0.13902666666666663,-0.13526666666666665,0.0037599999999999856,False
14,neighbors25,bert,abstract,0.5134933333333334,0.5270933333333333,0.013599999999999945,False
14,neighbors25,mpnet,title,0.14321777777777778,0.1417844444444445,-0.0014333333333332865,False
14,neighbors25,mpnet,abstract,0.48709777777777774,0.5071844444444443,0.020086666666666586,False
14,neighbors25,minilm,title,0.0932222222222222,0.08192222222222223,-0.011299999999999977,False
14,neighbors25,minilm,abstract,0.46802222222222223,0.48160222222222226,0.013580000000000036,False
14,neighbors25,pubmedbert,title,-0.14908444444444446,-0.15276,-0.003675555555555543,False
14,neighbors25,pubmedbert,abstract,0.5280355555555556,0.5360400000000001,0.00800444444444448,False
14,neighbors25,biobert,title,-0.1526533333333333,-0.14892666666666676,0.003726666666666545,False
14,neighbors25,biobert,abstract,0.47738666666666674,0.49005333333333323,0.012666666666666493,False
14,neighbors25,simcse,title,-0.09050666666666674,-0.0893466666666668,0.0011599999999999389,False
14,neighbors25,simcse,abstract,0.4820933333333334,0.4854733333333332,0.0033799999999998276,False
15,cka,specter,title,0.12005108969818334,0.13201502963215916,0.01196393993397582,False
15,cka,specter,abstract,0.21312020198542492,0.22258369564403124,0.009463493658606326,False
15,cka,specter2,title,0.12484879547958105,0.13840349560141418,0.01355470012183313,False
15,cka,specter2,abstract,0.2570532292703047,0.2695480887031725,0.012494859432867766,False
15,cka,scincl,title,0.13594224366828228,0.14800306102109106,0.012060817352808784,False
15,cka,scincl,abstract,0.25045535495523713,0.25986427827011005,0.009408923314872919,False
15,cka,scibert,title,-0.14618131510741939,-0.14818087165760813,-0.0019995565501887413,False
15,cka,scibert,abstract,0.2737417152769862,0.2799755692903744,0.006233854013388218,False
15,cka,bert,title,0.004984092645026195,0.019149145078843743,0.014165052433817549,False
15,cka,bert,abstract,0.29019142111476237,0.2999766338416157,0.009785212726853343,False
15,cka,mpnet,title,0.13638197028453336,0.15038662131907593,0.01400465103454257,False
15,cka,mpnet,abstract,0.25392713500750486,0.26124116785664225,0.007314032849137397,False
15,cka,minilm,title,0.1155987294081145,0.12392814327254992,0.00832941386443542,False
15,cka,minilm,abstract,0.2654659884999682,0.2724023452725591,0.006936356772590857,False
15,cka,pubmedbert,title,-0.112046383518414,-0.1155824546275766,-0.0035360711091625974,False
15,cka,pubmedbert,abstract,0.29691828428188627,0.3039409038225955,0.007022619540709207,False
15,cka,biobert,title,-0.28240459653258765,-0.2828125948071485,-0.00040799827456083904,False
15,cka,biobert,abstract,0.2503502436122048,0.25721894045579596,0.006868696843591149,False
15,cka,simcse,title,-0.06721177466434952,-0.061038539062302,0.006173235602047522,False
15,cka,simcse,abstract,0.3009824599554976,0.31006266341140315,0.009080203455905544,False
15,rsa,specter,title,0.15152626568981636,0.17130476437942788,0.019778498689611512,False
15,rsa,specter,abstract,0.3004480464001255,0.3194884985338857,0.01904045213376021,False
15,rsa,specter2,title,0.1725313650376577,0.21336036000706665,0.04082899496940895,False
15,rsa,specter2,abstract,0.3851327474286654,0.4149246247464787,0.029791877317813298,False
15,rsa,scincl,title,0.2355874430556335,0.26035816705505754,0.024770723999424038,False
15,rsa,scincl,abstract,0.3788588737608153,0.3935139334139516,0.014655059653136293,False
15,rsa,scibert,title,-0.15809053765456005,-0.15592234592030746,0.002168191734252589,False
15,rsa,scibert,abstract,0.3578997357154121,0.3719139739862824,0.014014238270870283,False
15,rsa,bert,title,-0.04395198918088028,0.000772205990262953,0.04472419517114323,True
15,rsa,bert,abstract,0.33904153954760896,0.3518250074483864,0.012783467900777445,False
15,rsa,mpnet,title,0.1828098864431879,0.20389360839157156,0.02108372194838365,False
15,rsa,mpnet,abstract,0.3316278228537333,0.34533527232116534,0.01370744946743202,False
15,rsa,minilm,title,0.1493659544649117,0.167818919270046,0.01845296480513431,False
15,rsa,minilm,abstract,0.3314393997330966,0.3457657250234203,0.014326325290323683,False
15,rsa,pubmedbert,title,-0.11397759971127769,-0.11192504233364453,0.0020525573776331574,False
15,rsa,pubmedbert,abstract,0.366899340202913,0.38001391659570816,0.013114576392795174,False
15,rsa,biobert,title,-0.19409798394407884,-0.18410574361826731,0.00999224032581153,False
15,rsa,biobert,abstract,0.3458665395108318,0.36729411706023435,0.021427577549402554,False
15,rsa,simcse,title,-0.03317843710977986,0.003513239935448109,0.036691677045227966,True
15,rsa,simcse,abstract,0.38659932929316776,0.39878202520911704,0.012182695915949282,False
15,neighbors25,specter,title,0.06828000000000001,0.06783111111111118,-0.00044888888888883205,False
15,neighbors25,specter,abstract,0.2874,0.2941311111111111,0.006731111111111132,False
15,neighbors25,specter2,title,0.0695866666666668,0.07457777777777774,0.004991111111110946,False
15,neighbors25,specter2,abstract,0.3661066666666668,0.38285777777777774,0.01675111111111094,False
15,neighbors25,scincl,title,0.08968888888888893,0.09009111111111123,0.00040222222222230375,False
15,neighbors25,scincl,abstract,0.3617688888888888,0.3740111111111112,0.012242222222222376,False
15,neighbors25,scibert,title,-0.18438222222222223,-0.18339111111111106,0.0009911111111111648,False
15,neighbors25,scibert,abstract,0.4597377777777778,0.49104888888888887,0.03131111111111107,False
15,neighbors25,bert,title,-0.14461333333333337,-0.14895111111111115,-0.004337777777777774,False
15,neighbors25,bert,abstract,0.46354666666666666,0.4891688888888889,0.025622222222222213,False
15,neighbors25,mpnet,title,0.12240444444444454,0.12839333333333336,0.005988888888888821,False
15,neighbors25,mpnet,abstract,0.4231244444444445,0.44243333333333335,0.01930888888888882,False
15,neighbors25,minilm,title,0.0878133333333333,0.09431555555555549,0.006502222222222187,False
15,neighbors25,minilm,abstract,0.39769333333333323,0.4231555555555555,0.025462222222222275,False
15,neighbors25,pubmedbert,title,-0.15006666666666668,-0.15390888888888898,-0.0038422222222223024,False
15,neighbors25,pubmedbert,abstract,0.46709333333333336,0.490731111111111,0.023637777777777647,False
