subfield_id,field_id,repeat,k,subfield,field,subfield_minus_field
1405,14,0,25,0.45612444444444444,0.43733333333333335,0.018791111111111092
1405,14,1,25,0.4465244444444444,0.43987555555555546,0.006648888888888926
1405,14,2,25,0.44835555555555556,0.43646222222222214,0.011893333333333422
1405,14,3,25,0.4559822222222222,0.4350755555555556,0.020906666666666573
1405,14,4,25,0.4412444444444445,0.4458666666666666,-0.004622222222222083
1405,14,5,25,0.4667733333333334,0.4365866666666666,0.03018666666666675
1405,14,6,25,0.4657244444444445,0.44522666666666666,0.020497777777777837
1405,14,7,25,0.44940444444444444,0.44769777777777775,0.0017066666666666896
1405,14,8,25,0.46072888888888885,0.4451555555555556,0.015573333333333272
1405,14,9,25,0.46069333333333334,0.4452622222222223,0.015431111111111062
1405,14,0,50,0.5517777777777777,0.5224355555555557,0.029342222222222047
1405,14,1,50,0.53864,0.5177155555555556,0.020924444444444412
1405,14,2,50,0.5386311111111111,0.5201511111111112,0.01847999999999983
1405,14,3,50,0.542008888888889,0.5239733333333334,0.018035555555555582
1405,14,4,50,0.5424355555555556,0.5224533333333333,0.019982222222222235
1405,14,5,50,0.5488266666666667,0.512568888888889,0.03625777777777772
1405,14,6,50,0.5478933333333333,0.5223733333333334,0.025519999999999987
1405,14,7,50,0.5406133333333333,0.5256533333333333,0.014959999999999973
1405,14,8,50,0.5439911111111111,0.5276977777777777,0.016293333333333382
1405,14,9,50,0.5501866666666665,0.5255466666666666,0.024639999999999884
1406,14,0,10,0.35577777777777775,0.35133333333333333,0.0044444444444444176
1406,14,1,10,0.35275555555555566,0.3441333333333333,0.008622222222222364
1406,14,2,10,0.3455111111111111,0.33799999999999997,0.007511111111111135
1406,14,3,10,0.34808888888888895,0.35013333333333335,-0.0020444444444444043
1406,14,4,10,0.3477333333333333,0.3364444444444444,0.011288888888888904
1406,14,5,10,0.35733333333333334,0.3455111111111111,0.011822222222222234
1406,14,6,10,0.3434666666666667,0.34551111111111105,-0.002044444444444349
1406,14,7,10,0.35800000000000004,0.3442666666666666,0.01373333333333343
1406,14,8,10,0.3286222222222222,0.33711111111111103,-0.008488888888888824
1406,14,9,10,0.35617777777777776,0.35177777777777774,0.004400000000000015
1406,14,0,25,0.4173155555555556,0.42616888888888893,-0.008853333333333324
1406,14,1,25,0.4213688888888889,0.42528000000000005,-0.003911111111111143
1406,14,2,25,0.41836444444444437,0.42435555555555554,-0.005991111111111169
1406,14,3,25,0.4217422222222222,0.42263111111111107,-0.0008888888888888835
1406,14,4,25,0.4240888888888888,0.40757333333333334,0.01651555555555545
1406,14,5,25,0.42284444444444447,0.41852444444444453,0.004319999999999935
1406,14,6,25,0.41676444444444444,0.42915555555555557,-0.01239111111111113
1406,14,7,25,0.42254222222222215,0.41952000000000006,0.003022222222222093
1406,14,8,25,0.4203911111111111,0.42300444444444446,-0.0026133333333333564
1406,14,9,25,0.4199466666666667,0.4243911111111111,-0.0044444444444444176
1406,14,0,50,0.5012444444444444,0.5019555555555556,-0.0007111111111112178
1406,14,1,50,0.5017866666666667,0.50624,-0.004453333333333309
1406,14,2,50,0.5026933333333333,0.5094133333333334,-0.006720000000000059
1406,14,3,50,0.5045066666666667,0.5024266666666666,0.002080000000000082
1406,14,4,50,0.5075911111111111,0.4938666666666666,0.013724444444444484
1406,14,5,50,0.5047199999999998,0.5031022222222221,0.001617777777777718
1406,14,6,50,0.5024088888888889,0.5035466666666667,-0.001137777777777793
1406,14,7,50,0.5052888888888889,0.5084355555555555,-0.003146666666666631
1406,14,8,50,0.5023466666666667,0.5062311111111111,-0.003884444444444357
1406,14,9,50,0.5065511111111111,0.5059733333333334,0.0005777777777776771
1407,14,0,10,0.34955555555555556,0.36382222222222227,-0.014266666666666705
1407,14,1,10,0.3340000000000001,0.3383111111111111,-0.004311111111111043
1407,14,2,10,0.33044444444444443,0.3541333333333334,-0.02368888888888898
1407,14,3,10,0.33888888888888885,0.3423555555555556,-0.003466666666666729
1407,14,4,10,0.33826666666666666,0.3598222222222222,-0.02155555555555555
1407,14,5,10,0.3315111111111111,0.35786666666666667,-0.026355555555555576
1407,14,6,10,0.3360888888888888,0.37062222222222224,-0.034533333333333416
1407,14,7,10,0.33680000000000004,0.36564444444444455,-0.028844444444444506
1407,14,8,10,0.33755555555555555,0.3602666666666666,-0.02271111111111107
1407,14,9,10,0.3474666666666667,0.34026666666666655,0.007200000000000151
1407,14,0,25,0.44291555555555556,0.4473777777777778,-0.004462222222222256
1407,14,1,25,0.4314666666666666,0.4300977777777778,0.0013688888888888084
1407,14,2,25,0.43056,0.43443555555555563,-0.003875555555555632
1407,14,3,25,0.4348266666666667,0.4386311111111112,-0.003804444444444499
1407,14,4,25,0.4439644444444444,0.43557333333333337,0.008391111111111016
1407,14,5,25,0.4365333333333334,0.43416888888888894,0.002364444444444447
1407,14,6,25,0.42576,0.44883555555555543,-0.023075555555555405
1407,14,7,25,0.4259555555555556,0.44268444444444444,-0.01672888888888885
1407,14,8,25,0.43194666666666676,0.4403377777777777,-0.00839111111111096
1407,14,9,25,0.4426666666666667,0.4353422222222222,0.007324444444444522
1407,14,0,50,0.5389066666666666,0.53216,0.006746666666666679
1407,14,1,50,0.5302666666666667,0.5151377777777779,0.015128888888888747
1407,14,2,50,0.52976,0.5162933333333334,0.013466666666666627
1407,14,3,50,0.5245688888888889,0.5305333333333333,-0.005964444444444439
1407,14,4,50,0.5359555555555556,0.5239288888888889,0.012026666666666741
1407,14,5,50,0.5334222222222222,0.5171555555555555,0.016266666666666763
1407,14,6,50,0.5213777777777778,0.5412177777777777,-0.019839999999999858
1407,14,7,50,0.5281866666666667,0.5291733333333333,-0.0009866666666665802
1407,14,8,50,0.5263644444444444,0.5262755555555556,8.888888888880508e-05
1407,14,9,50,0.5344888888888889,0.5302222222222223,0.004266666666666641
1408,14,0,10,0.3552444444444445,0.32266666666666666,0.03257777777777782
1408,14,1,10,0.33039999999999997,0.3292,0.0011999999999999789
1408,14,2,10,0.32844444444444443,0.3275111111111111,0.0009333333333333416
1408,14,3,10,0.32431111111111105,0.33160000000000006,-0.007288888888889011
1408,14,4,10,0.3344,0.3240444444444444,0.010355555555555562
1408,14,5,10,0.3238222222222222,0.3227555555555556,0.0010666666666666047
1408,14,6,10,0.3355111111111111,0.32195555555555555,0.013555555555555543
1408,14,7,10,0.3391111111111112,0.3171555555555556,0.021955555555555617
1408,14,8,10,0.3359111111111111,0.32084444444444443,0.015066666666666673
1408,14,9,10,0.33151111111111115,0.31937777777777776,0.012133333333333385
1408,14,0,25,0.4205866666666666,0.4058311111111111,0.014755555555555522
1408,14,1,25,0.41056000000000004,0.40561777777777785,0.004942222222222181
1408,14,2,25,0.41584000000000004,0.4055288888888889,0.01031111111111116
1408,14,3,25,0.4085688888888888,0.3994488888888889,0.009119999999999906
1408,14,4,25,0.40768,0.4117155555555555,-0.0040355555555555145
1408,14,5,25,0.40531555555555554,0.40981333333333336,-0.004497777777777823
1408,14,6,25,0.4072533333333333,0.39552,0.011733333333333318
1408,14,7,25,0.40700444444444434,0.4002488888888889,0.006755555555555459
1408,14,8,25,0.42012444444444447,0.3917333333333333,0.028391111111111145
1408,14,9,25,0.40629333333333334,0.4052800000000001,0.001013333333333255
1408,14,0,50,0.49528,0.4967377777777777,-0.0014577777777777245
1408,14,1,50,0.49417777777777777,0.4893955555555556,0.004782222222222188
1408,14,2,50,0.5020888888888889,0.4928622222222223,0.009226666666666605
1408,14,3,50,0.49666666666666665,0.4831822222222222,0.013484444444444466
1408,14,4,50,0.48781333333333327,0.5001422222222222,-0.01232888888888889
1408,14,5,50,0.49432888888888876,0.4991199999999999,-0.004791111111111135
1408,14,6,50,0.4930577777777778,0.48543111111111115,0.0076266666666666705
1408,14,7,50,0.48767111111111106,0.4925777777777778,-0.004906666666666726
1408,14,8,50,0.5017600000000001,0.48655111111111116,0.015208888888888938
1408,14,9,50,0.48860444444444445,0.49288888888888893,-0.00428444444444448
1502,15,0,10,0.29711111111111116,0.32946666666666663,-0.03235555555555547
1502,15,1,10,0.31097777777777774,0.3395111111111111,-0.028533333333333355
1502,15,2,10,0.30542222222222226,0.34382222222222225,-0.03839999999999999
1502,15,3,10,0.3009333333333333,0.3226222222222222,-0.021688888888888924
1502,15,4,10,0.2935111111111111,0.3292888888888889,-0.0357777777777778
1502,15,5,10,0.30622222222222223,0.32648888888888883,-0.0202666666666666
1502,15,6,10,0.29377777777777775,0.34693333333333337,-0.05315555555555562
1502,15,7,10,0.29279999999999995,0.33653333333333335,-0.0437333333333334
1502,15,8,10,0.3052888888888889,0.34186666666666665,-0.036577777777777765
1502,15,9,10,0.2984444444444444,0.33124444444444445,-0.03280000000000005
1502,15,0,25,0.38625777777777776,0.42947555555555555,-0.0432177777777778
1502,15,1,25,0.39354666666666666,0.43598222222222227,-0.042435555555555615
1502,15,2,25,0.3952177777777778,0.44087111111111116,-0.04565333333333338
1502,15,3,25,0.39340444444444445,0.4283377777777778,-0.03493333333333337
1502,15,4,25,0.3899555555555556,0.43296,-0.0430044444444444
1502,15,5,25,0.4027555555555555,0.42407111111111107,-0.021315555555555588
1502,15,6,25,0.3936355555555555,0.43959111111111115,-0.04595555555555564
1502,15,7,25,0.3857066666666666,0.4290844444444445,-0.043377777777777904
1502,15,8,25,0.3970488888888889,0.4351822222222223,-0.03813333333333341
