subfield_id,corpus_rows,small_n,large_n,model_a,model_b,repeats,median_small,median_large,median_size_change,central95_width,passes_operational_screen,large_sample_equals_whole_group
1108,27,13,27,specter,simcse,20,0.45356827475122263,0.5085437869986716,0.05497551224744901,1.4432899320127035e-15,False,True
1108,27,13,27,specter2,pubmedbert,20,0.5300703239439998,0.4826353400995169,0.04743498384448286,1.8540724511240114e-14,False,True
1108,27,13,27,specter2,biobert,20,0.594305040811666,0.5452917692085919,0.049013271603074116,4.884981308350689e-15,False,True
1108,27,13,27,scincl,mpnet,20,0.7644523388517812,0.7866883299231978,0.022235991071416605,1.1102230246251565e-15,False,True
1108,27,13,27,scincl,pubmedbert,20,0.47914819763350625,0.43552634078439767,0.043621856849108576,2.2037927038809357e-14,False,True
1108,27,13,27,scincl,biobert,20,0.5744401292766281,0.546907073533748,0.02753305574288012,3.4416913763379853e-15,False,True
1108,27,13,27,scincl,simcse,20,0.42566524050995824,0.45183632911350335,0.026171088603545112,1.1102230246251565e-15,False,True
1108,27,13,27,scibert,bert,20,0.7440543265255294,0.7764991565505728,0.03244483002504339,2.3314683517128287e-15,False,True
1108,27,13,27,scibert,minilm,20,0.5481167916017279,0.5700067018369798,0.021889910235251886,2.1094237467877974e-15,False,True
1108,27,13,27,bert,mpnet,20,0.5346761104731401,0.5596310512602249,0.024954940787084823,2.220446049250313e-15,False,True
1108,27,13,27,bert,biobert,20,0.7705001039302108,0.7957774171506269,0.025277313220416042,3.885780586188048e-15,False,True
1108,27,13,27,mpnet,pubmedbert,20,0.5423533452078941,0.4961376113336027,0.046215733874291454,1.9373391779708982e-14,False,True
1108,27,13,27,pubmedbert,simcse,20,0.5744296229280941,0.6008119596099879,0.026382336681893825,2.1538326677728037e-14,False,True
1108,27,13,27,biobert,simcse,20,0.6148339384924348,0.6446210874368903,0.029787148944455444,3.1086244689504383e-15,False,True
1109,1174,256,512,specter,pubmedbert,20,0.5323084472480164,0.526337503851341,0.0059709433966753656,0.0454856456921533,False,False
1109,1174,256,512,specter2,pubmedbert,20,0.4937078152747899,0.4856364399478662,0.008071375326923702,0.04333153636590803,False,False
1109,1174,256,512,specter2,biobert,20,0.516297160887419,0.5160825390758863,0.0002146218115326448,0.04594145473614103,False,False
1109,1174,256,512,scincl,biobert,20,0.5162325213319023,0.5221168861775063,0.005884364845603951,0.04696703472730429,False,False
1109,1174,256,512,mpnet,pubmedbert,20,0.5056198855111128,0.5007603880201963,0.00485949749091652,0.04376928358219717,False,False
1109,1174,256,512,mpnet,biobert,20,0.5350587919057999,0.5338574111190288,0.0012013807867710113,0.04383193153531928,False,False
1110,7547,256,512,specter,bert,20,0.5478679972983862,0.5478597980738191,8.19922456707367e-06,0.04940550200358984,False,False
1110,7547,256,512,specter,pubmedbert,20,0.5247516458253845,0.5222352928926535,0.002516352932731003,0.07255451088296289,False,False
1110,7547,256,512,specter,biobert,20,0.5602539146215861,0.5552712292275814,0.0049826853940047044,0.11888647835780941,False,False
1110,7547,256,512,specter2,bert,20,0.48695279460658025,0.48893191581396184,0.0019791212073815845,0.050090144658171964,False,False
1110,7547,256,512,specter2,pubmedbert,20,0.4752583873085443,0.47227604621288155,0.002982341095662755,0.07220050442103976,False,False
1110,7547,256,512,specter2,biobert,20,0.5048533772821857,0.5008410459819257,0.004012331300260019,0.11400075567731638,False,False
1110,7547,256,512,scincl,scibert,20,0.565975034894294,0.5573998963543327,0.00857513853996128,0.0424884759097971,False,False
