field_id,field_name,period_start,base,extra,total,language_ambiguous,abstract_50_79,union_flagged,hypothetical_remaining,ambiguous_pct
15,Chemical Engineering,2010,246,1920,2166,38,208,234,1932,1.7543859649122806
15,Chemical Engineering,2015,255,1911,2166,23,144,163,2003,1.061865189289012
15,Chemical Engineering,2020,319,1847,2166,15,96,106,2060,0.6925207756232687
16,Chemistry,2000,931,1235,2166,93,448,523,1643,4.293628808864266
16,Chemistry,2005,1358,808,2166,97,453,520,1646,4.478301015697138
16,Chemistry,2010,1686,480,2166,80,382,435,1731,3.693444136657433
16,Chemistry,2015,1555,611,2166,68,335,382,1784,3.139427516158818
16,Chemistry,2020,1760,406,2166,37,237,262,1904,1.7082179132040627
17,Computer Science,2000,3310,0,3310,59,721,770,2540,1.7824773413897281
17,Computer Science,2005,5594,0,5594,99,1112,1181,4413,1.7697533071147658
17,Computer Science,2010,7094,0,7094,132,1026,1131,5963,1.8607273752466873
17,Computer Science,2015,6858,0,6858,138,458,580,6278,2.012248468941382
17,Computer Science,2020,9972,0,9972,130,339,452,9520,1.3036502206177296
18,Decision Sciences,2000,290,1876,2166,38,393,424,1742,1.7543859649122806
18,Decision Sciences,2005,567,1599,2166,38,355,383,1783,1.7543859649122806
18,Decision Sciences,2010,883,1283,2166,31,244,270,1896,1.4312096029547554
18,Decision Sciences,2015,921,1245,2166,36,160,186,1980,1.6620498614958448
18,Decision Sciences,2020,1156,1010,2166,10,107,113,2053,0.4616805170821791
19,Earth and Planetary Sciences,2000,851,1315,2166,93,211,293,1873,4.293628808864266
19,Earth and Planetary Sciences,2005,1203,963,2166,65,191,247,1919,3.0009233610341646
19,Earth and Planetary Sciences,2010,1604,562,2166,66,152,208,1958,3.0470914127423825
19,Earth and Planetary Sciences,2015,1716,450,2166,49,104,149,2017,2.262234533702678
19,Earth and Planetary Sciences,2020,1882,284,2166,28,63,82,2084,1.2927054478301017
20,"Economics, Econometrics and Finance",2000,773,1393,2166,69,424,474,1692,3.185595567867036
20,"Economics, Econometrics and Finance",2005,1236,930,2166,75,352,406,1760,3.4626038781163433
20,"Economics, Econometrics and Finance",2010,1849,317,2166,62,230,291,1875,2.862419205909511
20,"Economics, Econometrics and Finance",2015,1917,249,2166,49,149,185,1981,2.262234533702678
20,"Economics, Econometrics and Finance",2020,2845,0,2845,43,126,165,2680,1.5114235500878734
21,Energy,2000,116,2050,2166,36,452,477,1689,1.6620498614958448
21,Energy,2005,240,1926,2166,29,387,406,1760,1.3388734995383196
21,Energy,2010,591,1575,2166,30,260,283,1883,1.3850415512465375
21,Energy,2015,680,1486,2166,17,131,144,2022,0.7848568790397045
21,Energy,2020,990,1176,2166,10,63,70,2096,0.4616805170821791
22,Engineering,2000,6990,0,6990,77,1484,1538,5452,1.1015736766809727
22,Engineering,2005,11310,0,11310,224,2116,2266,9044,1.9805481874447393
22,Engineering,2010,15203,0,15203,251,1991,2198,13005,1.6509899361968032
22,Engineering,2015,14738,0,14738,181,1001,1142,13596,1.228117790745013
22,Engineering,2020,18907,0,18907,117,664,753,18154,0.6188184270376051
23,Environmental Science,2000,1751,415,2166,73,227,292,1874,3.3702677746999075
23,Environmental Science,2005,2876,0,2876,58,283,333,2543,2.0166898470097356
23,Environmental Science,2010,4005,0,4005,90,285,359,3646,2.247191011235955
23,Environmental Science,2015,4018,0,4018,79,150,215,3803,1.9661523145843702
23,Environmental Science,2020,5919,0,5919,81,147,218,5701,1.3684744044602128
24,Immunology and Microbiology,2000,534,1632,2166,28,105,127,2039,1.2927054478301017
24,Immunology and Microbiology,2005,764,1402,2166,28,122,145,2021,1.2927054478301017
24,Immunology and Microbiology,2010,924,1242,2166,17,76,92,2074,0.7848568790397045
24,Immunology and Microbiology,2015,1028,1138,2166,20,78,95,2071,0.9233610341643582
24,Immunology and Microbiology,2020,1206,960,2166,13,71,81,2085,0.6001846722068329
25,Materials Science,2000,1292,874,2166,39,325,354,1812,1.8005540166204985
25,Materials Science,2005,2142,24,2166,37,261,287,1879,1.7082179132040627
25,Materials Science,2010,2962,0,2962,54,269,313,2649,1.8230925050641458
25,Materials Science,2015,3152,0,3152,49,201,239,2913,1.5545685279187818
25,Materials Science,2020,3787,0,3787,32,158,183,3604,0.8449960390810668
26,Mathematics,2000,386,1780,2166,153,688,790,1376,7.06371191135734
26,Mathematics,2005,639,1527,2166,152,692,785,1381,7.017543859649122
26,Mathematics,2010,893,1273,2166,159,653,752,1414,7.340720221606648
26,Mathematics,2015,1108,1058,2166,148,563,671,1495,6.832871652816251
26,Mathematics,2020,1555,611,2166,127,357,457,1709,5.863342566943675
27,Medicine,2000,7128,0,7128,113,489,575,6553,1.585297418630752
27,Medicine,2005,10946,0,10946,199,762,912,10034,1.8180157135026493
27,Medicine,2010,15771,0,15771,200,968,1107,14664,1.2681504026377528
27,Medicine,2015,18629,0,18629,213,852,1024,17605,1.1433786032529927
27,Medicine,2020,26195,0,26195,226,873,1058,25137,0.8627600687154037
28,Neuroscience,2000,718,1448,2166,18,114,125,2041,0.8310249307479224
28,Neuroscience,2005,1005,1161,2166,28,104,125,2041,1.2927054478301017
28,Neuroscience,2010,1408,758,2166,26,70,94,2072,1.2003693444136658
28,Neuroscience,2015,1640,526,2166,12,62,73,2093,0.554016620498615
28,Neuroscience,2020,2053,113,2166,11,49,59,2107,0.5078485687903971
29,Nursing,2000,182,1984,2166,33,151,178,1988,1.5235457063711912
29,Nursing,2005,285,1881,2166,28,168,188,1978,1.2927054478301017
29,Nursing,2010,453,1713,2166,40,117,155,2011,1.8467220683287164
29,Nursing,2015,497,1669,2166,53,71,120,2046,2.4469067405355496
29,Nursing,2020,660,1506,2166,13,36,49,2117,0.6001846722068329
30,"Pharmacology, Toxicology and Pharmaceutics",2000,154,2012,2166,40,275,304,1862,1.8467220683287164
30,"Pharmacology, Toxicology and Pharmaceutics",2005,272,1894,2166,43,224,256,1910,1.9852262234533702
30,"Pharmacology, Toxicology and Pharmaceutics",2010,442,1724,2166,34,156,184,1982,1.569713758079409
30,"Pharmacology, Toxicology and Pharmaceutics",2015,376,1790,2166,35,152,180,1986,1.6158818097876269
30,"Pharmacology, Toxicology and Pharmaceutics",2020,471,1695,2166,25,105,124,2042,1.154201292705448
31,Physics and Astronomy,2000,2116,50,2166,57,370,415,1751,2.6315789473684212
31,Physics and Astronomy,2005,2704,0,2704,65,419,471,2233,2.4038461538461537
31,Physics and Astronomy,2010,3094,0,3094,92,367,444,2650,2.97349709114415
31,Physics and Astronomy,2015,3388,0,3388,70,295,351,3037,2.0661157024793386
31,Physics and Astronomy,2020,3470,0,3470,66,206,256,3214,1.9020172910662825
32,Psychology,2000,838,1328,2166,55,272,315,1851,2.5392428439519854
32,Psychology,2005,1342,824,2166,49,252,295,1871,2.262234533702678
32,Psychology,2010,2089,77,2166,41,163,198,1968,1.8928901200369344
32,Psychology,2015,2577,0,2577,46,117,160,2417,1.7850213426464883
32,Psychology,2020,3970,0,3970,24,121,142,3828,0.6045340050377834
33,Social Sciences,2000,2776,0,2776,133,515,624,2152,4.79106628242075
33,Social Sciences,2005,4893,0,4893,157,861,987,3906,3.208665440425097
33,Social Sciences,2010,7110,0,7110,229,833,1033,6077,3.220815752461322
33,Social Sciences,2015,8891,0,8891,340,576,884,8007,3.8240917782026767
33,Social Sciences,2020,13879,0,13879,425,452,845,13034,3.062180272353916
34,Veterinary,2000,58,2108,2166,27,128,152,2014,1.2465373961218837
34,Veterinary,2005,100,2066,2166,38,149,181,1985,1.7543859649122806
34,Veterinary,2010,107,2058,2165,30,114,139,2026,1.3856812933025404
34,Veterinary,2015,165,2000,2165,16,81,94,2071,0.7390300230946882
34,Veterinary,2020,212,1953,2165,8,36,44,2121,0.3695150115473441
35,Dentistry,2000,159,2006,2165,17,151,164,2001,0.7852193995381063
35,Dentistry,2005,260,1905,2165,18,114,129,2036,0.8314087759815243
35,Dentistry,2010,441,1724,2165,32,94,122,2043,1.4780600461893765
35,Dentistry,2015,544,1621,2165,34,73,102,2063,1.5704387990762125
35,Dentistry,2020,834,1331,2165,15,62,72,2093,0.6928406466512702
36,Health Professions,2000,589,1576,2165,51,309,347,1818,2.355658198614319
36,Health Professions,2005,933,1232,2165,43,268,305,1860,1.9861431870669746
36,Health Professions,2010,1504,661,2165,48,185,231,1934,2.2170900692840645
36,Health Professions,2015,1877,288,2165,43,131,167,1998,1.9861431870669746
36,Health Professions,2020,2833,0,2833,39,95,134,2699,1.3766325450052947
