primary: Field 28, 2000, n=2,166, 3.4s
primary: Field 28, 2005, n=2,166, 3.4s
primary: Field 28, 2010, n=2,166, 3.4s
primary: Field 28, 2015, n=2,166, 3.3s
primary: Field 28, 2020, n=2,166, 3.4s
primary: Field 29, 2000, n=2,166, 3.3s
primary: Field 29, 2005, n=2,166, 3.4s
primary: Field 29, 2010, n=2,166, 3.3s
primary: Field 29, 2015, n=2,166, 3.4s
primary: Field 29, 2020, n=2,166, 3.3s
primary: Field 30, 2000, n=2,166, 3.4s
primary: Field 30, 2005, n=2,166, 3.3s
primary: Field 30, 2010, n=2,166, 3.4s
primary: Field 30, 2015, n=2,166, 3.3s
primary: Field 30, 2020, n=2,166, 3.3s
primary: Field 31, 2000, n=2,166, 3.4s
primary: Field 31, 2005, n=2,704, 3.6s
primary: Field 31, 2010, n=3,094, 3.8s
primary: Field 31, 2015, n=3,388, 3.9s
primary: Field 31, 2020, n=3,470, 3.9s
primary: Field 32, 2000, n=2,166, 3.3s
primary: Field 32, 2005, n=2,166, 3.3s
primary: Field 32, 2010, n=2,166, 3.4s
primary: Field 32, 2015, n=2,577, 3.6s
primary: Field 32, 2020, n=3,970, 4.1s
primary: Field 33, 2000, n=2,776, 3.6s
primary: Field 33, 2005, n=4,893, 4.4s
primary: Field 33, 2010, n=7,110, 5.3s
primary: Field 33, 2015, n=8,891, 5.9s
primary: Field 33, 2020, n=13,879, 7.5s
primary: Field 34, 2000, n=2,166, 3.4s
primary: Field 34, 2005, n=2,166, 3.3s
primary: Field 34, 2010, n=2,165, 3.4s
primary: Field 34, 2015, n=2,165, 3.4s
primary: Field 34, 2020, n=2,165, 3.3s
primary: Field 35, 2000, n=2,165, 3.3s
primary: Field 35, 2005, n=2,165, 3.4s
primary: Field 35, 2010, n=2,165, 3.3s
primary: Field 35, 2015, n=2,165, 3.4s
primary: Field 35, 2020, n=2,165, 3.4s
primary: Field 36, 2000, n=2,165, 3.4s
primary: Field 36, 2005, n=2,165, 3.3s
primary: Field 36, 2010, n=2,165, 3.3s
primary: Field 36, 2015, n=2,165, 3.4s
primary: Field 36, 2020, n=2,833, 3.6s
global_base_unit: 400,000 filas, 80.5s
global_base_raw: 400,000 filas, 77.3s
Centros de las 26 áreas: completos
raw: Field 11, 2000, n=2,166, 1.5s
raw: Field 11, 2005, n=2,528, 1.5s
raw: Field 11, 2010, n=3,940, 1.7s
raw: Field 11, 2015, n=4,298, 1.9s
raw: Field 11, 2020, n=6,491, 2.3s
raw: Field 12, 2000, n=2,166, 1.5s
raw: Field 12, 2005, n=2,166, 1.9s
raw: Field 12, 2010, n=2,186, 1.6s
raw: Field 12, 2015, n=2,732, 1.5s
raw: Field 12, 2020, n=3,380, 1.6s
raw: Field 13, 2000, n=2,739, 1.5s
raw: Field 13, 2005, n=4,071, 1.7s
raw: Field 13, 2010, n=5,251, 2.0s
raw: Field 13, 2015, n=5,596, 2.0s
raw: Field 13, 2020, n=6,840, 2.2s
raw: Field 14, 2000, n=2,166, 1.6s
raw: Field 14, 2005, n=2,166, 1.4s
raw: Field 14, 2010, n=2,186, 1.4s
raw: Field 14, 2015, n=2,660, 1.5s
raw: Field 14, 2020, n=4,040, 1.8s
raw: Field 15, 2000, n=2,166, 1.5s
raw: Field 15, 2005, n=2,166, 1.4s
raw: Field 15, 2010, n=2,166, 1.4s
raw: Field 15, 2015, n=2,166, 1.4s
raw: Field 15, 2020, n=2,166, 1.5s
raw: Field 16, 2000, n=2,166, 1.5s
raw: Field 16, 2005, n=2,166, 1.4s
raw: Field 16, 2010, n=2,166, 1.4s
raw: Field 16, 2015, n=2,166, 1.5s
raw: Field 16, 2020, n=2,166, 1.4s
