model,field_id,repeat,angle_p50_observed,pr_observed,gap_25_observed,connect_ratio90_50_observed,angle_p50_gaussian,pr_gaussian,gap_25_gaussian,connect_ratio90_50_gaussian,gap_excess_observed_minus_reference,spread_reference_relative_error,pr_reference_relative_error
minilm,12,2,83.54879345688677,85.35909128297153,0.1550219148774618,1.1074839822090963,83.03772208469171,83.52004997349643,0.30179220164669784,1.0690665281551681,-0.14677028676923604,-0.006117040726133172,-0.021544762038041787
minilm,13,0,84.03357908798132,74.44959701856612,0.14214891042385988,1.0628140504945527,83.47411346273658,72.51682237796646,0.28060511971245,1.0434364736312616,-0.13845620928859012,-0.006657643662410173,-0.025960847580110746
minilm,13,1,84.03357908798132,74.44959701856612,0.14214891042385988,1.0628140504945527,83.42384480752042,71.74093871936499,0.2910562587688232,1.0504815055834733,-0.1489073483449633,-0.007255840904057176,-0.036382444065152564
minilm,13,2,84.03357908798132,74.44959701856612,0.14214891042385988,1.0628140504945527,83.26761062372177,71.1393952021228,0.2613434603123679,1.0541456113953325,-0.119194549888508,-0.009115028451395668,-0.04446232013341633
minilm,14,0,82.38603860233394,77.260992358866,0.18283549366084126,1.1023044985573254,82.1221126038552,77.39546014862725,0.32033738541675827,1.0571562016095983,-0.137501891755917,-0.0032035282064316606,0.001740435705726684
minilm,14,1,82.38603860233394,77.260992358866,0.18283549366084126,1.1023044985573254,82.13726894038592,75.85112712032232,0.33633469424072576,1.0590378872622248,-0.1534992005798845,-0.0030195609130910794,-0.018248086071624203
minilm,14,2,82.38603860233394,77.260992358866,0.18283549366084126,1.1023044985573254,81.99817512038891,75.852252222285,0.31745082682799985,1.056249839256745,-0.1346153331671586,-0.004707878768357765,-0.018233523717086197
minilm,15,0,82.85683034326885,46.73425520962478,0.04777954505620326,1.106980565787836,81.54270832802263,50.700520656576984,0.17868269496504496,1.0589977827124526,-0.13090314990884172,-0.015860153107498,0.0848684852077275
minilm,15,1,82.85683034326885,46.73425520962478,0.04777954505620326,1.106980565787836,81.3869139832526,49.10037305960368,0.17047879371981597,1.0665370184175837,-0.12269924866361272,-0.017740436774210666,0.05062919777721442
minilm,15,2,82.85683034326885,46.73425520962478,0.04777954505620326,1.106980565787836,81.61810951979847,47.68532260851193,0.15544273704120434,1.0648094816138154,-0.10766319198500109,-0.014950135291664779,0.020350541473725725
