metric,model,field_id,first,last,change,half_sample_median_change,half_q05,half_q95,same_sign_repeats
angle_p50,scincl,33,41.42386602228896,43.08359469232439,1.6597286700354275,1.8172567663989838,1.2496305736019295,2.293786901900632,10
angle_p50,scincl,34,39.77372583542251,40.879923260249555,1.1061974248270445,0.9460941943492784,0.7232061037616571,1.3342258088025933,10
angle_p50,scincl,35,35.37795207651421,36.55319426162514,1.1752421851109247,1.2208605971054318,0.6635462851055461,1.9140047661823798,10
angle_p50,scincl,36,42.47413505430243,43.975295587696515,1.501160533394085,1.5779092572721254,1.1399902984890964,1.6664354517981597,10
angle_p50,scibert,11,35.50056480944964,33.40937952437096,-2.09118528507868,-2.3224032503864613,-2.577234208296663,-1.6966615602955806,10
angle_p50,scibert,12,35.60309480135742,33.954771549977615,-1.6483232513798072,-1.580149393181852,-2.491698753225859,-1.0173807326051691,10
angle_p50,scibert,13,35.728795643814664,33.712875908043976,-2.0159197357706873,-2.0780016194313617,-2.5865029045392167,-1.6193141280320873,10
angle_p50,scibert,14,34.836796497784725,32.08437524815489,-2.7524212496298333,-2.7446640558859574,-3.0463231024218853,-2.1441047627517573,10
angle_p50,scibert,15,32.77100572147073,31.539599380776206,-1.231406340694523,-1.0814763869936606,-1.6602486203324234,-0.9449440362347463,10
angle_p50,scibert,16,34.83850602671494,33.88646717388175,-0.9520388528331907,-0.9554330836345812,-1.1966040177699189,-0.38424194935064115,10
angle_p50,scibert,17,33.60413943592847,32.90627179812619,-0.6978676378022755,-0.3652485690891041,-0.8942314992022776,-0.11611617619032504,10
angle_p50,scibert,18,34.36544481694996,33.17786384139457,-1.1875809755553917,-1.3123896888079294,-1.497045527413157,-0.6155944617768314,10
angle_p50,scibert,19,34.8566836953095,33.498904702502465,-1.3577789928070345,-1.2266980634483637,-1.872286667194682,-0.9020467837459291,10
angle_p50,scibert,20,35.13791288360894,33.05717385294681,-2.08073903066213,-2.235660849095556,-2.419022257454789,-1.54909138287226,10
angle_p50,scibert,21,35.27177881305127,32.8549175160439,-2.4168612970073724,-2.391142940402826,-2.535870791151017,-2.207083111396718,10
angle_p50,scibert,22,34.490820122638226,33.400606361083724,-1.0902137615545016,-1.0413580149227286,-1.3963886285366816,-0.7322394466178128,10
angle_p50,scibert,23,35.87732576268112,33.63581903393198,-2.241506728749137,-2.131202177913977,-2.601206162064417,-1.7102030158088082,10
angle_p50,scibert,24,33.96548135476459,33.37036455638137,-0.5951167983832235,-0.6426940118432931,-1.1206291783637998,0.03021192382235169,9
angle_p50,scibert,25,33.143255800046305,32.246146717083896,-0.8971090829624089,-1.0582298601291207,-1.373495396959115,-0.727680430678206,10
angle_p50,scibert,26,35.2975194720281,35.53052923862947,0.23300976660136996,0.23589318954435967,-0.1510261898635971,0.5187904266788348,9
angle_p50,scibert,27,35.75517449887688,34.273516811827655,-1.4816576870492284,-1.3286955445248196,-1.8438868357268088,-0.9750883242431196,10
angle_p50,scibert,28,34.99954203822194,33.6811399301479,-1.3184021080740393,-1.2742298579652847,-1.6719661516475388,-0.7540099250056596,10
angle_p50,scibert,29,36.218186684903365,33.67591608134902,-2.5422706035543428,-2.6016934859334206,-2.835497008294567,-1.9938701387573095,10
angle_p50,scibert,30,36.42061256839214,33.88499825741179,-2.5356143109803497,-2.3248080622012495,-3.069104620670439,-1.9616079425844273,10
angle_p50,scibert,31,33.97437228854188,34.36286871905964,0.38849643051776184,0.5085908824592451,0.001195527745921153,0.8206997111459966,9
angle_p50,scibert,32,35.21267450489047,33.60562098327262,-1.6070535216178499,-1.4982916545518847,-2.0884561831411377,-1.216343746878139,10
angle_p50,scibert,33,35.48452803161378,33.72521101322552,-1.7593170183882592,-1.7899168162780832,-2.302463693590279,-1.1668195699207908,10
angle_p50,scibert,34,34.50960732591664,33.08562111209659,-1.4239862138200508,-1.438826562521605,-1.6294372492689864,-0.9758231505077449,10
angle_p50,scibert,35,32.91517637076012,31.360951289989583,-1.5542250807705393,-1.507289802294176,-1.9738403117269843,-1.2916851030148215,10
angle_p50,scibert,36,35.88918988841783,33.52039353631555,-2.3687963521022795,-2.3913938584118313,-2.815711146199104,-1.8375727343696378,10
angle_p50,bert,11,34.13063296338733,31.31345122681243,-2.8171817365748986,-2.944040709745492,-3.505934656181145,-2.138909411652595,10
angle_p50,bert,12,38.9474474296908,36.340494038933315,-2.6069533907574822,-2.425468793581672,-2.9610227846175396,-2.211445687036049,10
angle_p50,bert,13,32.773012317659386,30.84051539811747,-1.932496919541915,-2.2928407397494954,-3.00469175736613,-1.327484591524858,10
angle_p50,bert,14,35.15858383961708,30.594904738733987,-4.563679100883093,-4.72367271335821,-5.018164343651097,-4.092711147617165,10
angle_p50,bert,15,32.09175621671003,29.5830861955828,-2.50867002112723,-2.3543880810332567,-3.0246868478199085,-2.0623299229855507,10
angle_p50,bert,16,32.5497492339221,30.978413102938106,-1.571336130983994,-1.1889797406251308,-1.9222898812471778,-0.6120728495055117,10
angle_p50,bert,17,33.32629576343129,30.938498067510498,-2.387797695920792,-1.9619584470885236,-2.296081929361055,-1.4655600887692029,10
angle_p50,bert,18,34.15158426548778,31.080739776073155,-3.070844489414622,-3.2647521196874454,-3.6730304181147044,-2.611624951051974,10
angle_p50,bert,19,35.06790409600667,32.47448375035021,-2.5934203456564617,-2.3257445824994285,-3.1936678939967424,-2.1556788383493553,10
angle_p50,bert,20,35.98323207165824,32.58305337167898,-3.4001786999792643,-3.437504512510415,-3.8611673541617706,-2.832706031837388,10
angle_p50,bert,21,37.065802905317675,31.640990917072855,-5.424811988244819,-5.3730176714499205,-6.022151662980679,-5.054803942282821,10
angle_p50,bert,22,34.07910610817672,31.21875209863393,-2.8603540095427853,-2.657514910428315,-3.3439244944694835,-2.1744185222622727,10
angle_p50,bert,23,35.80099157825203,32.38514386478205,-3.4158477134699794,-3.237383005462373,-3.888781645158679,-2.5790927109408597,10
angle_p50,bert,24,28.302354845230624,28.681400634898964,0.37904578966833924,0.4104242805131477,-0.12430983179959618,1.1152438245966243,7
angle_p50,bert,25,31.041608227204325,29.33683448272043,-1.7047737444838944,-1.6773947190239173,-2.413351836256907,-1.225230021528987,10
angle_p50,bert,26,33.98051183794554,35.10279787950262,1.122286041557075,1.3483743242310915,0.5154826054440336,1.555562374597478,10
angle_p50,bert,27,31.752779053609267,29.691901890553893,-2.0608771630553733,-1.9970309681577945,-2.739617749873151,-1.1590468017905318,10
angle_p50,bert,28,31.800179686803254,30.630954169193856,-1.169225517609398,-1.051855349816421,-1.6590327486241334,-0.5957894753248841,10
angle_p50,bert,29,34.46761474234141,30.677102383978003,-3.790512358363408,-3.78534563331206,-4.296912761709962,-2.949504688219466,10
angle_p50,bert,30,33.79858973057322,31.04791192991787,-2.7506778006553496,-2.7625357619628694,-3.829512618608894,-2.174029004904623,10
angle_p50,bert,31,31.679371624255484,30.956909931679622,-0.7224616925758625,-0.6853889449019448,-1.422691231339496,-0.17511231452952075,10
angle_p50,bert,32,34.2243230119423,30.55352952002401,-3.6707934919182925,-3.688672598426926,-4.15314128208343,-2.9888750578107866,10
angle_p50,bert,33,37.2316621945023,34.237555528672225,-2.994106665830074,-2.8257409502912054,-3.609972010157026,-2.331975712312163,10
angle_p50,bert,34,31.136344055499,29.28455522349451,-1.8517888320044875,-1.8944476614357413,-2.349940908142483,-1.4399530783399384,10
angle_p50,bert,35,30.17383789539295,28.147664384664772,-2.026173510728178,-1.767322758295414,-2.37594547372498,-1.432014331348658,10
angle_p50,bert,36,35.27159825847406,31.057720347895156,-4.213877910578901,-4.384004034832168,-4.955051534222219,-3.4393546009756384,10
angle_p50,mpnet,11,81.39237941302558,79.61775289281478,-1.774626520210802,-1.5105759554218139,-2.550714328069437,-1.0905262320237736,10
angle_p50,mpnet,12,82.51714084444009,81.62991289005807,-0.887227954382027,-0.9672185142732701,-1.89248867910402,-0.1675026870524221,10
angle_p50,mpnet,13,82.89293578619727,83.60060148072225,0.7076656945249766,0.7814023854222967,-0.12103462257787356,1.3545858679937157,7
angle_p50,mpnet,14,81.38971857743884,78.74198324986827,-2.6477353275705724,-2.723907053459264,-3.2658693403757844,-1.893170000181921,10
angle_p50,mpnet,15,80.42125600792396,79.35696008253527,-1.0642959253886914,-0.9101042223331959,-1.9537352617447645,-0.2320574140625363,10
angle_p50,mpnet,16,77.75365440383244,77.3823954583636,-0.3712589454688384,-0.1774277093411314,-0.7328543598628656,0.7394746501498282,6
angle_p50,mpnet,17,85.17518148290044,85.55531167916767,0.3801301962672312,0.6502251381169941,0.26308445925431484,1.124114206752214,10
angle_p50,mpnet,18,83.79467486134709,83.2134801489958,-0.5811947123512908,-0.6564583156941666,-0.8360356974538561,-0.08649885154339716,10
angle_p50,mpnet,19,81.70674757101054,80.9302522275667,-0.7764953434438411,-0.8296150229244859,-1.6445349004073635,-0.24126796455219138,10
angle_p50,mpnet,20,82.27233680164701,81.2468278083241,-1.0255089933229158,-0.9876644936294028,-1.7853721788766905,-0.4019522257960461,10
angle_p50,mpnet,21,84.23132929443365,81.99653685269348,-2.2347924417401686,-2.4195397129210363,-3.0511095966295705,-2.0554512492952552,10
angle_p50,mpnet,22,86.39667308849646,86.71493266441317,0.31825957591671283,0.3902602578724057,-0.09875584950226113,0.7727730921067189,8
angle_p50,mpnet,23,84.16308871099126,83.20035636831483,-0.962732342676432,-0.8225717895675828,-1.8084808829533408,-0.06373823203654128,10
