metric,field_id,field_name,min_model_value,max_model_value,median_rank,min_rank,max_rank,rank_range
angle_p50,34,Veterinary,9.789210768727289,78.82089103523823,5.0,2.0,18.0,16.0
angle_p50,35,Dentistry,9.323681917991824,72.59200541513886,1.0,1.0,2.0,1.0
angle_p50,36,Health Professions,10.298246881143458,83.03500264245281,19.0,9.0,23.0,14.0
pr,11,Agricultural and Biological Sciences,28.299323796372146,68.33697790878496,18.5,7.0,22.0,15.0
pr,12,Arts and Humanities,25.737116511268344,88.87283338251297,18.5,4.0,26.0,22.0
pr,13,"Biochemistry, Genetics and Molecular Biology",20.296362618239655,77.25343050016373,25.0,9.0,26.0,17.0
pr,14,"Business, Management and Accounting",31.40911905528785,78.50674967561005,17.5,12.0,23.0,11.0
pr,15,Chemical Engineering,17.131753084615358,47.665262728565665,4.0,1.0,12.0,11.0
pr,16,Chemistry,12.070750325409003,66.84243584434833,4.0,2.0,16.0,14.0
pr,17,Computer Science,26.42866194564211,87.67811338993553,21.5,5.0,26.0,21.0
pr,18,Decision Sciences,27.438845820943083,78.24813594590792,18.5,10.0,23.0,13.0
pr,19,Earth and Planetary Sciences,23.93964593540556,60.95108894998409,7.0,3.0,14.0,11.0
pr,20,"Economics, Econometrics and Finance",28.94583805921996,77.92699080914724,18.0,8.0,24.0,16.0
pr,21,Energy,14.836325107074824,43.21583084064688,1.0,1.0,3.0,2.0
pr,22,Engineering,30.017933210268335,93.19058779919342,23.0,16.0,26.0,10.0
pr,23,Environmental Science,29.99027785118262,69.60186083213848,14.0,12.0,20.0,8.0
pr,24,Immunology and Microbiology,16.857404918803592,57.35564838382926,13.0,3.0,21.0,18.0
pr,25,Materials Science,26.095860593569316,70.54708176371788,16.5,11.0,24.0,13.0
pr,26,Mathematics,11.303010919830369,68.48340780351226,4.5,1.0,15.0,14.0
pr,27,Medicine,24.187739058248265,80.78146212403693,22.5,10.0,26.0,16.0
pr,28,Neuroscience,18.311314186580617,64.71651346607217,13.5,7.0,22.0,15.0
pr,29,Nursing,20.117916851176766,53.92193461461413,7.5,5.0,16.0,11.0
pr,30,"Pharmacology, Toxicology and Pharmaceutics",17.995176307740977,64.39664121273637,7.5,3.0,17.0,14.0
pr,31,Physics and Astronomy,24.304100381535836,70.24585528402537,13.0,3.0,17.0,14.0
pr,32,Psychology,25.123329416021992,77.75600995716583,17.5,4.0,22.0,18.0
pr,33,Social Sciences,25.53388083977514,85.39857625879391,19.5,5.0,25.0,20.0
pr,34,Veterinary,25.43151430099127,53.89392195619835,10.5,4.0,24.0,20.0
pr,35,Dentistry,24.197952312137538,54.828642254399234,5.5,3.0,11.0,8.0
pr,36,Health Professions,26.71928807893594,83.82851765067356,19.5,7.0,23.0,16.0
gap_25,11,Agricultural and Biological Sciences,0.0653796764992972,0.12569870152330603,19.0,11.0,21.0,10.0
gap_25,12,Arts and Humanities,0.04233300824148714,0.12240558506043227,15.0,3.0,24.0,21.0
gap_25,13,"Biochemistry, Genetics and Molecular Biology",0.07333636477862006,0.1292976309542929,19.5,14.0,24.0,10.0
gap_25,14,"Business, Management and Accounting",0.06040077967920635,0.15023876394185548,24.0,8.0,26.0,18.0
gap_25,15,Chemical Engineering,0.021545451282718005,0.07629131612715057,4.5,1.0,11.0,10.0
gap_25,16,Chemistry,0.04299924048632427,0.09994532025282712,8.5,4.0,23.0,19.0
gap_25,17,Computer Science,0.0716574741356693,0.11009055374940953,14.5,13.0,17.0,4.0
gap_25,18,Decision Sciences,0.06746438213902506,0.11132410048061504,13.0,10.0,21.0,11.0
gap_25,19,Earth and Planetary Sciences,0.04755022889848302,0.0972623965095579,8.0,5.0,11.0,6.0
gap_25,20,"Economics, Econometrics and Finance",0.059016190657669686,0.14619410980097503,15.5,7.0,25.0,18.0
gap_25,21,Energy,0.014507009293693278,0.07001430082590142,1.0,1.0,10.0,9.0
gap_25,22,Engineering,0.08803264370877165,0.11905291102345211,21.5,15.0,24.0,9.0
gap_25,23,Environmental Science,0.06879150892662231,0.11579775075543468,14.0,10.0,16.0,6.0
gap_25,24,Immunology and Microbiology,0.057356434162380815,0.10327005183658482,10.0,7.0,20.0,13.0
gap_25,25,Materials Science,0.08933573640732452,0.14380984104871156,24.0,22.0,26.0,4.0
gap_25,26,Mathematics,0.02789319390589982,0.06293325916785306,3.0,2.0,5.0,3.0
gap_25,27,Medicine,0.07777010469577514,0.19425005991397412,26.0,13.0,26.0,13.0
gap_25,28,Neuroscience,0.049525291495031015,0.09690689934257304,8.5,7.0,17.0,10.0
gap_25,29,Nursing,0.01928494477738255,0.07266691340494714,4.0,1.0,7.0,6.0
gap_25,30,"Pharmacology, Toxicology and Pharmaceutics",0.027257654508499603,0.06906302333580595,3.5,1.0,6.0,5.0
gap_25,31,Physics and Astronomy,0.04944979751676708,0.12658666340073735,9.0,3.0,21.0,18.0
gap_25,32,Psychology,0.08171665008909894,0.13711412613128426,21.0,16.0,23.0,7.0
gap_25,33,Social Sciences,0.07430303424014711,0.17276970561425672,21.5,12.0,25.0,13.0
gap_25,34,Veterinary,0.03513150022746348,0.10706168656434555,10.5,4.0,21.0,17.0
gap_25,35,Dentistry,0.0538637532964239,0.10872636135461879,11.0,7.0,22.0,15.0
gap_25,36,Health Professions,0.07676158698050511,0.14035847921672778,19.5,12.0,23.0,11.0
