metric,model,field_id,condition,reference_kind,n,reference,value,difference,relative_difference,same_ids
gap_25,scibert,28,abstract,half,1000,0.11022987264730709,0.11049717330876085,0.00026730066145376485,0.0024249384947492725,True
gap_25,scibert,29,abstract,half,1000,0.08151294877730451,0.08438876707792616,0.002875818300621641,0.03528050872602402,True
gap_25,scibert,30,abstract,half,1000,0.04582238659825947,0.04803898575108656,0.002216599152827091,0.04837371680922632,True
gap_25,scibert,31,abstract,half,1000,0.07598554408475078,0.0774317597049249,0.001446215620174121,0.019032773109594094,True
gap_25,scibert,32,abstract,half,1000,0.13572562949488284,0.1331832374055098,-0.002542392089373041,-0.01873184967964282,True
gap_25,scibert,33,abstract,half,1000,0.09567226038398134,0.10009467979283516,0.004422419408853823,0.04622467778125455,True
gap_25,scibert,34,abstract,half,1000,0.12609250600112273,0.1227532840278502,-0.0033392219732725353,-0.026482319046326218,True
gap_25,scibert,35,abstract,half,1000,0.1284414684585796,0.122314733324556,-0.006126735134023592,-0.04770060018427281,True
gap_25,scibert,36,abstract,half,1000,0.12573288421735654,0.12501577388002824,-0.0007171103373282972,-0.005703442991800113,True
gap_25,bert,11,abstract,half,1000,0.1163833825408935,0.11710853444698481,0.0007251519060913064,0.006230716879503915,True
gap_25,bert,12,abstract,half,1000,0.11427671733551949,0.11393929960074042,-0.00033741773477906356,-0.0029526376207359554,True
gap_25,bert,13,abstract,half,1000,0.1061708152533334,0.10533721743386273,-0.0008335978194706634,-0.007851477993096519,True
gap_25,bert,14,abstract,half,1000,0.14157162632250775,0.14652232961922307,0.00495070329671532,0.03496960107979089,True
gap_25,bert,15,abstract,half,1000,0.06162018388811483,0.06456588176404066,0.002945697875925829,0.047804107194395914,True
gap_25,bert,16,abstract,half,1000,0.055353810545134455,0.056894640893726096,0.0015408303485916416,0.02783603031873077,True
gap_25,bert,17,abstract,half,1000,0.10687417100581756,0.10854512135569774,0.0016709503498801848,0.015634744430337886,True
gap_25,bert,18,abstract,half,1000,0.0885714085512429,0.08595090904572293,-0.0026204995055199715,-0.02958629142725989,True
gap_25,bert,19,abstract,half,1000,0.08340267737908025,0.08576047860216976,0.002357801223089512,0.02827009032783059,True
gap_25,bert,20,abstract,half,1000,0.11798574845189948,0.12044787376996531,0.002462125318065833,0.020867989145905992,True
gap_25,bert,21,abstract,half,1000,0.024931683286315048,0.024914825778612922,-1.6857507702125463e-05,-0.000676147996448299,True
gap_25,bert,22,abstract,half,1000,0.11362123267235497,0.11726094505818074,0.0036397123858257774,0.03203373436654636,True
gap_25,bert,23,abstract,half,1000,0.10051838320790153,0.10198156399672698,0.0014631807888254439,0.014556350213066564,True
gap_25,bert,24,abstract,half,1000,0.07326137054224,0.07346758793345029,0.00020621739121029492,0.0028148175455084755,True
gap_25,bert,25,abstract,half,1000,0.1292324924648751,0.12704219371203532,-0.00219029875283977,-0.01694851434854965,True
gap_25,bert,26,abstract,half,1000,0.03350837966313922,0.03336892760666112,-0.00013945205647810516,-0.004161706948531113,True
gap_25,bert,27,abstract,half,1000,0.09746075533744594,0.09997513689718601,0.00251438155974007,0.025798913121844083,True
gap_25,bert,28,abstract,half,1000,0.06338091355208013,0.0631950478363531,-0.0001858657157270266,-0.002932518723863149,True
gap_25,bert,29,abstract,half,1000,0.05749523795206554,0.060031537990556945,0.002536300038491403,0.04411321926532326,True
gap_25,bert,30,abstract,half,1000,0.030622396558729035,0.03431526274308824,0.003692866184359208,0.12059363731629756,True
gap_25,bert,31,abstract,half,1000,0.08806851789030154,0.09031455578154318,0.0022460378912416423,0.025503300669137127,True
gap_25,bert,32,abstract,half,1000,0.11879333350266454,0.11677340022619888,-0.0020199332764656575,-0.01700375952847851,True
gap_25,bert,33,abstract,half,1000,0.12867621605920387,0.13335730649046124,0.004681090431257362,0.03637883188221508,True
gap_25,bert,34,abstract,half,1000,0.10994197529554832,0.11367480132452189,0.003732826028973568,0.033952692035402375,True
gap_25,bert,35,abstract,half,1000,0.10506947108519142,0.1060689743690639,0.0009995032838724799,0.009512784955984715,True
gap_25,bert,36,abstract,half,1000,0.11683153553659482,0.11557355467504421,-0.0012579808615506144,-0.010767476912571952,True
gap_25,mpnet,11,abstract,half,1000,0.12927872069385318,0.1292397436720723,-3.897702178087825e-05,-0.00030149603563281154,True
gap_25,mpnet,12,abstract,half,1000,0.12987875320554843,0.13077738834222377,0.0008986351366753464,0.006919031130928325,True
gap_25,mpnet,13,abstract,half,1000,0.11733044593886024,0.11973916413967639,0.0024087182008161456,0.020529353498505456,True
gap_25,mpnet,14,abstract,half,1000,0.1498557181122763,0.14775442532268687,-0.0021012927895894262,-0.014022106170250214,True
gap_25,mpnet,15,abstract,half,1000,0.0390358856033464,0.04059346467030402,0.0015575790669576234,0.039901209947805,True
gap_25,mpnet,16,abstract,half,1000,0.10127779038497058,0.10273701221205973,0.0014592218270891577,0.014408112790992559,True
gap_25,mpnet,17,abstract,half,1000,0.10840950035559357,0.1068791178722051,-0.0015303824833884788,-0.014116682379022846,True
gap_25,mpnet,18,abstract,half,1000,0.09570855931718446,0.09892761114043984,0.003219051823255381,0.03363389697035593,True
gap_25,mpnet,19,abstract,half,1000,0.09525906065669322,0.09362073113559825,-0.0016383295210949667,-0.01719867390881995,True
gap_25,mpnet,20,abstract,half,1000,0.11692137680215971,0.11717745519107035,0.0002560783889106466,0.0021901759619539175,True
gap_25,mpnet,21,abstract,half,1000,0.020138448542542882,0.021630830966076545,0.0014923824235336634,0.07410612691344992,True
gap_25,mpnet,22,abstract,half,1000,0.11560670609540355,0.1165437674343983,0.0009370613389947519,0.00810559673088038,True
gap_25,mpnet,23,abstract,half,1000,0.09902127816173628,0.09733438382519913,-0.0016868943365371536,-0.017035675239233602,True
gap_25,mpnet,24,abstract,half,1000,0.09120166417313887,0.09178191208408161,0.0005802479109427439,0.006362251349286685,True
gap_25,mpnet,25,abstract,half,1000,0.13174792512501454,0.13249067916089385,0.0007427540358793117,0.005637690575957977,True
gap_25,mpnet,26,abstract,half,1000,0.0421161845315069,0.04549059100640025,0.0033744064748933503,0.08012137168714735,True
gap_25,mpnet,27,abstract,half,1000,0.17481564080171327,0.17495134768292853,0.00013570688121525287,0.0007762856949921319,True
gap_25,mpnet,28,abstract,half,1000,0.07748524900044544,0.07690525813156071,-0.0005799908688847305,-0.007485177841803106,True
gap_25,mpnet,29,abstract,half,1000,0.025280240426737183,0.02842147730634106,0.003141236879603878,0.12425660621018486,True
gap_25,mpnet,30,abstract,half,1000,0.05244829495188806,0.05443561700763827,0.0019873220557502097,0.037891070769282824,True
gap_25,mpnet,31,abstract,half,1000,0.08659619920126066,0.08784059504610935,0.0012443958448486864,0.01437009772168581,True
gap_25,mpnet,32,abstract,half,1000,0.118082269692532,0.12081145438330304,0.002729184690771047,0.023112569718361807,True
gap_25,mpnet,33,abstract,half,1000,0.15458199208663,0.15466852431098257,8.653222435256458e-05,0.0005597820495421656,True
gap_25,mpnet,34,abstract,half,1000,0.051805169395052184,0.08221397284092605,0.030408803445873864,0.5869839593416744,True
