panel,metric,model_a,model_b,field_rank_spearman
title,pr,scincl,minilm,0.768205128205128
title,pr,scincl,pubmedbert,0.591111111111111
title,pr,scincl,biobert,0.563076923076923
title,pr,scincl,simcse,0.42017094017094014
title,pr,scibert,bert,0.31418803418803415
title,pr,scibert,mpnet,0.43247863247863244
title,pr,scibert,minilm,0.44136752136752133
title,pr,scibert,pubmedbert,0.8988034188034186
title,pr,scibert,biobert,0.8386324786324786
title,pr,scibert,simcse,0.23487179487179485
title,pr,bert,mpnet,0.5993162393162393
title,pr,bert,minilm,0.6123076923076922
title,pr,bert,pubmedbert,0.23829059829059826
title,pr,bert,biobert,0.13777777777777778
title,pr,bert,simcse,0.9117948717948718
title,pr,mpnet,minilm,0.9781196581196581
title,pr,mpnet,pubmedbert,0.31555555555555553
title,pr,mpnet,biobert,0.3217094017094017
title,pr,mpnet,simcse,0.6909401709401709
title,pr,minilm,pubmedbert,0.347008547008547
title,pr,minilm,biobert,0.3408547008547009
title,pr,minilm,simcse,0.6793162393162392
title,pr,pubmedbert,biobert,0.7558974358974359
title,pr,pubmedbert,simcse,0.1158974358974359
title,pr,biobert,simcse,0.0652991452991453
title,gap_25,specter,specter2,0.805128205128205
title,gap_25,specter,scincl,0.671111111111111
title,gap_25,specter,scibert,0.5001709401709401
title,gap_25,specter,bert,0.4762393162393162
title,gap_25,specter,mpnet,0.7155555555555554
title,gap_25,specter,minilm,0.7244444444444444
title,gap_25,specter,pubmedbert,0.5808547008547009
title,gap_25,specter,biobert,0.40061589945701714
title,gap_25,specter,simcse,0.455042735042735
title,gap_25,specter2,scincl,0.8406837606837606
title,gap_25,specter2,scibert,0.30188034188034185
title,gap_25,specter2,bert,0.39350427350427347
title,gap_25,specter2,mpnet,0.9384615384615382
title,gap_25,specter2,minilm,0.9070085470085469
title,gap_25,specter2,pubmedbert,0.4256410256410256
title,gap_25,specter2,biobert,0.4245639036944135
title,gap_25,specter2,simcse,0.3305982905982906
title,gap_25,scincl,scibert,0.2574358974358974
title,gap_25,scincl,bert,0.40786324786324785
