metric,model,field_id,condition,model_difference_mean9,input_difference,model_minus_input
angle_p50,scibert,25,title,19.81346826268866,11.918197362742944,7.895270899945714
angle_p50,scibert,25,abstract,19.81346826268866,0.3415729211531868,19.471895341535472
angle_p50,scibert,26,title,19.830504556230544,11.990806760103936,7.839697796126607
angle_p50,scibert,26,abstract,19.830504556230544,0.349671624680191,19.480832931550353
angle_p50,scibert,27,title,21.27887981572796,11.683748499275957,9.595131316452004
angle_p50,scibert,27,abstract,21.27887981572796,0.18302763876097572,21.095852176966986
angle_p50,scibert,28,title,20.60128229341025,11.919116929839646,8.682165363570604
angle_p50,scibert,28,abstract,20.60128229341025,0.21764625742608246,20.383636035984168
angle_p50,scibert,29,title,20.062413650964185,10.678993709105093,9.383419941859092
angle_p50,scibert,29,abstract,20.062413650964185,0.09159564402853704,19.970818006935648
angle_p50,scibert,30,title,19.153346522088196,10.333056240140557,8.820290281947639
angle_p50,scibert,30,abstract,19.153346522088196,0.07418921489219343,19.079157307196002
angle_p50,scibert,31,title,20.227725358968648,11.997808470809254,8.229916888159394
angle_p50,scibert,31,abstract,20.227725358968648,0.38854348384251125,19.839181875126137
angle_p50,scibert,32,title,20.263677601868064,11.2686066918372,8.995070910030865
angle_p50,scibert,32,abstract,20.263677601868064,0.24598969940813475,20.01768790245993
angle_p50,scibert,33,title,20.63925126143569,11.215079943541888,9.424171317893801
angle_p50,scibert,33,abstract,20.63925126143569,0.2624238595410233,20.376827401894666
angle_p50,scibert,34,title,19.205565300435286,10.436122116657671,8.769443183777614
angle_p50,scibert,34,abstract,19.205565300435286,0.10152483300755932,19.104040467427726
angle_p50,scibert,35,title,16.467354083883574,11.122838327583466,5.344515756300108
angle_p50,scibert,35,abstract,16.467354083883574,0.11313498413350231,16.354219099750072
angle_p50,scibert,36,title,20.170875337845192,11.443589747398377,8.727285590446815
angle_p50,scibert,36,abstract,20.170875337845192,0.17504071486328598,19.995834622981906
angle_p50,bert,11,title,20.269761619120235,15.068740033503907,5.201021585616328
angle_p50,bert,11,abstract,20.269761619120235,0.5181766007893245,19.75158501833091
angle_p50,bert,12,title,19.514520655602617,17.3643377063229,2.150182949279717
angle_p50,bert,12,abstract,19.514520655602617,0.4803740821210667,19.03414657348155
angle_p50,bert,13,title,22.07651578948908,14.757264901951764,7.319250887537315
angle_p50,bert,13,abstract,22.07651578948908,0.32112870247365777,21.75538708701542
angle_p50,bert,14,title,20.26901238788742,16.297196994749534,3.971815393137888
angle_p50,bert,14,abstract,20.26901238788742,0.330691860662796,19.938320527224626
angle_p50,bert,15,title,20.772321129653093,14.202727015741644,6.5695941139114495
angle_p50,bert,15,abstract,20.772321129653093,0.3256406243637038,20.44668050528939
angle_p50,bert,16,title,19.438214561606475,12.089392631241786,7.348821930364689
angle_p50,bert,16,abstract,19.438214561606475,0.6703710650383172,18.767843496568158
angle_p50,bert,17,title,22.9091913435674,16.250922024302838,6.658269319264562
angle_p50,bert,17,abstract,22.9091913435674,0.24381023042796102,22.66538111313944
angle_p50,bert,18,title,21.309242482984317,16.27213166692144,5.037110816062878
angle_p50,bert,18,abstract,21.309242482984317,0.3404800877003993,20.968762395283917
angle_p50,bert,19,title,19.624274654728612,15.574644376026818,4.049630278701795
angle_p50,bert,19,abstract,19.624274654728612,0.4451340209083696,19.179140633820243
angle_p50,bert,20,title,20.013512208672672,16.446422912336892,3.56708929633578
angle_p50,bert,20,abstract,20.013512208672672,0.4315549445939766,19.581957264078696
angle_p50,bert,21,title,20.30355510301305,14.663810333821061,5.639744769191989
angle_p50,bert,21,abstract,20.30355510301305,0.4356106868437237,19.867944416169326
angle_p50,bert,22,title,22.655452258444647,14.997516339070948,7.657935919373699
angle_p50,bert,22,abstract,22.655452258444647,0.3141628951751301,22.341289363269517
angle_p50,bert,23,title,20.82392179367814,16.577233003375213,4.246688790302926
angle_p50,bert,23,abstract,20.82392179367814,0.32121889587354246,20.502702897804596
angle_p50,bert,24,title,22.048243144894634,13.878589325517666,8.169653819376968
angle_p50,bert,24,abstract,22.048243144894634,0.34179239407830053,21.706450750816334
angle_p50,bert,25,title,21.051106144342743,13.22115181331445,7.8299543310282935
angle_p50,bert,25,abstract,21.051106144342743,0.3257766865025964,20.725329457840147
angle_p50,bert,26,title,20.006214272914878,12.676642372235989,7.329571900678889
angle_p50,bert,26,abstract,20.006214272914878,0.44024048523927206,19.565973787675606
angle_p50,bert,27,title,23.281105499771105,15.359886022185744,7.92121947758536
angle_p50,bert,27,abstract,23.281105499771105,0.3624433623371104,22.918662137433994
angle_p50,bert,28,title,22.097711036667643,15.807535026187072,6.290176010480572
angle_p50,bert,28,abstract,22.097711036667643,0.2221557708366717,21.87555526583097
angle_p50,bert,29,title,21.03106177983316,15.823000583308726,5.208061196524433
angle_p50,bert,29,abstract,21.03106177983316,0.4272657237250286,20.60379605610813
angle_p50,bert,30,title,20.230305491080898,14.59819363763355,5.632111853447348
angle_p50,bert,30,abstract,20.230305491080898,0.5591354873296694,19.67117000375123
angle_p50,bert,31,title,21.41111450761289,16.10652969960521,5.304584808007679
angle_p50,bert,31,abstract,21.41111450761289,0.21370679580622465,21.197407711806665
angle_p50,bert,32,title,21.343802614958175,17.376695924940947,3.9671066900172285
angle_p50,bert,32,abstract,21.343802614958175,0.328642008366991,21.015160606591184
angle_p50,bert,33,title,20.301148961542488,17.310491750386646,2.990657211155842
angle_p50,bert,33,abstract,20.301148961542488,0.375155774984691,19.925993186557797
angle_p50,bert,34,title,20.744484283698682,15.80126768510257,4.943216598596113
angle_p50,bert,34,abstract,20.744484283698682,0.31955115868636597,20.424933125012316
angle_p50,bert,35,title,17.81275224379024,16.272003360727247,1.5407488830629923
angle_p50,bert,35,abstract,17.81275224379024,0.3184104239073626,17.494341819882877
angle_p50,bert,36,title,20.729994616183777,16.819646061287628,3.9103485548961494
angle_p50,bert,36,abstract,20.729994616183777,0.3265619965377766,20.403432619646
angle_p50,mpnet,11,title,39.870217373952556,3.6801391985450636,36.19007817540749
angle_p50,mpnet,11,abstract,39.870217373952556,0.0913976135162784,39.77881976043628
angle_p50,mpnet,12,title,40.96106341510833,1.6936392607857726,39.267424154322555
angle_p50,mpnet,12,abstract,40.96106341510833,1.0878780078857488,39.87318540722258
angle_p50,mpnet,13,title,42.44013688320735,2.1288853993496843,40.31125148385767
angle_p50,mpnet,13,abstract,42.44013688320735,0.11432880064361939,42.32580808256373
