main,alternative,comparison,unit,spearman_oriented
pr,d80,models within Field,13,0.7939393939393938
pr,d80,models within Field,14,0.7500139429824981
pr,d80,models within Field,15,0.9544117035777014
pr,d80,models within Field,16,0.6930123197952736
pr,d80,models within Field,17,0.5714312110592608
pr,d80,models within Field,18,0.7659609850368815
pr,d80,models within Field,19,0.9361745372672995
pr,d80,models within Field,20,0.9151515151515152
pr,d80,models within Field,21,0.8909090909090909
pr,d80,models within Field,22,0.8060606060606059
pr,d80,models within Field,23,0.8632258720256917
pr,d80,models within Field,24,0.8303030303030302
pr,d80,models within Field,25,0.8424242424242423
pr,d80,models within Field,26,0.9118583155200968
pr,d80,models within Field,27,0.6242424242424242
pr,d80,models within Field,28,0.7538028741632801
pr,d80,models within Field,29,0.859772080979937
pr,d80,models within Field,30,0.8060606060606059
pr,d80,models within Field,31,0.7805023146484533
pr,d80,models within Field,32,0.8145934285312865
pr,d80,models within Field,33,0.9207488243118473
pr,d80,models within Field,34,0.7963562622208846
pr,d80,models within Field,35,0.8909090909090909
pr,d80,models within Field,36,0.5609860386535758
pr,pc1_share,Fields within model,specter,0.9411965811965811
pr,pc1_share,Fields within model,specter2,0.9042735042735042
pr,pc1_share,Fields within model,scincl,0.8851282051282051
pr,pc1_share,Fields within model,scibert,0.8133333333333332
pr,pc1_share,Fields within model,bert,0.896068376068376
pr,pc1_share,Fields within model,mpnet,0.9452991452991453
pr,pc1_share,Fields within model,minilm,0.9425641025641024
pr,pc1_share,Fields within model,pubmedbert,0.8598290598290598
pr,pc1_share,Fields within model,biobert,0.9049572649572648
pr,pc1_share,Fields within model,simcse,0.8140170940170939
pr,pc1_share,models within Field,11,0.8909090909090909
pr,pc1_share,models within Field,12,0.9878787878787878
pr,pc1_share,models within Field,13,0.9636363636363635
pr,pc1_share,models within Field,14,0.9272727272727272
pr,pc1_share,models within Field,15,0.9030303030303028
pr,pc1_share,models within Field,16,0.9515151515151514
pr,pc1_share,models within Field,17,0.9757575757575757
pr,pc1_share,models within Field,18,0.9515151515151514
pr,pc1_share,models within Field,19,0.9515151515151514
pr,pc1_share,models within Field,20,0.9636363636363635
pr,pc1_share,models within Field,21,0.9515151515151514
pr,pc1_share,models within Field,22,0.9030303030303028
pr,pc1_share,models within Field,23,0.9030303030303028
pr,pc1_share,models within Field,24,0.9636363636363635
pr,pc1_share,models within Field,25,0.9393939393939393
pr,pc1_share,models within Field,26,0.9515151515151514
pr,pc1_share,models within Field,27,0.9636363636363635
pr,pc1_share,models within Field,28,0.9030303030303028
pr,pc1_share,models within Field,29,0.9636363636363635
pr,pc1_share,models within Field,30,0.9878787878787878
pr,pc1_share,models within Field,31,0.8666666666666665
pr,pc1_share,models within Field,32,0.8060606060606059
pr,pc1_share,models within Field,33,0.9999999999999999
pr,pc1_share,models within Field,34,0.8787878787878788
pr,pc1_share,models within Field,35,0.8303030303030302
pr,pc1_share,models within Field,36,0.9636363636363635
gap_25,gap_10,Fields within model,specter,0.9117948717948718
gap_25,gap_10,Fields within model,specter2,0.8878632478632477
gap_25,gap_10,Fields within model,scincl,0.8735042735042735
gap_25,gap_10,Fields within model,scibert,0.7866666666666666
gap_25,gap_10,Fields within model,bert,0.7094017094017094
gap_25,gap_10,Fields within model,mpnet,0.8755555555555555
gap_25,gap_10,Fields within model,minilm,0.8646153846153846
gap_25,gap_10,Fields within model,pubmedbert,0.768205128205128
gap_25,gap_10,Fields within model,biobert,0.8147008547008547
gap_25,gap_10,Fields within model,simcse,0.7641025641025642
gap_25,gap_10,models within Field,11,0.9515151515151514
gap_25,gap_10,models within Field,12,0.8181818181818182
gap_25,gap_10,models within Field,13,0.8666666666666665
gap_25,gap_10,models within Field,14,0.5272727272727272
gap_25,gap_10,models within Field,15,0.9030303030303028
gap_25,gap_10,models within Field,16,0.9878787878787878
gap_25,gap_10,models within Field,17,0.9878787878787878
gap_25,gap_10,models within Field,18,0.8909090909090909
gap_25,gap_10,models within Field,19,0.7212121212121211
gap_25,gap_10,models within Field,20,0.6121212121212121
gap_25,gap_10,models within Field,21,0.6848484848484848
gap_25,gap_10,models within Field,22,0.9757575757575757
gap_25,gap_10,models within Field,23,0.9878787878787878
gap_25,gap_10,models within Field,24,0.9757575757575757
gap_25,gap_10,models within Field,25,0.07878787878787878
gap_25,gap_10,models within Field,26,0.9030303030303028
gap_25,gap_10,models within Field,27,0.9636363636363635
gap_25,gap_10,models within Field,28,0.9636363636363635
gap_25,gap_10,models within Field,29,0.8181818181818182
gap_25,gap_10,models within Field,30,0.7696969696969697
gap_25,gap_10,models within Field,31,0.9757575757575757
gap_25,gap_10,models within Field,32,0.9636363636363635
gap_25,gap_10,models within Field,33,0.8424242424242423
gap_25,gap_10,models within Field,34,0.9151515151515152
gap_25,gap_10,models within Field,35,0.9878787878787878
gap_25,gap_10,models within Field,36,0.7818181818181817
gap_25,gap_50,Fields within model,specter,0.9548717948717947
gap_25,gap_50,Fields within model,specter2,0.967179487179487
gap_25,gap_50,Fields within model,scincl,0.9767521367521367
gap_25,gap_50,Fields within model,scibert,0.9377777777777777
gap_25,gap_50,Fields within model,bert,0.9822222222222221
gap_25,gap_50,Fields within model,mpnet,0.9835897435897435
gap_25,gap_50,Fields within model,minilm,0.9699145299145299
gap_25,gap_50,Fields within model,pubmedbert,0.898119658119658
gap_25,gap_50,Fields within model,biobert,0.9473504273504273
gap_25,gap_50,Fields within model,simcse,0.9637606837606837
gap_25,gap_50,models within Field,11,0.9636363636363635
gap_25,gap_50,models within Field,12,0.8545454545454544
gap_25,gap_50,models within Field,13,0.9999999999999999
gap_25,gap_50,models within Field,14,0.9393939393939393
gap_25,gap_50,models within Field,15,0.9999999999999999
gap_25,gap_50,models within Field,16,0.9151515151515152
gap_25,gap_50,models within Field,17,0.9878787878787878
gap_25,gap_50,models within Field,18,0.8787878787878788
gap_25,gap_50,models within Field,19,0.7939393939393938
gap_25,gap_50,models within Field,20,0.9878787878787878
gap_25,gap_50,models within Field,21,0.3939393939393939
gap_25,gap_50,models within Field,22,0.9030303030303028
gap_25,gap_50,models within Field,23,0.9636363636363635
gap_25,gap_50,models within Field,24,0.9636363636363635
gap_25,gap_50,models within Field,25,0.9757575757575757
gap_25,gap_50,models within Field,26,0.4545454545454545
gap_25,gap_50,models within Field,27,0.9151515151515152
gap_25,gap_50,models within Field,28,0.9878787878787878
gap_25,gap_50,models within Field,29,0.34545454545454546
gap_25,gap_50,models within Field,30,0.6
gap_25,gap_50,models within Field,31,0.9393939393939393
gap_25,gap_50,models within Field,32,0.9878787878787878
gap_25,gap_50,models within Field,33,0.9878787878787878
gap_25,gap_50,models within Field,34,0.9999999999999999
gap_25,gap_50,models within Field,35,0.9878787878787878
gap_25,gap_50,models within Field,36,0.4666666666666666
gap_25,weighted_gap_25,Fields within model,specter,0.9863247863247863
gap_25,weighted_gap_25,Fields within model,specter2,0.9788034188034187
gap_25,weighted_gap_25,Fields within model,scincl,0.9856410256410256
gap_25,weighted_gap_25,Fields within model,scibert,0.9562393162393161
gap_25,weighted_gap_25,Fields within model,bert,0.9931623931623932
gap_25,weighted_gap_25,Fields within model,mpnet,0.9972649572649572
gap_25,weighted_gap_25,Fields within model,minilm,0.9965811965811966
gap_25,weighted_gap_25,Fields within model,pubmedbert,0.9685470085470086
gap_25,weighted_gap_25,Fields within model,biobert,0.9610256410256409
gap_25,weighted_gap_25,Fields within model,simcse,0.8994871794871795
gap_25,weighted_gap_25,models within Field,11,0.9757575757575757
gap_25,weighted_gap_25,models within Field,12,0.8060606060606059
gap_25,weighted_gap_25,models within Field,13,0.9878787878787878
gap_25,weighted_gap_25,models within Field,14,0.9515151515151514
gap_25,weighted_gap_25,models within Field,15,0.9999999999999999
gap_25,weighted_gap_25,models within Field,16,0.8545454545454544
gap_25,weighted_gap_25,models within Field,17,0.9878787878787878
gap_25,weighted_gap_25,models within Field,18,0.9999999999999999
gap_25,weighted_gap_25,models within Field,19,0.8909090909090909
gap_25,weighted_gap_25,models within Field,20,0.9999999999999999
gap_25,weighted_gap_25,models within Field,21,0.7696969696969697
gap_25,weighted_gap_25,models within Field,22,0.9757575757575757
gap_25,weighted_gap_25,models within Field,23,0.9878787878787878
gap_25,weighted_gap_25,models within Field,24,0.9999999999999999
gap_25,weighted_gap_25,models within Field,25,0.8787878787878788
gap_25,weighted_gap_25,models within Field,26,0.8424242424242423
gap_25,weighted_gap_25,models within Field,27,0.9999999999999999
gap_25,weighted_gap_25,models within Field,28,0.9757575757575757
gap_25,weighted_gap_25,models within Field,29,0.7939393939393938
gap_25,weighted_gap_25,models within Field,30,0.9151515151515152
gap_25,weighted_gap_25,models within Field,31,0.9878787878787878
gap_25,weighted_gap_25,models within Field,32,0.9878787878787878
gap_25,weighted_gap_25,models within Field,33,0.9878787878787878
gap_25,weighted_gap_25,models within Field,34,0.9030303030303028
gap_25,weighted_gap_25,models within Field,35,0.9999999999999999
gap_25,weighted_gap_25,models within Field,36,0.9272727272727272
gap_25,mutual_giant_25,Fields within model,specter,0.3765191817157097
gap_25,mutual_giant_25,Fields within model,specter2,0.2954351214318998
gap_25,mutual_giant_25,Fields within model,scincl,0.55817962341539
gap_25,mutual_giant_25,Fields within model,scibert,0.5230928354139873
gap_25,mutual_giant_25,Fields within model,bert,-0.3044296620996803
gap_25,mutual_giant_25,Fields within model,mpnet,0.42974763818912787
gap_25,mutual_giant_25,Fields within model,minilm,0.3352226249573545
gap_25,mutual_giant_25,Fields within model,pubmedbert,0.30213869053000403
gap_25,mutual_giant_25,Fields within model,biobert,0.36015097102966487
gap_25,mutual_giant_25,Fields within model,simcse,0.3552363268578632
gap_25,mutual_giant_25,models within Field,11,-0.2606060606060606
gap_25,mutual_giant_25,models within Field,12,0.6121212121212121
gap_25,mutual_giant_25,models within Field,13,-0.33333333333333326
gap_25,mutual_giant_25,models within Field,14,0.17575757575757575
gap_25,mutual_giant_25,models within Field,15,-0.7333333333333332
gap_25,mutual_giant_25,models within Field,16,0.6242424242424242
gap_25,mutual_giant_25,models within Field,17,-0.44377104688644714
gap_25,mutual_giant_25,models within Field,18,-0.22424242424242422
gap_25,mutual_giant_25,models within Field,19,0.26747843921922837
gap_25,mutual_giant_25,models within Field,20,-0.0303030303030303
gap_25,mutual_giant_25,models within Field,21,-0.16363636363636364
gap_25,mutual_giant_25,models within Field,22,-0.5714312110592608
gap_25,mutual_giant_25,models within Field,23,-0.28484848484848485
gap_25,mutual_giant_25,models within Field,24,-0.13939393939393938
gap_25,mutual_giant_25,models within Field,25,-0.34545454545454546
gap_25,mutual_giant_25,models within Field,26,-0.33333333333333326
gap_25,mutual_giant_25,models within Field,27,0.06666666666666665
gap_25,mutual_giant_25,models within Field,28,-0.2024692293161501
gap_25,mutual_giant_25,models within Field,29,-0.6363636363636362
gap_25,mutual_giant_25,models within Field,30,0.17629260766721871
gap_25,mutual_giant_25,models within Field,31,-0.5151515151515151
gap_25,mutual_giant_25,models within Field,32,-0.34545454545454546
gap_25,mutual_giant_25,models within Field,33,0.43030303030303024
gap_25,mutual_giant_25,models within Field,34,-0.6484848484848483
gap_25,mutual_giant_25,models within Field,35,-0.6121212121212121
gap_25,mutual_giant_25,models within Field,36,0.04863244349440517
