metric,model,field_id,field_name,kind,repeats,reference_n,reference,median,q05,q95,relative_width,relative_median_shift,passes_width,passes_shift,passes_both
pr,pubmedbert,15,Chemical Engineering,half,20,2000,29.50686576082279,28.927034466937954,28.313713373860697,29.5668023775819,0.04246770951135617,0.01965072463422047,True,True,True
pr,pubmedbert,15,Chemical Engineering,external,5,2000,29.50686576082279,29.49807299552671,28.88142324143597,30.307805726105336,0.048340697932181535,0.00029799048693801393,True,True,True
pr,pubmedbert,16,Chemistry,half,20,2000,24.67999453176006,24.393238830506853,23.708886451411598,25.07585767601139,0.05538782526230588,0.011618953192399917,True,True,True
pr,pubmedbert,16,Chemistry,external,5,2000,24.67999453176006,24.124307127054934,23.849771131647664,24.696682574454158,0.03431570625822568,0.022515702099934632,True,True,True
pr,pubmedbert,17,Computer Science,half,20,2000,32.74745785214772,32.27983210282306,31.268914984322894,32.972528655543265,0.05202277620791381,0.014279757269585799,True,True,True
pr,pubmedbert,17,Computer Science,external,5,2000,32.74745785214772,33.333387904410976,33.073964113409666,33.88176348664276,0.024667544481780785,0.017892382819719554,True,True,True
pr,pubmedbert,18,Decision Sciences,half,20,2000,33.95335717916316,33.05110064411973,32.328315259953385,33.91941842990946,0.04686143881325886,0.02657341158585463,True,True,True
pr,pubmedbert,18,Decision Sciences,external,5,2000,33.95335717916316,34.79169404568493,33.54557705354026,34.910174701915395,0.04019036000400488,0.024690838732030998,True,True,True
pr,pubmedbert,19,Earth and Planetary Sciences,half,20,2000,29.49927072875116,29.013212376133218,28.35124836907857,29.78929135626964,0.04874842501748688,0.016476961653977773,True,True,True
pr,pubmedbert,19,Earth and Planetary Sciences,external,5,2000,29.49927072875116,29.852587524249167,29.640219481821358,30.185286224245697,0.018477295504566338,0.011977136612860397,True,True,True
pr,pubmedbert,20,"Economics, Econometrics and Finance",half,20,2000,29.60517177853673,28.81646207682926,26.660442802247914,30.01519453355861,0.11331640824130723,0.026640943265165237,False,True,False
pr,pubmedbert,20,"Economics, Econometrics and Finance",external,5,2000,29.60517177853673,29.00486801503837,27.81183672103511,29.87086964221569,0.06954977112050897,0.020276989709398358,True,True,True
pr,pubmedbert,21,Energy,half,20,2000,19.22374239105444,19.130654779167948,18.382903077633785,19.69277418082097,0.0681381947667338,0.004842325182728707,True,True,True
pr,pubmedbert,21,Energy,external,5,2000,19.22374239105444,19.406144665814598,18.849572027108326,19.762876452333185,0.04750918976368797,0.009488385302387135,True,True,True
pr,pubmedbert,22,Engineering,half,20,2000,35.30036671991091,34.4505832163725,33.64397478635864,35.10049406837762,0.041260740818237496,0.02407293698337409,True,True,True
pr,pubmedbert,22,Engineering,external,5,2000,35.30036671991091,34.045053356192504,33.42285019267229,34.28872599704342,0.024528804792351856,0.03556091566069645,True,True,True
pr,pubmedbert,23,Environmental Science,half,20,2000,30.982692798711884,30.58693742977549,29.70484734764122,31.367239846454897,0.053655520183926414,0.012773433591054718,True,True,True
pr,pubmedbert,23,Environmental Science,external,5,2000,30.982692798711884,31.011287183483095,30.744934114524067,31.35670424986522,0.019745544369422528,0.0009229147691255319,True,True,True
pr,pubmedbert,24,Immunology and Microbiology,half,20,2000,33.14191786732312,32.44237517151785,31.562876838500838,33.09027085238438,0.0460864703122538,0.021107489874476977,True,True,True
pr,pubmedbert,24,Immunology and Microbiology,external,5,2000,33.14191786732312,32.880079422565615,32.57938715871545,33.068292696225285,0.014751878254815238,0.007900521804613864,True,True,True
pr,pubmedbert,25,Materials Science,half,20,2000,34.33616760801609,33.573701697734585,32.89189024608532,34.37021551849102,0.04305446342417599,0.022205911824111125,True,True,True
pr,pubmedbert,25,Materials Science,external,5,2000,34.33616760801609,34.20929050139211,33.73689413891089,35.393027233515966,0.04823290454285979,0.003695144667058263,True,True,True
pr,pubmedbert,26,Mathematics,half,20,2000,20.45648411346203,20.282763314906656,19.829417185521155,20.827634533176123,0.0487971120608189,0.008492211935923533,True,True,True
pr,pubmedbert,26,Mathematics,external,5,2000,20.45648411346203,20.00718229907715,19.54860080487632,20.314879300695257,0.03745895392232452,0.021963784778108612,True,True,True
pr,pubmedbert,27,Medicine,half,20,2000,33.99778243408099,33.67135803877327,32.72960138282917,34.82712093132832,0.061695775380822784,0.009601343732951685,True,True,True
pr,pubmedbert,27,Medicine,external,5,2000,33.99778243408099,34.43895293514713,33.56691221168383,35.38478169314502,0.05347023691871373,0.012976449329350643,True,True,True
pr,pubmedbert,28,Neuroscience,half,20,2000,31.746869156542843,31.345619191843102,30.1092995578623,32.39449424022919,0.07198173372935351,0.012639040489983096,True,True,True
pr,pubmedbert,28,Neuroscience,external,5,2000,31.746869156542843,32.049730824417736,31.03562204574512,32.44350101026731,0.04434701757770135,0.009539890890704578,True,True,True
pr,pubmedbert,29,Nursing,half,20,2000,28.60699566878007,28.088266050076705,27.05509350860406,28.858968129204083,0.06305711517161035,0.018132963863432692,True,True,True
