metric,model,field_id,period,value
angle_p50,simcse,29,2000,55.35585104941487
angle_p50,simcse,29,2005,54.16527274322004
angle_p50,simcse,29,2010,53.826510728920255
angle_p50,simcse,29,2015,51.901509733993755
angle_p50,simcse,29,2020,50.87082352719379
angle_p50,simcse,30,2000,53.22814799161922
angle_p50,simcse,30,2005,50.98145746560634
angle_p50,simcse,30,2010,50.080686416249186
angle_p50,simcse,30,2015,51.62939278753158
angle_p50,simcse,30,2020,50.89332600817784
angle_p50,simcse,31,2000,51.55640674571216
angle_p50,simcse,31,2005,51.81196760803318
angle_p50,simcse,31,2010,51.6816243255933
angle_p50,simcse,31,2015,50.979595964268746
angle_p50,simcse,31,2020,49.83374454601147
angle_p50,simcse,32,2000,57.402868870822594
angle_p50,simcse,32,2005,57.35812184251486
angle_p50,simcse,32,2010,54.984949220800374
angle_p50,simcse,32,2015,53.205698710601276
angle_p50,simcse,32,2020,52.141176022383675
angle_p50,simcse,33,2000,62.40010178830047
angle_p50,simcse,33,2005,62.53604482466155
angle_p50,simcse,33,2010,62.14068173892827
angle_p50,simcse,33,2015,59.812077286722186
angle_p50,simcse,33,2020,57.44477265233126
angle_p50,simcse,34,2000,51.60925982946945
angle_p50,simcse,34,2005,51.15441075931702
angle_p50,simcse,34,2010,50.46794097047173
angle_p50,simcse,34,2015,50.456422331902665
angle_p50,simcse,34,2020,49.43662107715927
angle_p50,simcse,35,2000,48.67877656145178
angle_p50,simcse,35,2005,48.06203338923414
angle_p50,simcse,35,2010,47.86404071005139
angle_p50,simcse,35,2015,47.439915078702086
angle_p50,simcse,35,2020,46.12444042643567
angle_p50,simcse,36,2000,59.65678310703109
angle_p50,simcse,36,2005,58.87953603248549
angle_p50,simcse,36,2010,57.03079084621945
angle_p50,simcse,36,2015,55.819193015486505
angle_p50,simcse,36,2020,52.2352762546607
pr,specter,11,2000,28.580023390277947
pr,specter,11,2005,26.958983400444907
pr,specter,11,2010,26.025009607081422
pr,specter,11,2015,24.317081163749837
pr,specter,11,2020,26.33333508843815
pr,specter,12,2000,31.62263177748605
pr,specter,12,2005,30.388796445514863
pr,specter,12,2010,27.762725551599043
pr,specter,12,2015,29.1291199996222
pr,specter,12,2020,25.377421056806256
pr,specter,13,2000,47.2745492836927
pr,specter,13,2005,46.088753976083865
pr,specter,13,2010,43.763479656143055
pr,specter,13,2015,42.51949652276991
pr,specter,13,2020,38.47726781785412
pr,specter,14,2000,31.801168830767523
pr,specter,14,2005,30.50143316680295
pr,specter,14,2010,30.939652473523086
pr,specter,14,2015,29.571334129239347
pr,specter,14,2020,28.474199402596447
pr,specter,15,2000,20.842000313066663
pr,specter,15,2005,21.481411766538606
pr,specter,15,2010,19.95504749600684
pr,specter,15,2015,18.877522439402526
pr,specter,15,2020,18.96910739011148
pr,specter,16,2000,27.290463595654913
pr,specter,16,2005,24.74468139253431
pr,specter,16,2010,25.282501914253167
pr,specter,16,2015,21.97062535203519
pr,specter,16,2020,22.982857705687973
pr,specter,17,2000,43.68356079318657
pr,specter,17,2005,41.537595553314276
pr,specter,17,2010,41.48337581622383
pr,specter,17,2015,38.487347151443316
pr,specter,17,2020,37.40968061554719
pr,specter,18,2000,38.17912900553067
pr,specter,18,2005,38.7068137265091
pr,specter,18,2010,37.66344003786576
pr,specter,18,2015,36.26763511393469
pr,specter,18,2020,33.100876052089156
pr,specter,19,2000,23.027386558723485
pr,specter,19,2005,23.219033242861375
pr,specter,19,2010,23.549235741725994
pr,specter,19,2015,22.350393872806126
pr,specter,19,2020,21.058782216758576
pr,specter,20,2000,28.635074233191126
pr,specter,20,2005,25.935328872227466
pr,specter,20,2010,26.009869904425372
pr,specter,20,2015,27.082964182249057
pr,specter,20,2020,27.29940142792551
pr,specter,21,2000,23.023056971809428
pr,specter,21,2005,21.636768853083602
pr,specter,21,2010,18.182595938368344
pr,specter,21,2015,15.877957707194037
pr,specter,21,2020,15.783212193744998
pr,specter,22,2000,41.96710879528552
pr,specter,22,2005,41.172639634799
pr,specter,22,2010,39.14665115782535
pr,specter,22,2015,38.77368657631178
pr,specter,22,2020,36.080594170654315
pr,specter,23,2000,28.824786125560504
pr,specter,23,2005,28.686725568123904
pr,specter,23,2010,27.99378067428994
pr,specter,23,2015,27.423868269889486
pr,specter,23,2020,28.65589245872027
pr,specter,24,2000,30.6508109260587
pr,specter,24,2005,32.459297068147215
pr,specter,24,2010,28.74938001800052
pr,specter,24,2015,29.215325955127362
pr,specter,24,2020,30.283926909015857
pr,specter,25,2000,35.29019819979466
pr,specter,25,2005,34.15638949387388
pr,specter,25,2010,31.883518551842165
pr,specter,25,2015,31.236751163882662
pr,specter,25,2020,29.983161944065877
pr,specter,26,2000,29.71197948685749
pr,specter,26,2005,28.338461016012655
pr,specter,26,2010,26.704748555636048
pr,specter,26,2015,26.466332163641994
pr,specter,26,2020,22.850492090382307
pr,specter,27,2000,44.518818622526815
pr,specter,27,2005,42.775827584915085
pr,specter,27,2010,41.16684259746211
pr,specter,27,2015,38.108495383424035
pr,specter,27,2020,37.73758479937634
pr,specter,28,2000,36.79815348948772
pr,specter,28,2005,38.79043225408752
pr,specter,28,2010,34.705229302780204
pr,specter,28,2015,38.19965334598341
pr,specter,28,2020,37.838351050615834
pr,specter,29,2000,28.07323510631517
pr,specter,29,2005,26.806859019013718
pr,specter,29,2010,25.814539777288655
pr,specter,29,2015,24.37214541038295
pr,specter,29,2020,23.143527853804947
pr,specter,30,2000,35.73208286931248
pr,specter,30,2005,34.57099166525776
pr,specter,30,2010,31.288711844696984
pr,specter,30,2015,28.06111150053092
pr,specter,30,2020,27.228970685743356
pr,specter,31,2000,30.59647109276113
pr,specter,31,2005,31.52618919215853
pr,specter,31,2010,30.339441538180502
pr,specter,31,2015,29.185945788549326
pr,specter,31,2020,29.012224899633303
pr,specter,32,2000,35.9308094615171
pr,specter,32,2005,35.11149821978743
pr,specter,32,2010,33.88275890646123
pr,specter,32,2015,33.42750561621564
pr,specter,32,2020,32.08498861804179
pr,specter,33,2000,27.950224042012337
pr,specter,33,2005,27.25540698609395
pr,specter,33,2010,27.939100072956666
pr,specter,33,2015,26.31354376294442
pr,specter,33,2020,26.495085183825704
pr,specter,34,2000,29.845911299585968
pr,specter,34,2005,28.731784362041914
pr,specter,34,2010,27.389617002643547
pr,specter,34,2015,25.002943765627624
pr,specter,34,2020,27.143074909093013
pr,specter,35,2000,25.131485576365108
pr,specter,35,2005,23.90220845599581
pr,specter,35,2010,23.732082805086222
pr,specter,35,2015,23.462326009821354
pr,specter,35,2020,22.282004463380968
pr,specter,36,2000,37.56244392297157
pr,specter,36,2005,37.371534164569354
pr,specter,36,2010,35.596108493488856
pr,specter,36,2015,33.54545769692116
pr,specter,36,2020,32.71702501659817
pr,specter2,11,2000,58.46751951435809
pr,specter2,11,2005,54.97848075789748
pr,specter2,11,2010,52.85054154041681
pr,specter2,11,2015,49.24590023016691
pr,specter2,11,2020,48.47233799058393
pr,specter2,12,2000,54.04067128885878
pr,specter2,12,2005,52.16283110459609
pr,specter2,12,2010,50.11233888607044
pr,specter2,12,2015,52.76057087092528
pr,specter2,12,2020,48.271251339607346
pr,specter2,13,2000,65.14064894648988
pr,specter2,13,2005,62.64773429655675
pr,specter2,13,2010,60.73602112709953
pr,specter2,13,2015,59.44646168634492
pr,specter2,13,2020,53.800432458464854
pr,specter2,14,2000,50.99715438837991
pr,specter2,14,2005,50.732080608130936
pr,specter2,14,2010,48.34464071778271
pr,specter2,14,2015,48.202635571133584
pr,specter2,14,2020,47.07990818974588
pr,specter2,15,2000,41.729661816662365
pr,specter2,15,2005,43.21177413973297
pr,specter2,15,2010,38.1730994110156
pr,specter2,15,2015,34.861008134706914
pr,specter2,15,2020,36.69589311915067
pr,specter2,16,2000,54.94116717593742
pr,specter2,16,2005,50.71327736641734
pr,specter2,16,2010,48.27660615747656
pr,specter2,16,2015,43.48630037054185
pr,specter2,16,2020,43.094150380732536
pr,specter2,17,2000,46.91636246359081
pr,specter2,17,2005,43.30662350946389
pr,specter2,17,2010,43.61414114439114
pr,specter2,17,2015,40.69091988600932
