field_id,field_name,metric,panel,model,rank_1_is_smallest,selection
35,Dentistry,angle_p50,title,scibert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,bert,5.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,biobert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,simcse,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,specter,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,scibert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,bert,8.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,title,simcse,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,specter,5.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,scibert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,bert,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,pubmedbert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,biobert,7.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,title,simcse,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,specter,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,scibert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,title,bert,6.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
