model,field_id,small_n,large_n,small_gap25,large_gap25,large_gap50,relative_change_fixed_k,relative_change_approximately_fixed_fraction,small_neighbor_fraction,large_neighbor_fraction
specter2,12,2000,4000,0.12032802225033455,0.09064844194787029,0.11880989795383345,-0.24665559815084337,-0.01261654823298549,0.01250625312656328,0.012503125781445362
specter2,13,500,1000,0.22437229078423557,0.1707092095738358,0.23922583704343284,-0.23916982361250702,0.06620044840332344,0.050100200400801605,0.05005005005005005
specter2,13,1000,2000,0.1707092095738358,0.1273738475706917,0.17664137683146858,-0.25385485710658473,0.03475013019181581,0.025025025025025027,0.02501250625312656
specter2,13,2000,4000,0.1273738475706917,0.10427099541039801,0.13895919011287136,-0.18137830175438288,0.0909554258047349,0.01250625312656328,0.012503125781445362
specter2,14,500,1000,0.21705069226810703,0.1895681957892866,0.25581938966844686,-0.12661787065333696,0.17861586616112546,0.050100200400801605,0.05005005005005005
specter2,14,1000,2000,0.1895681957892866,0.15023876394185548,0.19647036253642608,-0.20746851381730466,0.03640994059368238,0.025025025025025027,0.02501250625312656
specter2,14,2000,4000,0.15023876394185548,0.1063436850107678,0.15263093025361008,-0.29216879704944654,0.015922430729531277,0.01250625312656328,0.012503125781445362
specter2,15,500,1000,0.16297772700877078,0.05252745626004013,0.15736229887775058,-0.6777016269394079,-0.034455187430108176,0.050100200400801605,0.05005005005005005
specter2,15,1000,2000,0.05252745626004013,0.03966752926702905,0.05474523050456223,-0.24482295372057014,0.04222123823287552,0.025025025025025027,0.02501250625312656
specter2,15,2000,4000,0.03966752926702905,0.031546011014674954,0.04238344317869265,-0.2047397053061371,0.06846692904367549,0.01250625312656328,0.012503125781445362
specter2,16,500,1000,0.17513031535567078,0.12392326635198679,0.17406242850410603,-0.2923939747364013,-0.0060976698945353364,0.050100200400801605,0.05005005005005005
specter2,16,1000,2000,0.12392326635198679,0.09994532025282712,0.13419676671474282,-0.1934902686558765,0.08290211083990941,0.025025025025025027,0.02501250625312656
specter2,16,2000,4000,0.09994532025282712,0.08394086372849141,0.11077583141340834,-0.1601321250844959,0.10836436496660139,0.01250625312656328,0.012503125781445362
specter2,17,500,1000,0.184314745026894,0.13016528577997807,0.17981458841183864,-0.29378799422159513,-0.024415608281359757,0.050100200400801605,0.05005005005005005
specter2,17,1000,2000,0.13016528577997807,0.10157477992883644,0.1354437459801351,-0.21964770161123406,0.04055198103340194,0.025025025025025027,0.02501250625312656
specter2,17,2000,4000,0.10157477992883644,0.0791610335876868,0.10326408162908426,-0.22066251442388335,0.016631113564128334,0.01250625312656328,0.012503125781445362
specter2,18,500,1000,0.17658956688736877,0.12542104720452993,0.18835409217352805,-0.28975958537502283,0.06662072677069797,0.050100200400801605,0.05005005005005005
specter2,18,1000,2000,0.12542104720452993,0.09525888299572866,0.1384038228690435,-0.24048726175611043,0.10351353264769006,0.025025025025025027,0.02501250625312656
specter2,18,2000,4000,0.09525888299572866,0.07039037321815467,0.09856240755261388,-0.26106237020109796,0.03467943831582981,0.01250625312656328,0.012503125781445362
specter2,19,500,1000,0.1839233675470467,0.13378629481570697,0.18841987199951188,-0.2725976225860202,0.024447706196522336,0.050100200400801605,0.05005005005005005
specter2,19,1000,2000,0.13378629481570697,0.0972623965095579,0.13218796102185937,-0.2730017925712152,-0.011946917253739179,0.025025025025025027,0.02501250625312656
specter2,19,2000,4000,0.0972623965095579,0.07763143639311787,0.1016889529525392,-0.20183504438440306,0.04551148852831637,0.01250625312656328,0.012503125781445362
specter2,20,500,1000,0.2058331341531688,0.1575078486733721,0.2090313373178094,-0.23477894207176533,0.015537844175567361,0.050100200400801605,0.05005005005005005
specter2,20,1000,2000,0.1575078486733721,0.11917242183208239,0.1594358712301885,-0.24338740681289361,0.01224080306508781,0.025025025025025027,0.02501250625312656
specter2,20,2000,4000,0.11917242183208239,0.09634124354076934,0.1259983314393387,-0.19158105491455804,0.05727759411379776,0.01250625312656328,0.012503125781445362
specter2,21,500,1000,0.13333167559228826,0.03189239765713252,0.1384318445940566,-0.760804043634346,0.038251743099396995,0.050100200400801605,0.05005005005005005
specter2,21,1000,2000,0.03189239765713252,0.06435493462153989,0.031264305570672675,1.0178769659592322,-0.0196941005568885,0.025025025025025027,0.02501250625312656
specter2,21,2000,4000,0.06435493462153989,0.016690026666114525,0.021936926527716172,-0.7406566137582822,-0.6591259604764825,0.01250625312656328,0.012503125781445362
specter2,22,500,1000,0.21080227362010562,0.15476897959738536,0.21006138997600685,-0.2658097233035535,-0.0035145903854620904,0.050100200400801605,0.05005005005005005
specter2,22,1000,2000,0.15476897959738536,0.11261527309778167,0.1568738790217758,-0.27236534484663505,0.013600266861396253,0.025025025025025027,0.02501250625312656
specter2,22,2000,4000,0.11261527309778167,0.09004851578323522,0.11959359564754725,-0.20038807076329843,0.06196604028750552,0.01250625312656328,0.012503125781445362
specter2,23,500,1000,0.18808366689304998,0.14191810479708994,0.192541468983178,-0.24545226525284178,0.02370116535777063,0.050100200400801605,0.05005005005005005
specter2,23,1000,2000,0.14191810479708994,0.11579775075543468,0.17305111835116338,-0.18405230311524612,0.2193730926620423,0.025025025025025027,0.02501250625312656
specter2,23,2000,4000,0.11579775075543468,0.09044267599267407,0.11626634029549375,-0.21895999358666846,0.004046620396355844,0.01250625312656328,0.012503125781445362
specter2,24,500,1000,0.1751647392887655,0.11751506283775713,0.16679245328707032,-0.329116902665957,-0.04779664009828575,0.050100200400801605,0.05005005005005005
specter2,24,1000,2000,0.11751506283775713,0.09073617601346377,0.1231361346957455,-0.22787620733577488,0.04783277753719873,0.025025025025025027,0.02501250625312656
specter2,24,2000,4000,0.09073617601346377,0.06794515553897468,0.09166334549650612,-0.2511789836846031,0.010218300172852456,0.01250625312656328,0.012503125781445362
specter2,25,500,1000,0.24913282771845877,0.1862652009208722,0.24872265320547032,-0.2523458163796556,-0.001646408932715903,0.050100200400801605,0.05005005005005005
specter2,25,1000,2000,0.1862652009208722,0.13995519922811628,0.18614208645333283,-0.24862401277213877,-0.0006609633304058572,0.025025025025025027,0.02501250625312656
specter2,25,2000,4000,0.13995519922811628,0.11491947463408834,0.14873115462339728,-0.17888384806070418,0.06270546177407006,0.01250625312656328,0.012503125781445362
