metric,model,field_id,n,value,reference,relative_to_2000
angle_p50,specter2,13,2000,35.076051102938315,35.076051102938315,1.0
angle_p50,specter2,13,4000,35.1541254487369,35.076051102938315,1.0022258590503663
angle_p50,specter2,14,500,33.648594606630105,33.51465831775246,1.003996349525864
angle_p50,specter2,14,1000,33.5679699346949,33.51465831775246,1.0015906955230451
angle_p50,specter2,14,2000,33.51465831775246,33.51465831775246,1.0
angle_p50,specter2,14,4000,33.482714769832945,33.51465831775246,0.9990468783057055
angle_p50,specter2,15,500,34.916089319095406,34.755411476472645,1.0046231028722399
angle_p50,specter2,15,1000,34.72140322920661,34.755411476472645,0.9990214977805957
angle_p50,specter2,15,2000,34.755411476472645,34.755411476472645,1.0
angle_p50,specter2,15,4000,34.801817542282436,34.755411476472645,1.001335218426092
angle_p50,specter2,16,500,35.054314858996904,34.703717120002665,1.010102599032314
angle_p50,specter2,16,1000,34.87835805679694,34.703717120002665,1.0050323409504054
angle_p50,specter2,16,2000,34.703717120002665,34.703717120002665,1.0
angle_p50,specter2,16,4000,34.69292524429262,34.703717120002665,0.9996890282481058
angle_p50,specter2,17,500,36.72221571440557,36.860986826011796,0.9962352849569318
angle_p50,specter2,17,1000,36.88810403346991,36.860986826011796,1.000735661461971
angle_p50,specter2,17,2000,36.860986826011796,36.860986826011796,1.0
angle_p50,specter2,17,4000,36.83911520869433,36.860986826011796,0.999406645909381
angle_p50,specter2,18,500,34.808698205154364,34.62049746274179,1.005436107398951
angle_p50,specter2,18,1000,34.699738367561174,34.62049746274179,1.002288843622327
angle_p50,specter2,18,2000,34.62049746274179,34.62049746274179,1.0
angle_p50,specter2,18,4000,34.71668499842,34.62049746274179,1.002778340657344
angle_p50,specter2,19,500,35.49705188103536,35.535676368443816,0.9989130785915544
angle_p50,specter2,19,1000,35.40875367902862,35.535676368443816,0.9964283024164441
angle_p50,specter2,19,2000,35.535676368443816,35.535676368443816,1.0
angle_p50,specter2,19,4000,35.5403727223141,35.535676368443816,1.0001321588428933
angle_p50,specter2,20,500,33.72447244933967,33.84619270633864,0.996403723808611
angle_p50,specter2,20,1000,33.79959558143837,33.84619270633864,0.9986232683449933
angle_p50,specter2,20,2000,33.84619270633864,33.84619270633864,1.0
angle_p50,specter2,20,4000,33.893393540619016,33.84619270633864,1.001394568502576
angle_p50,specter2,21,500,35.56846257642792,35.404749128464665,1.0046240533259883
angle_p50,specter2,21,1000,35.5179063117361,35.404749128464665,1.003196101824104
angle_p50,specter2,21,2000,35.404749128464665,35.404749128464665,1.0
angle_p50,specter2,21,4000,35.39405337594635,35.404749128464665,0.9996979006268479
angle_p50,specter2,22,500,36.72913697374514,36.741060363087364,0.9996754750890586
angle_p50,specter2,22,1000,36.71270800066663,36.741060363087364,0.9992283194295281
angle_p50,specter2,22,2000,36.741060363087364,36.741060363087364,1.0
angle_p50,specter2,22,4000,36.73714577421822,36.741060363087364,0.9998934546572565
angle_p50,specter2,23,500,35.66015646414568,35.55785010702296,1.0028771806173544
angle_p50,specter2,23,1000,35.673746732431574,35.55785010702296,1.0032593822477958
angle_p50,specter2,23,2000,35.55785010702296,35.55785010702296,1.0
angle_p50,specter2,23,4000,35.64999947487856,35.55785010702296,1.0025915337282274
angle_p50,specter2,24,500,33.67416363532835,33.872669396746545,0.9941396481306766
angle_p50,specter2,24,1000,33.82322500545259,33.872669396746545,0.9985402865444463
angle_p50,specter2,24,2000,33.872669396746545,33.872669396746545,1.0
angle_p50,specter2,24,4000,33.83984392830922,33.872669396746545,0.9990309158084696
angle_p50,specter2,25,500,34.82726981026422,35.14058115014333,0.9910840592379379
angle_p50,specter2,25,1000,35.03663512453272,35.14058115014333,0.9970419946907968
angle_p50,specter2,25,2000,35.14058115014333,35.14058115014333,1.0
angle_p50,specter2,25,4000,35.14891240430507,35.14058115014333,1.000237083562339
angle_p50,specter2,26,500,34.70385357715379,34.84269691454997,0.9960151380435135
angle_p50,specter2,26,1000,34.8139431688866,34.84269691454997,0.9991747554520856
angle_p50,specter2,26,2000,34.84269691454997,34.84269691454997,1.0
angle_p50,specter2,26,4000,34.85926468536917,34.84269691454997,1.0004755019641514
angle_p50,specter2,27,500,35.89361381965464,35.695738968022916,1.0055433745694125
angle_p50,specter2,27,1000,35.73185962973506,35.695738968022916,1.0010119040186982
angle_p50,specter2,27,2000,35.695738968022916,35.695738968022916,1.0
angle_p50,specter2,27,4000,35.72028016975699,35.695738968022916,1.0006875106789652
angle_p50,specter2,28,500,35.60177164469952,35.553650937928765,1.0013534673796163
angle_p50,specter2,28,1000,35.551065530302175,35.553650937928765,0.9999272815151641
angle_p50,specter2,28,2000,35.553650937928765,35.553650937928765,1.0
angle_p50,specter2,28,4000,35.60979158163372,35.553650937928765,1.0015790401892333
angle_p50,specter2,29,500,34.765309070780525,34.81223141460958,0.9986521305322198
angle_p50,specter2,29,1000,34.77716828718071,34.81223141460958,0.9989927928775587
angle_p50,specter2,29,2000,34.81223141460958,34.81223141460958,1.0
angle_p50,specter2,29,4000,34.771633980582614,34.81223141460958,0.9988338169552117
angle_p50,specter2,30,500,33.67269777177749,33.8589293537437,0.9944997793633539
angle_p50,specter2,30,1000,33.82876342878107,33.8589293537437,0.9991090703238882
angle_p50,specter2,30,2000,33.8589293537437,33.8589293537437,1.0
angle_p50,specter2,30,4000,33.84413002573591,33.8589293537437,0.9995629121094417
angle_p50,specter2,31,500,36.975409144345456,36.9207390554963,1.0014807419961713
angle_p50,specter2,31,1000,36.88045648288863,36.9207390554963,0.9989089445759166
angle_p50,specter2,31,2000,36.9207390554963,36.9207390554963,1.0
angle_p50,specter2,31,4000,36.906379957011595,36.9207390554963,0.9996110831242268
angle_p50,specter2,32,500,35.07790534578425,35.057914578833035,1.0005702212236915
angle_p50,specter2,32,1000,35.13197192609968,35.057914578833035,1.0021124287669798
angle_p50,specter2,32,2000,35.057914578833035,35.057914578833035,1.0
angle_p50,specter2,32,4000,35.06300931249228,35.057914578833035,1.0001453233519577
angle_p50,specter2,33,500,34.27480652665726,34.23525298026452,1.0011553455268913
angle_p50,specter2,33,1000,34.17647161136534,34.23525298026452,0.9982830163710763
angle_p50,specter2,33,2000,34.23525298026452,34.23525298026452,1.0
angle_p50,specter2,33,4000,34.27646818878608,34.23525298026452,1.0012038821078764
angle_p50,specter2,34,500,33.70838007955682,33.6902972843299,1.0005367359947674
angle_p50,specter2,34,1000,33.696678563793085,33.6902972843299,1.000189410007556
angle_p50,specter2,34,2000,33.6902972843299,33.6902972843299,1.0
angle_p50,specter2,34,4000,33.711767103312525,33.6902972843299,1.0006372700959398
