metric,kind,model,repeat,field_rank_spearman
pr,half,pubmedbert,0,0.9712820512820511
pr,half,pubmedbert,1,0.9719658119658119
pr,half,pubmedbert,2,0.9835897435897435
pr,half,pubmedbert,3,0.984957264957265
pr,half,pubmedbert,4,0.9876923076923075
pr,half,pubmedbert,5,0.9541880341880341
pr,half,pubmedbert,6,0.9692307692307691
pr,half,pubmedbert,7,0.9747008547008547
pr,half,pubmedbert,8,0.9733333333333332
pr,half,pubmedbert,9,0.9774358974358973
pr,half,pubmedbert,10,0.9904273504273503
pr,half,pubmedbert,11,0.9938461538461537
pr,half,pubmedbert,12,0.9863247863247863
pr,half,pubmedbert,13,0.9719658119658119
pr,half,pubmedbert,14,0.984957264957265
pr,half,pubmedbert,15,0.9917948717948717
pr,half,pubmedbert,16,0.9685470085470086
pr,half,pubmedbert,17,0.9794871794871794
pr,half,pubmedbert,18,0.9767521367521367
pr,half,pubmedbert,19,0.9958974358974357
pr,external,pubmedbert,0,0.9733333333333332
pr,external,pubmedbert,1,0.9712820512820511
pr,external,pubmedbert,2,0.9726495726495725
pr,external,pubmedbert,3,0.9788034188034187
pr,external,pubmedbert,4,0.9794871794871794
pr,half,biobert,0,0.9829059829059829
pr,half,biobert,1,0.9747008547008547
pr,half,biobert,2,0.9664957264957265
pr,half,biobert,3,0.9589743589743589
pr,half,biobert,4,0.9788034188034187
pr,half,biobert,5,0.9466666666666665
pr,half,biobert,6,0.989059829059829
pr,half,biobert,7,0.9658119658119657
pr,half,biobert,8,0.9719658119658119
pr,half,biobert,9,0.9883760683760683
pr,half,biobert,10,0.9788034188034187
pr,half,biobert,11,0.987008547008547
pr,half,biobert,12,0.976068376068376
pr,half,biobert,13,0.987008547008547
pr,half,biobert,14,0.9863247863247863
pr,half,biobert,15,0.9808547008547008
pr,half,biobert,16,0.967179487179487
pr,half,biobert,17,0.9808547008547008
pr,half,biobert,18,0.9726495726495725
pr,half,biobert,19,0.9863247863247863
pr,external,biobert,0,0.9856410256410256
pr,external,biobert,1,0.9747008547008547
pr,external,biobert,2,0.9815384615384615
pr,external,biobert,3,0.9719658119658119
pr,external,biobert,4,0.9808547008547008
pr,half,simcse,0,0.9897435897435896
pr,half,simcse,1,0.9917948717948717
pr,half,simcse,2,0.984957264957265
pr,half,simcse,3,0.9863247863247863
pr,half,simcse,4,0.9938461538461537
pr,half,simcse,5,0.9938461538461537
pr,half,simcse,6,0.9938461538461537
pr,half,simcse,7,0.9938461538461537
pr,half,simcse,8,0.9979487179487179
pr,half,simcse,9,0.9965811965811966
pr,half,simcse,10,0.9897435897435896
pr,half,simcse,11,0.9897435897435896
pr,half,simcse,12,0.9931623931623932
pr,half,simcse,13,0.9958974358974357
pr,half,simcse,14,0.9938461538461537
pr,half,simcse,15,0.9931623931623932
pr,half,simcse,16,0.9945299145299145
pr,half,simcse,17,0.9958974358974357
pr,half,simcse,18,0.9897435897435896
pr,half,simcse,19,0.9993162393162391
pr,external,simcse,0,0.9911111111111112
pr,external,simcse,1,0.9904273504273503
pr,external,simcse,2,0.9876923076923075
pr,external,simcse,3,0.9945299145299145
pr,external,simcse,4,0.9883760683760683
gap_25,half,specter,0,0.9514529914529914
gap_25,half,specter,1,0.9596581196581195
gap_25,half,specter,2,0.9309401709401708
gap_25,half,specter,3,0.9521367521367521
gap_25,half,specter,4,0.9124786324786324
gap_25,half,specter,5,0.9446153846153844
gap_25,half,specter,6,0.9206837606837606
gap_25,half,specter,7,0.9644444444444444
gap_25,half,specter,8,0.9596581196581195
gap_25,half,specter,9,0.9254700854700854
gap_25,half,specter,10,0.9439316239316239
gap_25,half,specter,11,0.9364102564102564
gap_25,half,specter,12,0.9562393162393161
gap_25,half,specter,13,0.9439316239316239
gap_25,half,specter,14,0.9603418803418803
gap_25,half,specter,15,0.9555555555555554
gap_25,half,specter,16,0.9685470085470086
gap_25,half,specter,17,0.9466666666666665
gap_25,half,specter,18,0.9767521367521367
gap_25,half,specter,19,0.9309401709401708
gap_25,external,specter,0,0.9439316239316239
gap_25,external,specter,1,0.9603418803418803
gap_25,external,specter,2,0.9794871794871794
