recipe,k,field_id,model,n,mean,median,p025,p975,min,max,positive_fraction,negative_fraction
mean,10,13,minilm,50,-0.0891848888888889,-0.08872222222222231,-0.1025380555555556,-0.07797888888888892,-0.11217777777777782,-0.07472222222222225,0.0,1.0
mean,10,13,pubmedbert,50,0.10131933333333334,0.10231111111111119,0.09466555555555559,0.10797138888888891,0.0868888888888889,0.10811111111111127,1.0,0.0
mean,10,13,biobert,50,0.1293671111111111,0.1300055555555556,0.12104861111111104,0.1341011111111111,0.11650000000000005,0.13725555555555569,1.0,0.0
mean,10,13,simcse,50,0.07355266666666668,0.07328333333333331,0.06620972222222228,0.08122916666666671,0.06414444444444445,0.08447777777777776,1.0,0.0
mean,25,13,specter,50,-0.12674337777777778,-0.1267399999999999,-0.13659611111111108,-0.11788822222222228,-0.13692444444444452,-0.11650666666666654,0.0,1.0
mean,25,13,specter2,50,-0.15322391111111108,-0.15345555555555557,-0.1609033333333333,-0.14409177777777787,-0.1625511111111111,-0.14212000000000002,0.0,1.0
mean,25,13,scincl,50,-0.1617344888888889,-0.1616177777777778,-0.1703193333333334,-0.1501376666666667,-0.17232000000000003,-0.14874222222222233,0.0,1.0
mean,25,13,scibert,50,0.1473928,0.14729111111111104,0.14019522222222214,0.1542365555555557,0.13668888888888886,0.15520444444444448,1.0,0.0
mean,25,13,bert,50,0.09243937777777778,0.09255999999999992,0.0826911111111112,0.10253355555555554,0.08065777777777772,0.10298666666666667,1.0,0.0
mean,25,13,mpnet,50,-0.14123031111111112,-0.14124444444444445,-0.15012000000000006,-0.12895400000000004,-0.15078666666666662,-0.12440000000000007,0.0,1.0
mean,25,13,minilm,50,-0.09158275555555555,-0.0917222222222222,-0.10112200000000003,-0.08372433333333335,-0.10378222222222222,-0.07747555555555552,0.0,1.0
mean,25,13,pubmedbert,50,0.09869137777777783,0.0988755555555556,0.09194044444444445,0.1049421111111111,0.09142222222222218,0.10516888888888887,1.0,0.0
mean,25,13,biobert,50,0.13355911111111113,0.13427333333333324,0.12557755555555555,0.1410155555555555,0.12489777777777777,0.1416400000000001,1.0,0.0
mean,25,13,simcse,50,0.06712195555555554,0.06672666666666666,0.061157999999999865,0.07514822222222219,0.06087555555555546,0.07539555555555566,1.0,0.0
mean,50,13,specter,50,-0.1387876444444444,-0.13868888888888886,-0.1480378888888888,-0.13077505555555557,-0.15144666666666662,-0.1286466666666668,0.0,1.0
mean,50,13,specter2,50,-0.1634204888888889,-0.1631422222222223,-0.1706780555555556,-0.15463466666666661,-0.1748155555555556,-0.1524822222222223,0.0,1.0
mean,50,13,scincl,50,-0.1687650666666666,-0.1692088888888888,-0.1759423333333334,-0.16075944444444443,-0.1768222222222221,-0.15968000000000004,0.0,1.0
mean,50,13,scibert,50,0.13959137777777778,0.14028222222222225,0.13171672222222222,0.14625505555555557,0.13090000000000002,0.14655333333333342,1.0,0.0
mean,50,13,bert,50,0.06851577777777777,0.06821777777777771,0.05964338888888885,0.07797955555555558,0.05883555555555564,0.08155777777777784,1.0,0.0
mean,50,13,mpnet,50,-0.14514595555555554,-0.1454711111111111,-0.15299072222222218,-0.13547916666666665,-0.15425333333333324,-0.1333444444444445,0.0,1.0
mean,50,13,minilm,50,-0.09400466666666667,-0.09397999999999995,-0.10204777777777778,-0.08585250000000004,-0.10384666666666675,-0.08479999999999999,0.0,1.0
mean,50,13,pubmedbert,50,0.09458564444444445,0.09495777777777781,0.08816238888888878,0.10070699999999999,0.0843977777777778,0.10152666666666665,1.0,0.0
mean,50,13,biobert,50,0.13530653333333334,0.13499888888888883,0.12950572222222226,0.14299805555555553,0.1287355555555556,0.14494000000000007,1.0,0.0
mean,50,13,simcse,50,0.05423035555555558,0.05421888888888887,0.04746877777777782,0.06107150000000006,0.04427333333333339,0.06290222222222219,1.0,0.0
cls,25,13,specter,50,-0.1777617777777778,-0.17726888888888886,-0.18754022222222225,-0.169851,-0.18818222222222214,-0.1689599999999999,0.0,1.0
cls,25,13,specter2,50,-0.19601111111111114,-0.19679777777777768,-0.20364122222222217,-0.18848844444444435,-0.20433777777777773,-0.18669333333333338,0.0,1.0
cls,25,13,scincl,50,-0.20835422222222225,-0.2085311111111111,-0.21686766666666676,-0.19827166666666673,-0.21774222222222217,-0.1956888888888889,0.0,1.0
cls,25,13,scibert,50,0.0599184,0.059733333333333305,0.0540053333333333,0.06541566666666672,0.05091555555555549,0.06615555555555552,1.0,0.0
cls,25,13,bert,50,0.08023502222222223,0.07995555555555561,0.07429800000000004,0.08581366666666673,0.07227555555555565,0.08597333333333324,1.0,0.0
cls,25,13,mpnet,50,-0.18979875555555548,-0.19014000000000003,-0.19911544444444443,-0.17816044444444445,-0.20067111111111124,-0.1735822222222222,0.0,1.0
cls,25,13,minilm,50,-0.14080746666666666,-0.14117999999999992,-0.15033833333333332,-0.13282411111111112,-0.15069333333333323,-0.12711555555555554,0.0,1.0
cls,25,13,pubmedbert,50,0.07176320000000001,0.07166444444444448,0.06590611111111105,0.07827700000000004,0.06301777777777784,0.07887111111111111,1.0,0.0
