design,grouping,model_a,model_b,n,mean,median,p025,p975,min,max
size128_subfield183,observed,scibert,biobert,50,0.9676885362419486,0.967738200465681,0.9659209273636059,0.9694580185206771,0.9656228612361953,0.9695618537104335
size128_subfield183,observed,scibert,simcse,50,0.967026086924581,0.9669490440777893,0.9653282109044531,0.9687179555648814,0.9651458804947345,0.9689231513634226
size128_subfield183,observed,bert,mpnet,50,0.8678747473187347,0.867687831912546,0.8655053046587131,0.870261711581084,0.8645231502944,0.8707630527795528
size128_subfield183,observed,bert,minilm,50,0.8575973538298419,0.8575469760236767,0.8550276001540255,0.8597855730093048,0.8544809183317023,0.8613091537452031
size128_subfield183,observed,bert,pubmedbert,50,0.9492453084470407,0.9493315038077313,0.9474348812918337,0.9508890950654538,0.9465012946347439,0.9517974277835294
size128_subfield183,observed,bert,biobert,50,0.9538249984745019,0.9539027546809853,0.9520683066709833,0.9553518048794685,0.9514635126821409,0.9555903701601416
size128_subfield183,observed,bert,simcse,50,0.9610035937415516,0.9611234463128369,0.9597485612274751,0.9623842974662307,0.9594676455961564,0.9629541608665102
size128_subfield183,observed,mpnet,minilm,50,0.9791303062699721,0.9790968097351196,0.9785162849994153,0.9796939413586526,0.9783912766090385,0.9799253370741686
size128_subfield183,observed,mpnet,pubmedbert,50,0.8294782973124133,0.8294727285640824,0.8237892749805962,0.8330293046552704,0.823297691020307,0.8335289968839135
size128_subfield183,observed,mpnet,biobert,50,0.8503578020455683,0.8502323167962811,0.8460157902824211,0.8532615582024557,0.8456202752430291,0.8535333241541454
size128_subfield183,observed,mpnet,simcse,50,0.8936155081844597,0.8935891159173138,0.8906555890415456,0.896199295290285,0.8903385794764112,0.8962465682347278
size128_subfield183,observed,minilm,pubmedbert,50,0.8293028063526781,0.829286030607338,0.8257883563609664,0.8321260529155364,0.8252074668904702,0.8329196509524612
size128_subfield183,observed,minilm,biobert,50,0.8510500949640719,0.8511927400762824,0.848479374343448,0.853419230071833,0.8481455577040931,0.8534962356490562
