recipe,k,field_id,n,mean,median,p025,p975,min,max,positive_fraction
mean,25,14,50,0.02009176888888889,0.02036488888888882,0.014030988888888984,0.025763822222222274,0.013704444444444297,0.025973333333333293,1.0
mean,50,14,50,0.016399475555555557,0.016397999999999913,0.011230161111111109,0.02185837222222218,0.00920311111111105,0.022625555555555565,1.0
cls,25,14,50,-0.020396551111111102,-0.020139111111111052,-0.025473077777777665,-0.015042111111111018,-0.025588888888888883,-0.014608444444444535,0.0
sep,25,14,50,-0.016290453333333305,-0.016125999999999918,-0.02201940000000003,-0.011313922222222345,-0.022751555555555414,-0.01011866666666661,0.0
mean,10,15,50,0.0286178666666667,0.028233333333333388,0.02400727777777782,0.03533308333333336,0.022808888888888768,0.03567111111111143,1.0
mean,25,15,50,0.026338506666666664,0.025681555555555513,0.021052388888888964,0.03334181111111116,0.020440444444444483,0.03388133333333332,1.0
mean,50,15,50,0.02027943999999997,0.020211222222222103,0.014367561111111002,0.025339994444444326,0.01416066666666671,0.025447999999999804,1.0
cls,25,15,50,-0.025056560000000002,-0.0253931111111112,-0.0305924999999999,-0.020258966666666683,-0.03175866666666671,-0.019757333333333293,0.0
sep,25,15,50,-0.008422088888888892,-0.008905555555555611,-0.014175599999999951,-0.003258855555555588,-0.014721333333333364,-0.00141777777777774,0.0
mean,10,16,50,0.0011421111111111016,0.0021599999999999953,-0.007724944444444465,0.007602722222222108,-0.00866111111111123,0.009473333333333445,0.64
mean,25,16,50,-0.00012102222222223568,-7.355555555549342e-05,-0.006769211111111307,0.004907788888888974,-0.007399999999999962,0.0053088888888888075,0.48
mean,50,16,50,-0.005615111111111115,-0.005660333333333323,-0.011903761111111008,-0.001177855555555599,-0.012104666666666652,0.001156888888888874,0.02
cls,25,16,50,-0.03986279999999999,-0.04019355555555565,-0.04526133333333333,-0.034818622222222345,-0.04690755555555559,-0.03406222222222233,0.0
sep,25,16,50,-0.0408961333333333,-0.04139999999999999,-0.046527644444444495,-0.035921155555555695,-0.04783466666666647,-0.034573333333333234,0.0
mean,10,17,50,0.03058651111111112,0.030808333333333326,0.023625555555555552,0.035476638888888794,0.02100555555555561,0.03777000000000019,1.0
mean,25,17,50,0.02645428444444443,0.027056000000000024,0.019909244444444453,0.03142096666666662,0.016132888888888863,0.03226177777777761,1.0
mean,50,17,50,0.021775582222222232,0.022042888888889,0.015037549999999966,0.026228994444444452,0.012917777777777806,0.02685622222222228,1.0
cls,25,17,50,-0.0200992888888889,-0.020196888888888875,-0.025337377777777857,-0.015310911111111056,-0.028776444444444493,-0.014674666666666614,0.0
sep,25,17,50,-0.003717831111111094,-0.003237555555555438,-0.00999281111111101,0.00035187777777782295,-0.012979111111111052,0.0007173333333332366,0.06
mean,10,18,50,0.04505600000000002,0.04484611111111103,0.03854005555555556,0.0511406944444445,0.037528888888888834,0.051861111111111136,1.0
mean,25,18,50,0.0421211377777778,0.042598888888888964,0.0364112888888891,0.04885972222222226,0.035407555555555525,0.049271555555555624,1.0
mean,50,18,50,0.03595051555555556,0.035782888888888864,0.03099169999999995,0.0412902777777778,0.02958688888888894,0.04155355555555573,1.0
cls,25,18,50,-0.005340773333333322,-0.005354444444444328,-0.01029956666666671,-0.0001834333333333137,-0.011004444444444483,0.0015066666666667672,0.02
sep,25,18,50,0.007862782222222224,0.007837333333333363,0.0024414999999999992,0.013500155555555584,0.000776888888888716,0.015927111111111225,1.0
mean,10,19,50,0.05002182222222222,0.05038388888888895,0.04230019444444453,0.056372555555555516,0.039151111111111025,0.05861666666666676,1.0
mean,25,19,50,0.04442014222222221,0.04472622222222228,0.038335622222222254,0.05061891111111116,0.03511288888888908,0.0528519999999999,1.0
mean,50,19,50,0.03681390222222221,0.03674111111111111,0.030323505555555522,0.04333306111111097,0.02919066666666681,0.044538666666666615,1.0
cls,25,19,50,-0.009359448888888892,-0.009308666666666632,-0.01554458888888885,-0.0037979777777778535,-0.017776888888888953,-0.0027151111111112236,0.0
sep,25,19,50,0.005657351111111115,0.005985555555555577,6.591111111103339e-05,0.01167033333333331,-0.004166222222222293,0.012996444444444588,0.96
mean,10,20,50,0.03368504444444445,0.033439444444444466,0.028516416666666714,0.0410200833333334,0.028066666666666795,0.041863333333333475,1.0
mean,25,20,50,0.031544808888888894,0.03127333333333332,0.02524241111111112,0.03909241111111122,0.024621333333333606,0.04164222222222225,1.0
mean,50,20,50,0.0293829111111111,0.028961222222222305,0.02194098888888884,0.03786315555555554,0.021510888888888857,0.03851066666666658,1.0
cls,25,20,50,-0.009219493333333358,-0.009214666666666704,-0.01423595555555562,-0.0024844777777777607,-0.01609644444444458,-0.0016200000000000658,0.0
sep,25,20,50,-0.005259715555555573,-0.005491111111111224,-0.01116068888888883,0.0025306777777777695,-0.013175111111111137,0.00457822222222215,0.04
mean,10,21,50,0.03381464444444446,0.033845555555555684,0.027786111111111043,0.0395634999999999,0.02460333333333342,0.04207666666666654,1.0
mean,25,21,50,0.02820143111111109,0.02828711111111115,0.023289166666666673,0.03278021111111118,0.020792444444444502,0.03284444444444434,1.0
mean,50,21,50,0.021368346666666677,0.021313999999999944,0.01686617777777781,0.025945111111111207,0.015947111111111023,0.026257111111111175,1.0
cls,25,21,50,-0.020233395555555544,-0.020416444444444404,-0.023732188888888978,-0.014712022222222208,-0.02444355555555544,-0.014162222222222187,0.0
sep,25,21,50,-0.007049324444444429,-0.007359333333333384,-0.011567388888888832,-0.0014184888888888942,-0.012757777777777757,0.0011982222222222116,0.02
mean,10,22,50,0.01459555555555556,0.014661666666666684,0.00737441666666658,0.02042386111111112,0.006148888888888759,0.02179444444444434,1.0
mean,25,22,50,0.00563559999999998,0.005627111111111138,0.0004143222222222299,0.010830744444444429,-0.0029644444444444362,0.011415999999999982,0.98
mean,50,22,50,-0.0037818800000000066,-0.0036947777777778246,-0.008821516666666793,0.0012482000000000094,-0.011911333333333385,0.0026566666666667516,0.08
cls,25,22,50,-0.040970524444444455,-0.040815777777777784,-0.044916744444444406,-0.037003911111111086,-0.049117777777777816,-0.033990222222222144,0.0
sep,25,22,50,-0.02501298666666666,-0.02531511111111112,-0.030126311111111016,-0.018874733333333345,-0.03251377777777775,-0.01785066666666646,0.0
