omitted_field,model_a,model_b,n,mean,median,p025,p975,min,max,largest_absolute_change
18,scincl,simcse,51,-0.0018362346903334971,-0.0018445825709288988,-0.0028159510958986333,-0.0006567981871673234,-0.002883869132316974,-6.906632765657506e-05,0.002883869132316974
18,scibert,bert,51,-0.0009531416614763568,-0.0008681290568853806,-0.0013768784725774197,-0.0005451424726850562,-0.0015270430990590445,-0.00047407512221231407,0.0015270430990590445
18,scibert,mpnet,51,-0.001943299959267653,-0.0019595756030091893,-0.0032169425931910245,-0.0007233253611117763,-0.003417471275098949,-0.0004375666527318689,0.003417471275098949
18,scibert,minilm,51,-0.0018464467462283149,-0.0018781959782322444,-0.003090957930281024,-0.0005698335712993607,-0.0034981291474157628,1.3237647664698926e-05,0.0034981291474157628
18,scibert,pubmedbert,51,-0.001227813518600974,-0.0012260980054026316,-0.0017308489299538987,-0.0007680473385409947,-0.0019323076004492679,-0.0007602791181866575,0.0019323076004492679
18,scibert,biobert,51,-0.0009614218221727062,-0.0009986056637626417,-0.0014378010508637462,-0.00037255425494542305,-0.0016203390680159524,-0.0003336792429515789,0.0016203390680159524
18,scibert,simcse,51,-6.48301903596588e-05,-0.00012133447274143006,-0.0007589179667118195,0.0006142792742742653,-0.0009955194460358197,0.0007861093493890525,0.0009955194460358197
18,bert,mpnet,51,-0.003559715961095539,-0.003620747500852284,-0.004852480670318626,-0.002025954842134553,-0.004998826303261761,-0.001230265492615179,0.004998826303261761
18,bert,minilm,51,-0.004081727149506254,-0.004154878136673812,-0.005247695202596797,-0.001984531474738621,-0.0057095354658848185,-0.0015205194813789902,0.0057095354658848185
18,bert,pubmedbert,51,-0.0025988141372224834,-0.0025728118615757634,-0.0031616286482419875,-0.002080723481762775,-0.003267345467723004,-0.0018369074149697795,0.003267345467723004
18,bert,biobert,51,-0.002142306914075983,-0.0021286664144380962,-0.002600872538949306,-0.0018260816823282011,-0.002650504308922219,-0.001794555212835447,0.002650504308922219
18,bert,simcse,51,-0.001209522686586268,-0.0012401793940597372,-0.0016032378024831428,-0.0006622582959497081,-0.00181490327932754,-0.0006009241986503211,0.00181490327932754
18,mpnet,minilm,51,-0.0008411764840457829,-0.0008335291476015971,-0.0011752748148208814,-0.0004974451598948326,-0.0012006351546668403,-0.00035807885691363506,0.0012006351546668403
18,mpnet,pubmedbert,51,-0.002394433473887243,-0.0024688080908547017,-0.004357168300824971,-0.00021089021447895373,-0.004498634274669566,-0.0001564267109327444,0.004498634274669566
18,mpnet,biobert,51,-0.003391561050691424,-0.0033715380199087486,-0.00507073561709509,-0.001221903241100164,-0.005150711828109,-0.0008544468152036355,0.005150711828109
18,mpnet,simcse,51,-0.0028214243920972526,-0.0027651674779451962,-0.004461202707492562,-0.0011374479170512264,-0.004632787437730546,-0.0006476517094500256,0.004632787437730546
