representation,metric,cutoff,field_a,field_b,model,direction,smallest_relative_difference,largest_relative_difference
global_centered,angle_p50,0.0,20,33,specter2,0,-0.0052777600248382454,0.00464973678262905
global_centered,angle_p50,0.0,20,33,scincl,1,0.016365939116702113,0.030056221753751233
global_centered,angle_p50,0.0,20,33,scibert,0,-0.008990207265698819,0.0028359203635502863
global_centered,angle_p50,0.0,20,33,bert,0,-0.011218924121742826,0.008572074101990448
global_centered,angle_p50,0.0,20,33,mpnet,1,0.009542761245626193,0.017315529266941663
global_centered,angle_p50,0.0,20,33,minilm,1,0.008734067041055078,0.01598301605385528
global_centered,angle_p50,0.0,20,33,pubmedbert,-1,-0.01555931548561402,-0.0009732715064767558
global_centered,angle_p50,0.0,20,33,biobert,0,-0.0044206190861836,0.008476859246437667
global_centered,angle_p50,0.0,20,33,simcse,1,0.003522436070848952,0.01850841629063315
global_centered,angle_p50,0.0,20,34,specter,1,0.014462600270367535,0.0310886100365784
global_centered,angle_p50,0.0,20,34,specter2,-1,-0.026726138299026765,-0.01748778764585656
global_centered,angle_p50,0.0,20,34,scincl,0,-0.0059937487544515985,0.008714826745979891
global_centered,angle_p50,0.0,20,34,scibert,0,-0.0033320840161156916,0.0074559839983866045
global_centered,angle_p50,0.0,20,34,bert,-1,-0.020683298724289166,-0.00140295006057441
global_centered,angle_p50,0.0,20,34,mpnet,-1,-0.043173797659587634,-0.03585348564835937
global_centered,angle_p50,0.0,20,34,minilm,-1,-0.04412698565019047,-0.034455101347543975
global_centered,angle_p50,0.0,20,34,pubmedbert,-1,-0.01662370625924243,-0.0006563746484252736
global_centered,angle_p50,0.0,20,34,biobert,-1,-0.01618139718209053,-0.003118517176070432
global_centered,angle_p50,0.0,20,34,simcse,-1,-0.027630576683652923,-0.01189792849212041
global_centered,angle_p50,0.0,20,35,specter,-1,-0.17062916955528695,-0.14068810917393162
global_centered,angle_p50,0.0,20,35,specter2,-1,-0.09646406201408063,-0.08651714770665933
global_centered,angle_p50,0.0,20,35,scincl,-1,-0.19061412222042157,-0.17242750767411344
global_centered,angle_p50,0.0,20,35,scibert,-1,-0.059729946381295244,-0.04195013465216304
global_centered,angle_p50,0.0,20,35,bert,-1,-0.028584687813640458,-0.01051644343804909
global_centered,angle_p50,0.0,20,35,mpnet,-1,-0.14844758549890524,-0.13521018759161454
global_centered,angle_p50,0.0,20,35,minilm,-1,-0.12072328016166851,-0.1079538530760944
global_centered,angle_p50,0.0,20,35,pubmedbert,-1,-0.0658590763976195,-0.0488563079858285
global_centered,angle_p50,0.0,20,35,biobert,-1,-0.07137296662546849,-0.05567052034233452
global_centered,angle_p50,0.0,20,35,simcse,-1,-0.0649016489278866,-0.048325205243690904
global_centered,angle_p50,0.0,20,36,specter,1,0.035262627880874746,0.05446332328430771
global_centered,angle_p50,0.0,20,36,specter2,1,0.02184257158904691,0.03220956916121608
global_centered,angle_p50,0.0,20,36,scincl,1,0.045261326559196825,0.057392784848012544
global_centered,angle_p50,0.0,20,36,scibert,1,0.02206474457000172,0.03656666011441499
global_centered,angle_p50,0.0,20,36,bert,1,0.016617536770754015,0.03489106289369623
global_centered,angle_p50,0.0,20,36,mpnet,0,-0.005380325556710553,0.004984044510449341
global_centered,angle_p50,0.0,20,36,minilm,0,-0.0014666083058602944,0.0076256369802070725
global_centered,angle_p50,0.0,20,36,pubmedbert,1,0.045895611995812144,0.058959818758895624
global_centered,angle_p50,0.0,20,36,biobert,1,0.03906005444895592,0.05119804276948145
global_centered,angle_p50,0.0,20,36,simcse,1,0.022172382368658535,0.03614124361997969
