scope,k,field_id,n,mean,median,p025,p975,min,max
1024,50,28,225,0.0778666666666665,0.10000000000000009,-0.596000000000002,0.7400000000000018,-0.9600000000000053,0.9800000000000031
2048,10,28,135,0.019999999999999952,0.0,-0.8650000000000008,0.9000000000000008,-1.200000000000001,1.3000000000000012
2048,25,28,135,0.18162962962962986,0.23999999999999577,-0.4400000000000015,0.8259999999999942,-0.6799999999999917,1.1199999999999988
2048,50,28,135,0.13540740740740786,0.12000000000000344,-0.37999999999999506,0.632999999999997,-0.5200000000000038,1.0199999999999987
all,10,29,225,0.4351459284466149,0.40796019900497527,0.014468731463670448,1.1949367088607612,-0.040506329113920714,1.3917004048582982
all,25,29,225,0.5395931133750634,0.5278592375366598,0.012476370510399184,1.4360555527084526,-0.0058651026392964045,1.7692307692307674
all,50,29,225,0.6718673951139473,0.6471163245356792,0.04041691381773127,1.878316301952544,0.017013232514173637,2.0748987854251
1024,10,29,225,0.22844444444444448,0.20000000000000018,-1.1799999999999966,1.9000000000000017,-1.7000000000000015,2.400000000000002
1024,25,29,225,0.23857777777777772,0.15999999999999903,-1.040000000000002,1.8799999999999983,-1.36,2.2800000000000016
1024,50,29,225,0.40577777777777796,0.30000000000000027,-0.6399999999999961,1.9919999999999998,-0.8199999999999985,2.42
2048,10,29,45,0.15111111111111114,0.20000000000000018,-0.40000000000000036,0.8899999999999957,-0.6000000000000005,1.0000000000000009
2048,25,29,45,0.06488888888888883,0.07999999999999674,-0.39600000000000024,0.40000000000000036,-0.48000000000000265,0.5600000000000049
2048,50,29,45,-0.007555555555555833,-0.019999999999997797,-0.27800000000000213,0.23999999999999577,-0.31999999999999806,0.24000000000000132
all,10,30,225,0.6258318930453336,0.5657412257726535,0.20897830597869485,1.3354838709677421,0.14631685166498487,1.6129032258064528
all,25,30,225,0.8308396723007225,0.7800097991180754,0.28326550913141957,1.7548387096774207,0.15136226034309086,2.247311827956991
all,50,30,225,1.0079078358554374,0.9191572758451727,0.263370332996975,2.1094623655913973,0.11301715438950533,2.618279569892473
1024,10,30,225,0.3471111111111112,0.30000000000000027,-1.240000000000001,1.9999999999999991,-1.7000000000000015,2.6000000000000023
1024,25,30,225,0.30097777777777757,0.31999999999999806,-0.8560000000000023,1.4719999999999982,-1.8000000000000016,2.0399999999999974
1024,50,30,225,0.19866666666666646,0.17999999999999683,-0.7480000000000064,1.2359999999999995,-1.0199999999999987,1.9600000000000006
all,10,31,225,0.8206370919586198,0.7512268780671932,0.15130759651307668,1.6653340948029687,0.11195258478761683,1.9931467732724166
all,25,31,225,1.0660011193226397,0.9812314784326648,0.26052303860523374,2.251970302684181,0.17310087173100785,2.565391205025697
all,50,31,225,1.2856044754757654,1.1810394060536855,0.23536737235367647,2.575671045117076,0.15006226650062793,2.8829240434037673
1024,10,31,225,0.20800000000000005,0.20000000000000018,-1.2999999999999985,1.9399999999999968,-2.099999999999996,2.4999999999999964
1024,25,31,225,0.25475555555555557,0.16000000000000458,-0.9359999999999968,1.496000000000002,-1.319999999999999,2.1199999999999997
1024,50,31,225,0.3668444444444446,0.4400000000000015,-0.7279999999999998,1.419999999999999,-0.8799999999999919,1.8799999999999983
2048,10,31,180,0.1361111111111111,0.10000000000000009,-1.200000000000001,2.200000000000002,-2.100000000000002,3.200000000000003
2048,25,31,180,0.18688888888888913,0.22000000000000075,-0.7199999999999984,1.2610000000000001,-1.4000000000000012,1.5999999999999959
2048,50,31,180,0.38955555555555565,0.3799999999999998,-0.740999999999999,1.5105000000000004,-1.1200000000000043,1.9799999999999984
all,10,32,225,0.5671174744608072,0.4675217211419114,0.03165960887254406,1.5374534727343714,-0.03562340966921096,1.7335473515248805
all,25,32,225,0.7153486929148908,0.6073645014480766,0.06083093807159934,1.9586944890315674,0.013587666579562008,2.170810810810808
all,50,32,225,0.8792456465169299,0.730657840297888,0.07802566503986809,2.3970037453183504,0.026130128037626932,2.686486486486486
1024,10,32,225,0.3177777777777778,0.20000000000000018,-0.8000000000000007,2.079999999999999,-1.5000000000000013,3.0000000000000027
1024,25,32,225,0.4152888888888888,0.3200000000000036,-0.6159999999999988,1.8480000000000014,-1.0000000000000009,2.2800000000000016
1024,50,32,225,0.4864888888888892,0.40000000000000036,-0.6120000000000014,2.056000000000001,-1.1999999999999955,2.42
