selection,omitted_field,mean_without,mean_change,largest_pair_change
8,21,0.9385672638163538,0.0004904984643418992,0.005809679298381165
8,22,0.9379787869506752,-9.797840133669084e-05,0.00325040481026595
8,23,0.9422520837019296,0.004175318349917857,0.015299928336157564
8,24,0.9380170669008094,-5.969845120240939e-05,0.004623805866992403
8,25,0.9354495723233308,-0.0026271930286807595,0.0091826409217719
8,26,0.9439536099389261,0.0058768445869142,0.018662264013444285
8,27,0.9371466263248089,-0.0009301390272028402,0.003943590035295652
8,28,0.9412800837903859,0.0032033184383740577,0.011145226459196023
8,29,0.9370287529054879,-0.0010480124465239615,0.004174094934623396
8,30,0.9357772353219797,-0.002299530030032024,0.007878261805839393
8,31,0.9379635037697499,-0.00011326158226200434,0.004141236866449294
8,32,0.9388221899903234,0.0007454246383114673,0.007926540658460657
8,33,0.9324489365754339,-0.005627828776577664,0.014042166131780442
8,34,0.9370446925336433,-0.00103207281836822,0.005558689286820573
8,35,0.9414207011835163,0.0033439358315044522,0.012536730928831341
8,36,0.9377643668536785,-0.0003123984983333969,0.003576740817076929
9,11,0.9440304730681327,0.0020316458330761145,0.006861444459405286
9,12,0.9431282671807197,0.0011294399456631737,0.01253269196976936
9,13,0.9410266651908131,-0.0009721620442435469,0.0071243106332002926
9,14,0.9391257998863561,-0.0028730273487003683,0.006399461301105802
9,15,0.9397528035550626,-0.0022460236799937533,0.006996828304341007
9,16,0.9416514834812346,-0.0003473437538220208,0.007729632777209616
9,17,0.9427891727375769,0.0007903455025204669,0.003586057106563234
9,18,0.9402640568980285,-0.001734770337027827,0.004059052066455959
9,19,0.9452481820951035,0.003249354860047091,0.010505933403614387
9,20,0.9398922423081711,-0.0021065849268851527,0.005607515166065391
9,21,0.9428622563721141,0.0008634291370574045,0.004524987761916344
9,22,0.9419438177151723,-5.500951988422425e-05,0.0028015287096033736
9,23,0.9459781663101683,0.003979339075111913,0.01557944973131653
9,24,0.9404098354541333,-0.0015889917809232238,0.006256416455973968
9,25,0.9399984030106155,-0.0020004242244409504,0.007940434785487893
9,26,0.9479534018741603,0.005954574639103691,0.019306185822101307
9,27,0.9409347668349277,-0.0010640604001289633,0.003994741253530831
9,28,0.9448229999540839,0.0028241727190274424,0.010397075129153666
9,29,0.9406528737987644,-0.0013459534362918666,0.005060258241974869
9,30,0.9399364806033448,-0.002062346631711794,0.0076738385786070396
9,31,0.9420593456957336,6.051846067698621e-05,0.0037440394285964684
9,32,0.9421946340365087,0.00019580680145177986,0.004428004041928113
9,33,0.9370349826434453,-0.004963844591611349,0.01061473346329389
9,34,0.9410058492344534,-0.0009929780006030756,0.003609839648061053
9,35,0.9468222941888952,0.004823466953838504,0.019344207753572484
9,36,0.9415974642294728,-0.0004013630055839792,0.0031475567403874694
10,11,0.9414841028445432,0.002480559907934563,0.009975202992521082
10,12,0.9411760759943669,0.0021725330577581354,0.013331804472163422
10,13,0.9373187108921708,-0.001684832044437871,0.008424167079547962
10,14,0.9357940960774922,-0.0032094468591164086,0.006070297887325937
10,15,0.936491925084776,-0.0025116178518328454,0.008232688681781841
10,16,0.9375858850274107,-0.0014176579091980607,0.0088159264224843
10,17,0.9397056862080382,0.0007021432714292983,0.0039463362858647155
10,18,0.9371237748310597,-0.0018797681055491018,0.00464587640145131
10,19,0.9421985257336465,0.0031949827970375205,0.011533618128295453
10,20,0.9371069084349515,-0.0018966345016573694,0.005539877157862194
10,21,0.9391628157357511,0.00015927279914228857,0.004029317386911591
