scope,k,model_a,model_b,n,mean,median,p025,p975,min,max
all,50,bert,minilm,130,1.0912494779412831,0.8104732618392729,0.228656093444879,3.4317075772504047,0.15579551340797748,4.614938361131254
all,10,bert,pubmedbert,130,0.23074066091995135,0.1117680033396129,-0.0384989149773092,1.0882462733934364,-0.06965174129353047,1.682378535170409
all,25,bert,pubmedbert,130,0.31284779525456524,0.13741026191207983,0.009701400324596404,1.579209554794541,-0.025267590805405638,2.347636363636363
all,50,bert,pubmedbert,130,0.38241353246561055,0.16919387311229717,0.026804247287413596,2.082713671146443,0.01298473416389001,2.704858593183468
all,10,bert,biobert,130,0.24018830693703946,0.1144717487777086,-0.030427995610323166,1.101262526266557,-0.06316812439261521,1.4909090909090927
all,25,bert,biobert,130,0.33505730447945803,0.15041084918616388,0.013297904546235723,1.7488419899928327,-0.014739427969817642,2.120727272727274
all,50,bert,biobert,130,0.4102470787481752,0.1734273836297956,0.03238348790668644,2.0274573425357305,0.02076451156205472,2.748368382886157
all,10,bert,simcse,130,0.47526345596439934,0.2891607074501701,0.03472701258381505,1.627557126984,0.014756517461878005,2.3350253807106593
all,25,bert,simcse,130,0.5994943534751958,0.35517207215238766,0.06334009739486945,2.215170361635421,0.03591682419659681,3.016727272727271
all,50,bert,simcse,130,0.7171213782887765,0.4210067348726476,0.0899013802579672,2.626211801487983,0.041587901701323204,3.7541818181818174
all,10,mpnet,minilm,130,0.5060130617894344,0.40430187830751696,0.037340831893140636,1.550853320170814,0.0051813471502626385,2.3350253807106647
all,25,mpnet,minilm,130,0.5628724575339457,0.4235674817080426,0.11673551190603315,1.8739964862671366,-0.13772749631086878,2.711272727272729
all,50,mpnet,minilm,130,0.6306604635908175,0.47172113508950897,0.09366061500755085,2.2283277483607447,-0.02852926709295822,2.765090909090906
all,10,mpnet,pubmedbert,130,0.7130761317815077,0.5411185038407138,0.15812555034955267,1.804685154478229,0.13685700802265055,2.4072727272727272
all,25,mpnet,pubmedbert,130,0.958706308656897,0.7139701816661514,0.2322020862619438,2.7859534084728264,0.18663585289078466,3.5927272727272723
all,50,mpnet,pubmedbert,130,1.195896498059887,0.9119903288324877,0.2761137236858965,3.5834979324897764,0.20878989520659863,4.373818181818182
all,10,mpnet,biobert,130,0.7451679444621614,0.5911529414230108,0.16099597602326307,1.921927077773428,0.15063168124392623,2.2254545454545442
all,25,mpnet,biobert,130,1.0049762491382161,0.7533911082928224,0.2325335484572752,2.8910877127347665,0.175554506842851,3.4879999999999995
all,50,mpnet,biobert,130,1.2512841182946348,0.9259995282304007,0.3277857595814653,3.696049275685551,0.2321849929211861,4.372257607926394
all,10,mpnet,simcse,130,0.6431815856045497,0.5015188774296575,0.10518913930930379,2.1690496205595258,0.06134969325153339,2.465454545454546
all,25,mpnet,simcse,130,0.8494737975898946,0.6167959121179512,0.16300439128340977,2.8228837136254485,0.11730485715424066,3.4385454545454524
all,50,mpnet,simcse,130,1.0538152465914539,0.7959467903501161,0.21123202001250674,3.6246434742040177,0.14256684065824532,4.276363636363639
all,10,minilm,pubmedbert,130,0.6004145403798553,0.4528491652990019,0.12745923996677816,1.583099428501548,0.10974653775803478,2.523636363636364
all,25,minilm,pubmedbert,130,0.79823499366702,0.5598693808104321,0.1738656583130175,2.3213035011908545,0.15428138821373255,3.464727272727272
all,50,minilm,pubmedbert,130,1.0002633355415675,0.7241144820324952,0.2119437974901736,3.0834688399444516,0.16209108658405413,4.304568527918784
all,10,minilm,biobert,130,0.6267041746820733,0.4530750648921958,0.15048643978447657,1.706689788126785,0.11714547555484733,2.24
all,25,minilm,biobert,130,0.8394283244326439,0.5875928209385622,0.17724916930464776,2.4304830801440347,0.15290231241151808,3.176727272727273
all,50,minilm,biobert,130,1.052870345607966,0.7590943809321682,0.23398875552100248,3.157787686483217,0.17970275331712915,4.146482958665699
all,10,minilm,simcse,130,0.5577996404867253,0.41581502299437995,0.09476770990317462,1.7851860418223444,0.07249879168680362,2.160000000000001
all,25,minilm,simcse,130,0.7423721605346524,0.5302081025842496,0.1377039319980436,2.4566743635699955,0.10455432920269403,3.408266860043513
all,50,minilm,simcse,130,0.9386042594961594,0.664800281446204,0.18677815756442478,3.184164022477546,0.12105032474000882,4.165337200870195
all,10,pubmedbert,biobert,130,0.3144169050699815,0.1630384669352697,0.004745393296173295,1.427877712686205,-0.010362694300514175,1.6465863453815233
all,25,pubmedbert,biobert,130,0.3760664685404205,0.18888408680511892,0.026311374400544707,1.721900383029379,0.010518012095717122,2.3043170559094217
all,50,pubmedbert,biobert,130,0.44061799759865833,0.19023844568737402,0.03818074791675258,2.113804917348338,0.026671345850148853,2.845010615711252
all,10,pubmedbert,simcse,130,0.36898250139163374,0.23246841144691222,0.024716707767828486,1.401783997979467,0.004833252779118391,1.9199999999999995
all,25,pubmedbert,simcse,130,0.48441098450221615,0.26866125013748493,0.05332147722745352,1.9263117355673907,0.02835538752363198,2.804363636363638
all,50,pubmedbert,simcse,130,0.6034312019286817,0.3435325287017954,0.0731587456534677,2.4024832465370842,0.04820415879017159,3.3473531544597535
all,10,biobert,simcse,130,0.3662762925004475,0.2326184126507147,0.015278376773371002,1.3706536322659948,-0.038872691933916625,1.6896301667875284
all,25,biobert,simcse,130,0.4937081558696012,0.2727248457648379,0.0484297902420959,1.8538397396882182,0.022684310018905585,2.5919999999999996
all,50,biobert,simcse,130,0.6141385005266548,0.35779978319704364,0.06671968464014424,2.417948014415132,0.050967437470500476,3.4589090909090903
