model,field_id,field,period_start,cohort,rows,truncated,truncated_percent
bert,29,Nursing,2020,base,660,76,11.515151515151516
bert,29,Nursing,2020,extra,1506,177,11.752988047808765
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2000,base,154,12,7.792207792207792
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2000,extra,2012,187,9.294234592445328
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2005,base,272,18,6.617647058823529
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2005,extra,1894,134,7.074973600844773
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2010,base,442,39,8.823529411764707
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2010,extra,1724,92,5.336426914153132
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2015,base,376,40,10.638297872340425
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2015,extra,1790,210,11.731843575418994
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2020,base,471,49,10.40339702760085
bert,30,"Pharmacology, Toxicology and Pharmaceutics",2020,extra,1695,187,11.03244837758112
bert,31,Physics and Astronomy,2000,base,2116,50,2.3629489603024574
bert,31,Physics and Astronomy,2000,extra,50,1,2.0
bert,31,Physics and Astronomy,2005,base,2704,77,2.8476331360946747
bert,31,Physics and Astronomy,2010,base,3094,89,2.876535229476406
bert,31,Physics and Astronomy,2015,base,3388,89,2.626918536009445
bert,31,Physics and Astronomy,2020,base,3470,103,2.968299711815562
bert,32,Psychology,2000,base,838,37,4.41527446300716
bert,32,Psychology,2000,extra,1328,59,4.442771084337349
bert,32,Psychology,2005,base,1342,62,4.619970193740685
bert,32,Psychology,2005,extra,824,39,4.733009708737864
bert,32,Psychology,2010,base,2089,93,4.451890856869316
bert,32,Psychology,2010,extra,77,3,3.896103896103896
bert,32,Psychology,2015,base,2577,123,4.772991850989523
bert,32,Psychology,2020,base,3970,236,5.944584382871536
bert,33,Social Sciences,2000,base,2776,138,4.971181556195965
bert,33,Social Sciences,2005,base,4893,304,6.21295728591866
bert,33,Social Sciences,2010,base,7110,404,5.682137834036568
bert,33,Social Sciences,2015,base,8891,599,6.737149926892363
bert,33,Social Sciences,2020,base,13879,837,6.030693854024065
bert,34,Veterinary,2000,base,58,1,1.7241379310344827
bert,34,Veterinary,2000,extra,2108,196,9.297912713472487
bert,34,Veterinary,2005,base,100,10,10.0
bert,34,Veterinary,2005,extra,2066,199,9.63213939980639
bert,34,Veterinary,2010,base,107,13,12.149532710280374
bert,34,Veterinary,2010,extra,2058,210,10.204081632653061
bert,34,Veterinary,2015,base,165,21,12.727272727272727
bert,34,Veterinary,2015,extra,2000,242,12.1
bert,34,Veterinary,2020,base,212,39,18.39622641509434
bert,34,Veterinary,2020,extra,1953,295,15.104966717869944
bert,35,Dentistry,2000,base,159,10,6.289308176100629
bert,35,Dentistry,2000,extra,2006,129,6.430707876370887
bert,35,Dentistry,2005,base,260,20,7.6923076923076925
bert,35,Dentistry,2005,extra,1905,90,4.724409448818897
bert,35,Dentistry,2010,base,441,24,5.442176870748299
